User,Comment,Likes,Published At,Time Ago
@carriebourassa8269,She’s a liar liar,0,2024-10-05T16:11:44Z,2024-10-05T16:11:44Z
@carriebourassa8269,Don’t lie then,0,2024-10-05T16:05:32Z,2024-10-05T16:05:32Z
@carriebourassa8269,That’s a lying,0,2024-10-05T16:01:59Z,2024-10-05T16:01:59Z
@carriebourassa8269,Don’t lying,0,2024-09-30T14:54:07Z,2024-09-30T14:54:07Z
@BredaDollaghan,"She used the UK court and that verdict has since proved to be biased, can’t expect much more from Dan Wooten and that rag THE SUN and clearly from BBC so called journalists/presenters who are supposed to be neutral and AH is hardly an imperfect victim 🤬",0,2024-06-12T07:24:13Z,2024-06-12T07:24:13Z
@BredaDollaghan,"Obviously a verdict that the BBC did not like (shame) . Bottom line it was proved in a court of law that she was the ABUSER and LIED, bruises were fake and she told him to tell the world Johnny and see who believes you, well (e did tell the world proved her lies the world believed him.",0,2024-06-12T07:18:25Z,2024-06-12T07:18:25Z
@nilesclifford9704,"Johnny depp has won the trial, and he is innocent, and he can come back as jack sparrow for pirates of the caribbean 6 a day at the sea in may 2026.",1,2024-06-04T20:39:56Z,2024-06-04T20:39:56Z
@Nerinav1985,"Live streaming of trial was praiseworthy.
I believe a true victim would never hesitate to tell TRUTH to the entire world. 
Justice must be public. 

Some Feminists are saying that live streaming a domestic abuse case discourages other victims to seek justice. 
Damn ...
Then settle these husband wife issues at home then! 

A truth speaker will never hesitate to speak in front of camera. 
Only a liar feels hesitation 
( Because a liar cannot fool the whole world)

Truth is great.
Truth is God.",0,2024-05-14T09:57:16Z,2024-05-14T10:03:28Z
@jeneichelt3906,My medical bills for surgery... THAT'S ABUSE she had nothing to produce,0,2024-05-14T08:16:32Z,2024-05-14T08:16:32Z
@jeneichelt3906,Perhaps getting involved with a beautiful NON FAMOUS woman might be insightful...  the non rich women just want loyalty 💯,0,2024-05-14T08:15:11Z,2024-05-14T08:15:11Z
@MTFK-007,❤❤❤❤❤JD❤❤❤❤❤But this news agency has a disgusting bias.  The reporter is hateful.  Get out of society. This BBC reporter has a disgusting bias towards others!!,0,2023-12-20T13:44:55Z,2023-12-20T13:47:26Z
@MervynNancholas,Anyone one can lie about someone in court … it’s not always in favour of the man or a woman it’s based on facts and evidence… so now I think the sun newspaper and Dan Wooten need to publicly apologise to Johnny depp .. as they used to amber heard as a witness for which she has been found that she lied on many occasions about Johnny depp …,0,2023-12-08T15:20:58Z,2023-12-08T15:20:58Z
@MervynNancholas,You cannot say someone is an abuser after they have won their court case and was not found to be an abuser !!!,0,2023-12-08T15:16:51Z,2023-12-08T15:16:51Z
@hinder5135,"Its better show Islamic Terrorists burnt the Train cabins , in which Innocent sadhus are travelling. 
How Islamic Terrorits bomb blasted in Ghokul Chat, Lumbini Park, attacked Indian Parliment, Tajmehal attack.. 
Its very much clear that BBC and its Co are sponsering Terrisom in India , also working to defame specific religion and working to convert all to Christain in the Name of Religious freedom. Why didn;t they work in Saudhi, Dubai.. ? Why not in China.. 
Shame on this Hypocytic Bas****ds",0,2023-05-25T02:07:03Z,2023-05-25T02:07:03Z
@suzanne1392,Too bad the UK didn't get to see Johnny's evidence. Especially that crooked judge you have.,0,2023-05-18T17:22:26Z,2023-05-18T17:22:26Z
@BaililangSarip-od1fu,Only thing,0,2023-05-14T03:36:39Z,2023-05-14T03:36:39Z
@dhesgonzales9840,Goodluck johnny..we love u,0,2023-05-09T12:49:24Z,2023-05-09T12:49:24Z
@Len-eo8px,Very good actor.....,0,2023-05-09T02:37:48Z,2023-05-09T02:37:48Z
@yaqoobtabsu3362,The jury got it right.,1,2023-04-30T03:50:32Z,2023-04-30T03:50:32Z
@rohanyoandje9003,The BBC cover that story 😂😂😂,0,2023-04-29T05:06:59Z,2023-04-29T05:06:59Z
@freeyoutubemusic1779,Great,0,2023-04-26T17:04:26Z,2023-04-26T17:04:26Z
@AmirKhan-mn2cs,👍,0,2023-04-22T05:07:00Z,2023-04-22T05:07:00Z
@OFWKalinga,😳😳😳,0,2023-03-27T05:08:19Z,2023-03-27T05:08:19Z
@walterrodrigues9077,Ohh😮,0,2023-03-27T04:25:18Z,2023-03-27T04:25:18Z
@stevenssendegeya7945,👏👏👏👏,0,2023-03-19T02:44:19Z,2023-03-19T02:44:19Z
@wcjeffro9849,"No evidence has shown Mr. Depp to be an abuser.  If Brition wants to get in bed with ""me too"" just because women for years went unheard regardless of facts then stay away from America because we require fairness in all things.",0,2022-12-15T01:01:14Z,2022-12-15T01:01:14Z
@bachex3308,Your guest is a moron,1,2022-11-27T00:58:17Z,2022-11-27T00:58:17Z
@anonymousgamer7033,“My dog stepped on a bee” 😣,1,2022-11-23T17:53:25Z,2022-11-23T17:53:25Z
@ayyytism6081,This case shows why MGTOW is growing everyday.,1,2022-11-19T08:27:11Z,2022-11-19T08:27:11Z
@bokennilling1858,This bbc reporter are just sucker srill try to make amber heard innocent tell us how much did u get from AH still blaming jhonny depp the girl in library saying things without thinking she should atleast try tell the truth after defamation court live,0,2022-11-17T16:29:25Z,2022-11-17T16:29:25Z
@MidnightRambler,The BBC and the observer anti depp how surprising 😅,2,2022-10-10T07:08:12Z,2022-10-10T07:08:12Z
@Rrrffccchh,Did you watch the trial?,2,2022-08-03T00:22:30Z,2022-08-03T00:22:30Z
@rdxnova562,Johnny Depp 🔥🔥🔥,0,2022-07-19T13:47:46Z,2022-07-19T13:47:46Z
@samrathod6615,We love Johnny depp,0,2022-07-10T14:53:29Z,2022-07-10T14:53:29Z
@tomasfuchsbauer1536,aside: which trial were they watching ?,1,2022-07-09T04:11:36Z,2022-07-09T04:11:36Z
@melodiebear,Everyone listened to Amber Heard and even believed her until all the evidence showed her to be a liar and the abuser in this relationship. It had nothing to do with perfect or imperfect. It had to do with truth.,1,2022-07-06T04:29:16Z,2022-07-06T04:29:16Z
@blakewilliams8463,British law and their media system is totally garbage,2,2022-07-04T06:04:58Z,2022-07-04T06:04:58Z
@Djur2844,as you make your bed so you must lie,0,2022-07-03T21:03:16Z,2022-07-03T21:03:16Z
@121finalfantasy,Further proof you can't believe all women,3,2022-07-03T08:44:25Z,2022-07-03T08:44:25Z
@hrussell9677,"The lawyer giving commentary has very little understanding of the UK trial.  The UK judge didn’t allow a lot,of the evidence.  The UK system is really a sham.  And Amber was a liar, and it isn’t a backlash to MeToo; it’s about a narcissistic psychopath lying about her abuse.  This lawyer is totally stupid.",4,2022-07-03T00:55:19Z,2022-07-03T00:55:19Z
@TheMSupreme42,Not the first time BBC have defended abusers.,0,2022-07-01T15:17:25Z,2022-07-01T15:17:25Z
@deserve571,"In this case we all known that ember defame Jonny 
Ember destroy Jonny life 
So case keep on ember",0,2022-06-28T05:23:06Z,2022-06-28T05:23:06Z
@garolyes,"Amber is not an imperfect victim, she was the abuser, lier and manipulative abuser. Indeed, she did so much damage to the me too movement and the real victims. Shame of this woman and her analysis, she is so blind and can’t think that no because we are women we are automatically innocent. I hope everyone feels encouraged to speak up with the true and never feel in the same condition of Amber, she was a complete lier and horrible person. She was an insult for the real victims.",2,2022-06-27T07:42:21Z,2022-06-27T07:42:21Z
@4katt372,"AH is a classic textbook Narcissistic Sociopath & pathological liar! As an actual victim of severe domestic abuse I am offended that anyone would believe her. She was proven to be repeatedly lying & faking evidence. All credible testimony, doctors records, audio & video
proved she was the aggressor & abuser!
It has also been proven that she cheated in her marriage with 3 different people. Sociopaths are incapable of EVER taking accountability or responsibility for their bad acts. JD winning gives victims hope that truth & justice will prevail in the end!",3,2022-06-25T06:52:10Z,2022-06-25T06:52:10Z
@jacquibeach7350,Did this woman speaking about the Me-Too movement actually watch the whole trial that was televised over the internet Could  she not tell that Amber was acting her experiences and might l say rather badly. She also would not take any responsibility for her own  mistakes she made within their marriage,3,2022-06-24T04:10:03Z,2022-06-24T04:10:03Z
@Inappropriately-Appropriate,The world would be better off without the bbc and its evil employees.,2,2022-06-23T13:34:19Z,2022-06-23T13:34:19Z
@ceoofcharm610,Partyyyyyy🥂🥂🥂,0,2022-06-21T15:08:29Z,2022-06-21T15:08:29Z
@JonasUllenius,Amber Heard's BIGGEST Slip Up Was Edited Out Of Interview BY NBC - WATCH original & Edited VERSIONS https://www.youtube.com/watch?v=6xFKjxL4qbI&ab_channel=TheDaveNealShow,0,2022-06-20T22:49:40Z,2022-06-20T22:49:40Z
@MattNotFat,BBC be like: Those damn Yakie courts are making us and our courts look bad. We need to defend the abuser so we don't get 'Merica'd.,2,2022-06-20T14:56:03Z,2022-06-20T14:56:03Z
@hexxon77,Lefty agenda doesn't like a truth.,1,2022-06-20T13:41:20Z,2022-06-20T13:41:20Z
@castellokira6665,"When it comes to investing, diversification is the key, that's why I engage in sectors based on projected growth. There's no shortcut to getting rich but there are smart ways to go about it",13,2022-06-20T11:56:47Z,2022-06-20T11:56:47Z
@bluntdude,"by BBC's logic, no jewish serial killer should be given the death sentence!",0,2022-06-20T09:24:30Z,2022-06-20T09:24:30Z
@bluntdude,uhhh why is bbc biased?,1,2022-06-20T09:21:08Z,2022-06-20T09:21:08Z
@mattsspelman1457,This is why nobody intelligent respects the BBC,2,2022-06-20T09:13:19Z,2022-06-20T09:13:19Z
@maegallana2331,Put amber to sleep😂,1,2022-06-18T07:07:59Z,2022-06-18T07:07:59Z
@tartanmystic4025,Johnny agrees with these jurors but fought to have the decision of 24 jurors overturned who found the West Memphis 3 guilty. People have short memories,0,2022-06-18T02:40:42Z,2022-06-18T02:40:42Z
@GypsyRoseDukes,The truth is…people will believe half truths before they listen to understand the entire truth. Johnny and Amber are both at fault. I have to say they certainly are terrific at acting to enchant a crowd.,0,2022-06-17T16:39:28Z,2022-06-17T16:39:28Z
@gloriavicencio5000,JUSTICE FOR JOHNNY 😍😍😍😍😍😘😘😘😘AMBER PSICOTIC,1,2022-06-17T14:40:41Z,2022-06-17T14:40:41Z
@justsomeguy5063,This is a big victory for victims of domestic abuse lets hope more victims like johnny come forward.,5,2022-06-17T13:17:59Z,2022-06-17T13:17:59Z
@ritchski1,"The BBC wonder why they cant be taken seriously.  oh well, he won the trial, your useless reporting will not effect that.  what do his fans have to do with the fact he won the trial?",2,2022-06-16T21:39:18Z,2022-06-16T21:39:18Z
@marcomondragon7276,What a bunch of crap. Amber Turd is a liar and got called out! Believe all women? NEVER!,1,2022-06-16T16:45:28Z,2022-06-16T16:45:28Z
@renaekamuda8272,Happy for Johnny,1,2022-06-16T15:42:45Z,2022-06-16T15:42:45Z
@michaelmole4051,More bull*hit from the woke bbc bias reporting dishonest reporters spewing lies,1,2022-06-15T20:59:06Z,2022-06-15T20:59:06Z
@Ericuttie,"What biased and deceitful coverage, BBC, for a while I had maybe 30% the coverage was center or center left leaning, this is completely poor coverage on the facts and the truth and trying to manipulate the public to this narrative. My 30% trust in you went to 0",1,2022-06-14T19:43:18Z,2022-06-14T19:43:18Z
@anthonywatford5256,Why is the Brit Media is so determined to bring Johnny Depp down?  You guys are the worst,0,2022-06-14T16:42:06Z,2022-06-14T16:42:06Z
@yc1940,"I consider myself a liberal woman, but I'm blacklisting all news media that put out nonsense like this. If outlets like BBC think they can get away with twisting facts for their own agenda, I can't trust any other news reporting from them.",1,2022-06-13T17:15:53Z,2022-06-13T17:15:53Z
@CutePyro0,"it is great news that johnny won the case you can see all way though the case of amber lying and making bullshit up and faking being in distress so easily im surprised she is even able to call herself an actor because that acting was the worst i have ever seen. it is sad and depressing what johnny had to go though just to get his life back.
if i was on the jury in this case i would have also stated the same outcome!",0,2022-06-13T10:40:22Z,2022-06-13T10:40:22Z
@boogieman_yt,Johnny Johnny johnny 4life,0,2022-06-13T01:32:11Z,2022-06-13T01:32:11Z
@boogieman_yt,Ooo he deserve his justice yes finally,0,2022-06-13T01:31:51Z,2022-06-13T01:31:51Z
@Ralph_Smith0724,"*Clarification:  JD didn't defame her; it was his lawyer who defamed Amber, according to her.  Johnny's lawyer said that all Amber's actions constituted a hoax.  That was said by his lawyer at that time, not his present attorneys.*",0,2022-06-12T20:54:14Z,2022-06-12T20:54:14Z
@hanneloreschneider3601,"Absolutely disappointing that since BBC's reporters, only had to watch the trial in order to see the diligent verdict finding by the jurors, BBC continues to spread misinformation and distorting what this trial was about. The ""me too"" movement has nothing to worry: it was  initiated for victims of dv and sv  that were TRUTHFUL about their experience. Not at all was it created to serve as a platform for imposters. Amber Heard, as you would have learned had you followed the trial, lied repeatedly, used the ""me too"" movement to add more credibility to her false accusations, and even publicly claimed that she had donated her divorce settlement of$7M (proven to be a lie!!). Timelines show that over the years she further ""added"" and embellished claims of violence. This trial was not only to finally uncover AMBER HEARD AS A RUTHLESS LIER, who showed NO REMORSE until the end, but also about how much  ""WORDS MATTER"", as does truth, BBC.
I guess, I find myself yet again profoundly disappointed by the fact that,  TV and media outlets simply refuse doing their job: work to accurately research, and show pride and honor in promoting truth.",1,2022-06-12T12:16:25Z,2022-06-12T12:29:26Z
@barnyfraggles,"If you're surprised about the bias in this report, it's important to remember that the BBC would NEVER side with a man (unless he wasn't white) under any circumstances. She could have murdered him and they'd still find a way to make him wrong. This is why they're being defunded in 2027 due to the fact that the majority of the British public now despise this once honoured institution that has become an international laughing stock.",1,2022-06-11T15:45:31Z,2022-06-11T15:45:31Z
@akummercy7592,Such a clear bias by the guest. The assumption that anything a woman says is true is very sickening. The case is independent in itself and has nothing to do with (The me too movement) and should be looked at as such.,1,2022-06-10T21:12:40Z,2022-06-10T21:12:40Z
@NoName-sb9tp,Really BBC? This reeks the smell of bias. I expected better than this,1,2022-06-10T20:54:30Z,2022-06-10T20:54:30Z
@TamunoOpuboCooksCookeyGam,The BBC is knowningly lying about the UK case.,1,2022-06-10T20:10:30Z,2022-06-10T20:10:30Z
@gunz900220,Rest in Peace Ah,0,2022-06-10T14:46:04Z,2022-06-10T14:46:04Z
@hanlie407,BBC = amber heard defender so you know now folks how the media thinks all of us are idiots of believing johnny deep. Go ahead BBC you will be out of business sooner or later because of your bias journalist. TRUE JOURNALISM IS DEAD.,0,2022-06-10T08:22:55Z,2022-06-10T08:22:55Z
@JoannaVancouver,Very disappointed in your reporting and terrible opinions. I thought the BBC was one news source I could trust. The woman giving the commentary couldn't be more wrong. She either didn't watch the whole trial or she is paid by Amber's desperate PR team.,0,2022-06-10T06:06:20Z,2022-06-10T06:06:20Z
@bobburgers6033,Women have the upper hand when it comes to winning a DV case and it’s not even close.,2,2022-06-10T03:37:29Z,2022-06-10T03:37:29Z
@mookyyzed2216,"Amber deserves prison for what she did. Can't wait for Aquaman 2 to completely bomb, because most likely they will keep her in the movie.  Is that fair to the rest of the cast and crew?  Yeah, because none of them are standing up for Johnny.  None of them are showing any outrage for what she did to Johnny.  And for that, I hope that movie tanks.",0,2022-06-10T00:02:58Z,2022-06-10T00:02:58Z
@Lostboyseptember,first man to win a fight against a woman,1,2022-06-09T20:11:14Z,2022-06-09T20:11:14Z
@reneeflamand8991,"Video 474: Johnny Depp, a victim of narcissistic abuse by Amber?
https://youtu.be/OXZMkA0WT9U",0,2022-06-09T14:28:54Z,2022-06-09T14:28:54Z
@shindlaynath1500,Pretty shameless of the BBC to present a biased report.,2,2022-06-09T12:04:50Z,2022-06-09T12:04:50Z
@renegonzalez6058,this is some disingenuous reporting bcc. shame on you,3,2022-06-09T11:02:32Z,2022-06-09T11:02:32Z
@joolz8068,"Well everyone can see now, how BBC lie and twist the narrative, if they are doing it for this, what else are they putting a spin on...",4,2022-06-09T09:41:51Z,2022-06-09T10:57:30Z
@chriswebb1679,Why would anyone want to cause Amber Harm? Death threats? I find that hard to believe.,0,2022-06-09T03:19:14Z,2022-06-09T03:19:14Z
@chriswebb1679,No one is buying this.,1,2022-06-09T03:15:04Z,2022-06-09T03:15:04Z
@jeannief8839,The jury saw what the world saw… Amber Heard is a LIAR!!  And people should blame Amber if this verdict stops the movement,2,2022-06-09T02:15:59Z,2022-06-09T02:15:59Z
@pumajlr,BBC are 🤡🤡🤡🤡🤡,2,2022-06-08T23:37:02Z,2022-06-08T23:37:02Z
@diane_5789,"I do not know why pubblic news outlets are portraing such a skewed and prejudicial narrative of this case: people who did not watch the trail  and do not know the FACTS of this case are already beeing take in by their misrapresentation, I saw that happen personaly. How is that justice for victims of domestic abuse? This is just scary. 
Why are these self proclaimed feminists (I am a feminist!!) basing the WHOLE VALUE of #metoo, a movement that stands for hearing victims of abuse and not dismissing their accusations w/out DUE PROCESS, on one person? The facts of this case and the fair trial have established by large preponderance of EVIDENCE that Amber Heard alligations are untrue and were published to forward an agenda that stressed knowing and willful disregard for the truth: Amber Heard was not an ""Imperfec Victim""  she was found to be a lair and an abuser.",3,2022-06-08T22:34:54Z,2022-06-08T22:36:26Z
@kdfever1732,"I can hardly imagine the peace he felt after he won the case. On his way home, his fans are cheering for him and he thanked their loyalty through his passionate waves at them. And when he finally got home, took dinner, shower and got on his bed. He thought in his head ""finally!! I got justice...and I am free..."" as he slowly closed his eyes to sleep.",2,2022-06-08T21:50:39Z,2022-06-08T21:50:39Z
@ululupeace6957,It's so shameful....amber 😂,0,2022-06-08T20:42:40Z,2022-06-08T20:42:40Z
@TheMsgodzilla,This is a biased piece of false mainstream media reporting by the BBC. What agenda are you pushing here? This is not a #metoo movement issue. Why are you so eager to support a pathological liar with severe mental disorders? What she needs is serious psychological help instead of excuse her for the harm she has caused.,2,2022-06-08T20:04:37Z,2022-06-08T20:04:37Z
@jacijune,"Wow BBC. Trying desperately to show that the British Newspaper's win was justified by only showing the parts of the court case from Amber Heard's side and her fake, non existent tears. You missed the photos of Johnny's actually bruised face, the recordings of Amber cursing and laughing at Johnny and telling him no one would believe that a woman abused him if he told about it, her admitting that she hit the man etc etc. Brilliant one sided reporting. I applaud you and all the people not smart enough to watch the trial for themselves and come to their own conclusions. This really demonstrates how you can't trust the media and they can sway anything to make it seem how they want it to seem. I'm glad the trial was made public and recorded. Otherwise, people would've never believed what really went down.",2,2022-06-08T19:07:02Z,2022-06-08T19:13:40Z
@summers9218,The first time in the history of mankind that man wins  against women in argument. Cheers for that.,1,2022-06-08T18:49:22Z,2022-06-08T18:49:52Z
@SamSam-xw7je,Captain Jack Sparto,0,2022-06-08T18:44:23Z,2022-06-08T18:44:23Z
