User,Comment,Likes,Published At,Time Ago
@trenwar,"Lot of you guys finally realize, he's Ben ((( ""Shapiro"" ))), need any more explanation?",0,2024-12-20T08:22:08Z,2024-12-20T08:22:08Z
@paulozavala3232,Killing ang gasing jews was also legal for Germans during WW2. Just saying!,1,2024-12-20T07:20:53Z,2024-12-20T07:20:53Z
@lt.waffle3202,I love you all,0,2024-12-20T05:07:46Z,2024-12-20T05:07:46Z
@ThomasPanda-t3g,I like how people are just now realizing What Ben's real face is like. He's not some patriotic moralist who wants to see the country improve for everyone. He's just a pawn of the red. No different then those journalists at Fox or daily wire,0,2024-12-20T01:58:50Z,2024-12-20T01:58:50Z
@patrikmakela8456,People u are the ones that make ur countrys healthcare bad... stop blaming others for it,2,2024-12-20T01:41:10Z,2024-12-20T01:41:10Z
@VelvetJazz,"Regardless of the catalyst, we do need to dialogue about US privatized health insurance. I’ve worked in healthcare for years, people avoid seeking treatment they cannot risk getting billed for, they  DIE because our hc system rations care through denials, which also cause bankruptcy and homelessness. Most developed countries have universal hc. Aging Boomers may have strained the system recently, but most people in those democratic countries love their hc system and have better outcomes and greater longevity than the US.",3,2024-12-20T00:52:34Z,2024-12-20T00:52:34Z
@grantthomas4417,NOT LIKE US! Man makes money by dividing us! Bad Man!-,3,2024-12-19T23:44:44Z,2024-12-19T23:44:44Z
@Jinxx9081,"Ben, I agree with you on many things, but this is not one of them.  What about the second amendment ”Defend against all enemies foreign and domestic.” If you don’t believe that what the healthcare system has been doing to us doesn’t make them our enemy, you haven’t felt the pain the rest of us have. We’ve been trying to change things peacefully for years and nothing has worked. They haven’t allowed for peaceful change, so now we must use violence. Isn’t that how you feel about Israel? How is this different? Americans have been killed form these predatory practices. Please try to understand where we are coming from or you will truly become disconnected from the average American citizen regardless of political party. I have respect for you, I know you are smart, but please consider that you are wrong on this.",0,2024-12-19T22:32:00Z,2024-12-19T22:32:00Z
@AndreyEvermore,Wasn’t society created to help EACH OTHER? Not just to pamper a giant baby,0,2024-12-19T19:19:15Z,2024-12-19T19:19:15Z
@AndreyEvermore,Ben Shapiro is a white supremacist,1,2024-12-19T19:17:00Z,2024-12-19T19:17:00Z
@harlequinaraki9060,Political division is a distraction from class division. Thank you for showing your followers who's side you're actually on Ben. This is the most united America has been in a long time. YOU CANT DISTRACT US ANYMORE,3,2024-12-19T19:00:16Z,2024-12-19T19:00:16Z
@badrhetoric5637,Do you know who has universal healthcare? Isreal...,0,2024-12-19T17:51:57Z,2024-12-19T17:51:57Z
@MikairaAgiy,"Ben, I'm disappointed in you, so out of touch with the reality of the working  class people. Do you know how many deaths the CEO is indirectly responsible for, that is evil. There is a time to keep quiet and you should on this topic.",2,2024-12-19T16:55:51Z,2024-12-19T16:57:05Z
@Exileonbackroad,"Poor Ben Shapiro, twisting and squirming to try to explain away one of the biggest, if not THE biggest, grift in history – the US 'healthcare' system. For anyone who wants to know how it can be done better, just check in with virtually ANY OTHER country in the world. Even CUBA does it better.",3,2024-12-19T16:35:19Z,2024-12-19T16:35:19Z
@superstoneanimation3891,"Even the conservative right wings hate and disagree with you Ben. Stop acting like ""based sigma guy"", cringe dumbwat",3,2024-12-19T15:00:47Z,2024-12-19T15:00:47Z
@djhero0071,"The fact that it took you people THIS LONG to see that Ben, Matt, and all these other right wing grifters are using you for fame, clout, and money pisses me off to no end. Like for all of the faults of the left, we at least TRY to be honest. Most of us at least (some politicians and political leaders notwithstanding). What happened to the CEO was wrong but what happened to the millions of customers he and his company were supposed to serve and protect under his tenure is worse. This goes beyond politics. Look at the people who are for and against the killer, for and against the CEO, and take a good hard look at the influencers you trust (or trusted). They might not stand for what you thought they did. Look for ones who do.",4,2024-12-19T13:20:47Z,2024-12-19T13:20:47Z
@kinfn1248,Unite together don’t let them spit us up left vs right that’s exactly what they want,4,2024-12-19T13:05:35Z,2024-12-19T13:05:35Z
@russellmars-bg2pf,Jew boy isn't one of us,4,2024-12-19T11:56:06Z,2024-12-19T11:56:06Z
@michaelseanchang,"keep yappin ben. you dont get hate views from me, i just dislike and read comments. facts are that ceo man has more blood on his hands than ivy league student guy.",3,2024-12-19T11:32:12Z,2024-12-19T11:32:12Z
@Nickfdz95,"So Ben, how does it feel to have the 99% against you? 😂",2,2024-12-19T09:54:50Z,2024-12-19T09:54:50Z
@andrinschneider5952,"Its not left vs right, its us vs the rich",2,2024-12-19T06:16:57Z,2024-12-19T06:16:57Z
@Alchemicalromance93,In Germany they have private healthcare AND universal healthcare.  You don't have to choose!  They have something like 12 companies that have to cover every single person and provide full coverage.   The free market comes into effect when the companies compete for greater percentages of the market.  If a company is not doing a good job they lose customers to a competitor.   The politicians here dont want us to know about this.   So they keep shoveling yhis garbage into our mouths.  Screw this propaganda!,2,2024-12-19T04:45:56Z,2024-12-19T04:46:32Z
@Alchemicalromance93,"You can really tell who's with the people and who's against them when they talk about the United healthcare CEOs death.   Bens trying to convince us all that ""the evil left"" thinks the 1% are all Sauron or  Voldemort.  That they all sit up at night thinking how they can enslave and kill us.  He knows that is bullshit.   You don't have to want to destroy people.  All you have to do is not give a shit if your policies do hurt people.   Even if most of the elites don't get off on ruining peoples lives it doesn't mean that they are not ruining those same lives.   The ends ARE the means.",4,2024-12-19T04:39:59Z,2024-12-19T04:39:59Z
@danispringer,"psychedelics are not bad. guns are not bad. 
(some) people are.",3,2024-12-19T03:15:15Z,2024-12-19T03:15:15Z
@eddiefenton6309,"It's not left vs right, it's poor vs rich.",1,2024-12-19T00:07:36Z,2024-12-19T00:07:36Z
@mthuthuzelithafeni2274,"Im happy people are waking up to this Shapiro fraud,yall thought he was one of yall 😂😂",3,2024-12-19T00:03:58Z,2024-12-19T00:03:58Z
@malekruby4320,"How ironic, he is showing his true colours. Glad his “fans” are turning against him.",1,2024-12-19T00:01:15Z,2024-12-19T00:01:15Z
@spacekitty3137,You’re out of touch Ben,3,2024-12-18T23:44:33Z,2024-12-18T23:44:33Z
@doolerz81,What a crappy hot take Ben. Do better,3,2024-12-18T22:41:00Z,2024-12-18T22:41:00Z
@Jules_Chicago,I unsubscribed from Ben when i realized he is nothing but a pathetic boot licker and a MASSIVE hypocrite.,4,2024-12-18T21:59:16Z,2024-12-18T21:59:16Z
@blaska7131,"Ben is an elitist, and part of the elite. He doesnt understand ppls anger because as an elite, he will never suffer from our healthcare system. Hes the yype that get bumped i  front of the line, so all you idiots that were thinking this peewee herman look-alike is with the people, he just tokd you where he stands.",3,2024-12-18T21:58:14Z,2024-12-18T21:58:14Z
@HongoKanata1,Both left and right is against the ceo I wonder why Ben. Read the room.,3,2024-12-18T21:42:01Z,2024-12-18T21:42:01Z
@Supergluckcombo,"Yawn, more identity politics from you triggered snowflake republicunts.",5,2024-12-18T21:24:44Z,2024-12-18T21:24:44Z
@sosyrobinson2636,And the dark shall be revealed in the light,2,2024-12-18T17:06:24Z,2024-12-18T17:06:24Z
@sneke4429,"Ben is afraid to make enemies with the wealthy circle. 😂 if he loses enough supporters maybe he will realize his position and wealth is built from his followers and viewers, not from other rich people

Who's gonna fund you when you have no viewers? Bots? Or the rich people who only care about themselves? Or are you also their shareholder?",7,2024-12-18T16:59:51Z,2024-12-18T17:03:39Z
