User,Comment,Likes,Published At,Time Ago
@Harveyscustommtbs,Cnn sucks fake reports,0,2024-12-19T12:02:18Z,2024-12-19T12:02:18Z
@lionkurdi,"Please protect the Kurds from Erdogan and his ISIS militias. Their bombing of us does not stop and our children are scared. We have given thousands of martyrs in our war with ISIS to protect the world and live in peace. Now Erdogan is gathering them to take revenge on us. “Is this our reward? Where are the morals of the American and Western governments? We no longer trust you. You are handing us over to die after we fiercely defended you, humanity and ourselves so that you can enjoy safety. No one trusts you anymore because you easily dispense with your allies and those who fought with you. Ahmad, at least transfer our children to America or Europe and we will fight and defend our land against terrorism and Turkey.”",0,2024-12-18T22:24:02Z,2024-12-18T22:24:02Z
@derrickbaker759,Cia with no days off,0,2024-12-17T21:19:02Z,2024-12-17T21:19:02Z
@MatchingNetwork,"THE TRUTH OF WHAT HAPPENING :

The People's Revolution: Syria’s Struggle for Freedom
Syria, the cradle of ancient civilizations and a crossroads of religions, has always been a land of diversity and resilience. Its history tells the story of a united people bound by a shared heritage yet burdened by external invasions and internal struggles. In 2011, Syria reached a defining moment that reshaped its narrative—a revolution against decades of authoritarian rule under the Assad regime.

The Legacy of Tyranny
The Assad family rose to power in 1970 when Hafez al-Assad seized control in a military coup. For over three decades, Hafez ruled Syria with an iron fist, establishing a regime built on fear, surveillance, and brutal repression. His son, Bashar al-Assad, took power in 2000, raising hopes for reform. However, those hopes quickly faded as Bashar continued the oppressive policies that had suffocated the Syrian people for decades.

The regime’s methods became infamous for their cruelty: torture chambers, enforced disappearances, and a judiciary serving only the regime’s interests. Facilities like Sednaya Prison became synonymous with brutality, where thousands were tortured or executed without trial. The regime also engaged in organ trafficking, the systematic rape of detainees, and countless crimes against humanity. Under this shadow, Syrians lived in silence, too fearful to demand their most basic rights.

The Spark of Revolution
In March 2011, inspired by the Arab Spring, peaceful protests began in the southern city of Daraa. Citizens demanded political reforms, freedom, and an end to corruption. The regime responded swiftly and brutally, unleashing bullets, arrests, and torture on the protesters. The uprising quickly spread across the country, fueled by decades of pent-up anger against the regime.

Syrians from all religious and ethnic backgrounds united in their demand for freedom. Christians, Muslims, Druze, Alawites, and others stood together, emphasizing that their struggle was not sectarian but humanitarian. They chanted, ""We are one people,"" rejecting the regime’s narrative that the revolution was a terrorist conspiracy.

The War and Weapons of Lies
The regime framed the revolution as a war on terrorism, exploiting global fears of extremism to justify its actions. It bombed residential neighborhoods with barrel bombs, killing thousands indiscriminately. Reports of mass graves and atrocities, such as those in Sednaya Prison, shocked the world. Yet, the international community hesitated, paralyzed by conflicting interests.

Bashar al-Assad also turned to the Captagon trade, flooding the region with illicit drugs to finance his war. As cities burned and millions were displaced, the regime profited, transforming Syria into a hub for drug trafficking.

The Voice of the People
Syrians have repeatedly stated that their revolution is not a civil war but a struggle against a regime that betrayed its people. ""We have no quarrel with the world,"" said a resident of Damascus. ""Our only fight is with Bashar al-Assad, who turned against his nation."" Syrians, who once lived harmoniously across sects and religions, rejected the regime’s propaganda portraying them as divided.

""We want life, not death. Freedom, not chains,"" said a Christian activist from Damascus. ""For 55 years, this family has ruled us through terror. But we, the Syrian people, have chosen our destiny. This is our revolution.""

A Sinister Agenda
Syria’s strategic location and history as a cradle of prophets and peace have made it a target of competing global interests. Many Syrians believe there is a deliberate effort to distort their image and label them as terrorists to justify repression and global indifference. While the international community welcomed millions of Syrian refugees, it failed to address the root cause of their suffering: the Assad regime.

""This is not just about us,"" argued a displaced Syrian academic. ""It’s about humanity. Our struggle is like George Floyd’s case or any fight against oppression. If the world continues to remain silent, it becomes complicit in the crimes of this dictator.""

Hope Amid the Ruins
Despite the immense suffering, Syrians have not given up. A transitional government formed by opposition forces represents a glimmer of hope. It promises accountability for the regime’s crimes and a future built on peace and coexistence. Syrians urge the world to visit their country, speak to its people, and witness their resilience firsthand.

""To those who doubt us, meet the families who have lost everything,"" said a merchant from Aleppo. ""Speak to the teachers, artists, and traders. They will tell you this revolution is ours—it is not something imposed on us.""

A Call to Action
Please support our revolution because we want to live our lives. It is hard to see the world watching in silence. Friends, we never forgot George Floyd, and we were the first to rise against crimes. Now, it is your turn to help us and support our revolution. We are not terrorists; we are the 12 million Syrians scattered across the globe as doctors, engineers, and professionals. We come from 14 cultures and religions, living together on this land for over 1,000 years.

The Syrian people call on the world to investigate the crimes of Bashar al-Assad’s regime, from mass graves to torture and abuse in his prisons. They demand accountability for chemical weapon use, the destruction of homes, and the displacement of millions. Syrians seek justice, not vengeance, and peace, not endless war.

As a group of Christians , Muslims , Jews , Kurds , Assyrian , DRUZ  from Damascus said, ""We are the nation of jasmine, the land of coexistence. This is not just a Syrian struggle; it is a fight for the soul of humanity. Stand with us.""",0,2024-12-16T19:39:53Z,2024-12-16T19:39:53Z
@jmacwhite7466,But see Israel isn't stupid. They helped but they destroyed all the weapon sites to make sure whoever comes into power can't fight anybody.....Especially them.,0,2024-12-16T16:21:53Z,2024-12-16T16:21:53Z
@Vikermajit,Karma...,0,2024-12-16T13:01:04Z,2024-12-16T13:01:04Z
@jbjb6602,The power belongs to the people. Politicians must remember that!!,0,2024-12-16T03:03:25Z,2024-12-16T03:03:25Z
@mirjanamladenovic8288,Ko vas iz sienena slusa vi ste lazovi u službi ljudi nacista  lazete i sirite lazi,0,2024-12-15T21:32:12Z,2024-12-15T21:32:12Z
@ABagala1,Fake news,0,2024-12-15T21:25:10Z,2024-12-15T21:25:10Z
@GoodLife-f7x,The Russian betrayed assad. This is b.s . And assad fought like a lion 🦁 stilled loosed,0,2024-12-15T21:18:08Z,2024-12-15T21:18:08Z
@KellyBuckley-k4g,🎉🎉❤❤❤❤,0,2024-12-15T13:16:27Z,2024-12-15T13:16:27Z
@OkayJustWatch,Syria will adopt Bitcoin & XRP,0,2024-12-15T13:16:13Z,2024-12-15T13:16:13Z
@Johnny53kgb-nsa,I hope the people of Syria have a life of peace that they deserve so much. God bless the people of Syria.,0,2024-12-15T09:34:58Z,2024-12-15T09:34:58Z
@SigrunHT,"Wonderful CNN, you should all be ashamed. So you support Al Qaeda terrorists with this propoganda. I hope they pay you enough for your betrayals. I have nothing but disgust for you and the rest of the MSM minions. 🤬",0,2024-12-15T06:05:24Z,2024-12-15T06:05:24Z
@Homemade-b5m,Why in Jesus Christ name America is not interested in keep Assad in power anymore 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,2024-12-15T00:04:34Z,2024-12-15T00:04:34Z
@dannyprosper5209,They goin crazy 😭have fun be safe y’all ✌🏽,0,2024-12-14T22:07:15Z,2024-12-14T22:07:15Z
@philpalfrey9033,"If she is such a good journalist and I believe she is, I’d love her to interview Donald Trump to actually find out what he really has plans for and try and get the truth out of him. Or at least just ask questions that he can’t or won’t answer.",0,2024-12-14T19:39:52Z,2024-12-14T19:39:52Z
@DarrylFritz,You all see where Assad Ran to! His Brother Putin,0,2024-12-14T18:01:28Z,2024-12-14T18:01:28Z
@DarrylFritz,About Time!,0,2024-12-14T17:59:30Z,2024-12-14T17:59:30Z
@yusuphatrawally3745,Becoming a leader doesn't means you are above the law.Otherwise this is the only way to ouster their power.,0,2024-12-14T13:03:29Z,2024-12-14T13:03:29Z
@ThelmaBelda1952,"Asma al Assad should have been left in Syria at the hands of the rebels. Give her what is due. EVIL.BEGETS EVIL, 👹💀☠️",0,2024-12-14T12:35:51Z,2024-12-14T12:35:51Z
@garthbrooks8336,I have to poop everytime i watch clown news network.. hahaha,0,2024-12-14T09:09:29Z,2024-12-14T09:09:29Z
@HolySerbia,"Burqas, ISI, AL Quada, Daesh, Al Nusra and other Jihadi elements are also back ! and to think there's western females who are happy about the deposing of a secular and liberal leader where women were treated with the most equal rights in the Arab world.",0,2024-12-14T09:03:38Z,2024-12-14T09:03:38Z
@haroldg.taladro4008,A country leader like this must be denied political asylum. This notorious dictator Assad should be brought back to his country Syria to face the wrath of or be punished by the people he oppressed.,0,2024-12-14T04:18:46Z,2024-12-14T04:18:46Z
@strykerthepsycher8412,Congratulations Syria from the United States!!,0,2024-12-14T03:51:37Z,2024-12-14T03:51:37Z
@robertmaende6919,SOVEREIGN.,0,2024-12-14T03:23:25Z,2024-12-14T03:23:25Z
@Northernlights2024,"We are happy for the Syrians. As a Canadian living in Middle East for 30 yrs, I saw its sufferings for years. Cheers for the Syrian people.",0,2024-12-14T03:20:32Z,2024-12-14T03:20:32Z
@Ashphinchtersayswhat,Falls to rebels? You mean Israel?,0,2024-12-14T01:12:37Z,2024-12-14T01:12:37Z
@pnfposse123kbabi6,this is how easy it is,0,2024-12-13T20:59:30Z,2024-12-13T20:59:30Z
@johnnymventure5564,"Vanity upon Vanity is all Vanity.  We came into this world empty-handed we will all leave empty-handed as well. Nothing will go with us to the grave but only to face God for accountability and judgment for the life we lived here on earth. Believe it or not, we will all give account of our life here on earth to the Almighty creator. You can disagree with me with every nonesense science or personal ideology or beliefs, but we must give account of ourselves to God.",0,2024-12-13T20:18:10Z,2024-12-13T20:18:10Z
@johnq8362,✨🐀TAKE THE RAT BIDEN and demonstrate party with him,0,2024-12-13T17:41:23Z,2024-12-13T17:41:23Z
@ursulaj.u5371,"So happy for the Syrian people. Only they know what it feels like to be liberated from such a brutal dictator.
 Praying that the Syrians want nothing more than a united Syria, irrespective of what sector or religion they are. Syria can write a different story for its people and make good for their own people.",0,2024-12-13T16:47:58Z,2024-12-13T16:50:54Z
@cynthiaweir5697,It sure is exhilarating to see those statues topple.,1,2024-12-13T13:51:35Z,2024-12-13T13:51:35Z
@jallouljallouli8939,"Clarissa speaking beautifull arabic, what a languege",0,2024-12-13T10:55:16Z,2024-12-13T10:55:16Z
@vern0123-t5j,Let freedom reign 🙏,0,2024-12-13T09:48:47Z,2024-12-13T09:48:47Z
@lekasallah6238,The fact that these leaders can just escape after destroying so many lives and doing these sick crimes is so wrong.,0,2024-12-13T09:28:10Z,2024-12-13T09:28:18Z
@vijaykrishnamurthy12,Why I am seeing same pictures as I was seen in Iraq war....Syria will be new Iraq...,0,2024-12-13T07:19:34Z,2024-12-13T07:19:34Z
@noname93837,"THE DEMOCRAT PARTY IS THE NEW COMMUNIST PARTY,  THEY WILL NEVER WIN ANOTHER ELECTION.",1,2024-12-13T04:59:22Z,2024-12-13T04:59:22Z
@matt46118,I know its celebratory gun fire but they know that the gunfire can hit innocent people,0,2024-12-13T04:01:52Z,2024-12-13T04:01:52Z
@soniadeena8923,Hallelujah,0,2024-12-13T01:53:27Z,2024-12-13T01:53:27Z
@wasieamiri1866,Hopefully this country  will not follow what happened in Afghanistan.,0,2024-12-13T01:21:45Z,2024-12-13T01:21:45Z
@sonic1k,"America couldn't control Afghanistan 
Russia couldn't control Syria",0,2024-12-13T00:48:02Z,2024-12-13T00:48:02Z
@sallyherrera5691,Bizard brother's car crash? 😉😉😉😉😉😜😜😜😜😜,0,2024-12-13T00:38:46Z,2024-12-13T00:38:46Z
@MaryEspinoza-cx9wg,"Yeah, that's what it sounded like in Iraq when it's dictator was over thrown...then comes the chaos with fifteen factions trying to get to the top of the government 😭",0,2024-12-13T00:16:51Z,2024-12-13T00:16:51Z
@sareenasaree6138,"May God ALMIGHTY  visit Uganda like how He has visited Syria.
We are tired of dictator MUSEVENI...😭😭",0,2024-12-12T20:59:02Z,2024-12-12T20:59:02Z
@nyonkolingkuyateh1871,Assad is a wicked human being killing your own people just for power assad needs ti punished who is assad is he not a human being,0,2024-12-12T20:52:56Z,2024-12-12T20:52:56Z
@jerryminks5775,"Don’t think Assad will live in Soviet Union like he lived in Syria, unless dictator Putin will give him one of his palaces",0,2024-12-12T15:28:30Z,2024-12-12T15:28:30Z
@barbaradobson9298,Fantastic reporting,0,2024-12-12T15:17:56Z,2024-12-12T15:17:56Z
@Chukichev.Scientificmyths,"In the world, dictatorships unite, democracies stand idle and quarrel.... Who will win?",1,2024-12-12T12:40:40Z,2024-12-12T12:40:40Z
