User,Comment,Likes,Published At,Time Ago
@olympicpip9235,"Absolutely disgusting so called ""journalism"". Each and every one of Amber Heards lies were exposed and the jury made the correct decision to reject her made up story. To frame it as though she is the victim and that this is indicative of the justice system as a whole is shameful. Although don't know what i was expecting with CNN tbh",0,2024-11-01T21:30:51Z,2024-11-01T21:30:51Z
@ChuckRadbod,Anyone who respects left-wing media should watch how they covered this trial,0,2024-10-14T02:09:43Z,2024-10-14T02:09:43Z
@muhammadmusaddiqhussain7506,CNN reporting is biased. Salute to USA justice system.,0,2024-08-24T10:10:46Z,2024-08-24T10:10:46Z
@yvonnemurray1253,"Amber Tu*d,was a se* worker,had affa*rs, with all of her bea*ings most landed in the hospital. Alledgly.This woman is a m*n ha*er Alledgly  What's wro*g with the*e people",0,2024-06-29T23:35:51Z,2024-06-29T23:35:51Z
@nicksstuff603,"Believe all women, every day, all day and twice on Sundays.  Even Christmas.  But not Holloween.  Every woman is a witch on Holloween.",0,2024-05-18T21:03:18Z,2024-05-18T21:03:18Z
@denisewam,Not a set back just tell the truth,0,2024-04-27T17:44:27Z,2024-04-27T17:44:27Z
@denisewam,The jury got it right how rude to say they got it wrong,0,2024-04-27T17:42:52Z,2024-04-27T17:42:52Z
@jafari6253,"Johnny Depp's win doesnt fit CNN's agenda, and since they dont give a single shit about unbiased credible journalism, they were happy to air this absolute shithole of a conversation.",0,2024-04-14T22:54:14Z,2024-04-14T22:54:14Z
@holychrist8656,This woman is such a big fooooooooooooool ah...,0,2024-04-08T08:11:41Z,2024-04-08T08:11:41Z
@kurisktan,As a Non powerful MAN. haha This is the mainreason why mainstream media is poop from obtaining credible information.,0,2024-03-05T22:38:39Z,2024-03-05T22:38:39Z
@am33-dj8zd,Omg of course CNN would be on her side they are always fake news,0,2024-02-10T23:24:56Z,2024-02-10T23:24:56Z
@vivianaviviana8113,"this people didnt watch the trial and thank god that guy is an FORMER federal prosecutor He must not have won many lawsuits, I hope he does not continue dedicating himself to law for the safety of clients",0,2023-12-30T06:48:01Z,2023-12-30T06:48:01Z
@abhaynath5833,"As someone who has a dog who regularly steps on a bee, I stand with Amber Heard.",0,2023-11-05T23:16:29Z,2023-11-05T23:16:29Z
