User,Comment,Likes,Published At,Time Ago
@davidzop7770,Lethal Weapon is still a Christmas movie and the end of the movie takes place during the holidays that's why the car crashes into the house and see the Christmas tree Gerald doesn't know this thing,0,2024-12-18T22:00:11Z,2024-12-18T22:00:11Z
@kyleowens6229,So far 45 minutes in Syria has been the topic of conversation for about 12 minutes the rest has been about how insurance works. This is a Republican y'all nonsense for 45 minutes 15 minutes of topic discussion,0,2024-12-16T16:30:05Z,2024-12-16T16:30:05Z
@kyleowens6229,"""the only group you could support is a modern crusader a group vouched to eliminate Islam in the area."" Uhm Steven that sounds like a Holocaust and y'all wonder why we compare conservatives to Nazis",0,2024-12-16T12:49:27Z,2024-12-16T12:49:27Z
@kyleowens6229,"""shut up about women's rights in the US because of the rights in Syria are worse"" I'm sorry Steven can we not worry about the rights being stripped away from Americans while also acknowledging the rights women don't have in the Middle East? 23 minutes in this guy is a joke",0,2024-12-16T12:39:11Z,2024-12-16T12:39:11Z
@kyleowens6229,"""let them fight. And if they get to be too big of an issue destroy them""- Steven Crowder if America went to war this man would be screaming about aid though.",0,2024-12-16T12:29:25Z,2024-12-16T12:29:25Z
@kyleowens6229,15 minutes in and they are now making fun of people talking about Syria and Hassan's escape,0,2024-12-16T12:20:00Z,2024-12-16T12:20:00Z
@kyleowens6229,Im 10 minutes in and all he's talked about is Rosie O'Donnell and her herpese or cold sores or whatever. I watch to see what the right thinks. So far ur content is just talking shit and no policies or even sources for ur claims. Disgraceful.,0,2024-12-16T12:14:55Z,2024-12-16T12:14:55Z
@Patrick-mg7kc,Israel already swooped in and stole the northern region… I’m not sure asad was the enemy….,0,2024-12-16T07:14:25Z,2024-12-16T07:14:25Z
@isabellaanderson9241,"I learned this from Steven... How does a woman keep her rights? Alpha males and violence. There is violence for a reason... Alpha males for a reason... How does an issue get attention about a rich 
a$$hole Alpha male and United Healthcare earning a 50% profit margin... another Alpha male and violence.",0,2024-12-14T05:50:56Z,2024-12-14T05:50:56Z
@DanielCuthbert-o6s,Republicans project their own lack of accountability onto democrats,0,2024-12-13T14:38:07Z,2024-12-13T14:38:07Z
@DanielCuthbert-o6s,Trump doesn't support low taxes because he raised taxes on the poor and middle class.,0,2024-12-13T14:36:27Z,2024-12-13T14:36:27Z
@DanielCuthbert-o6s,"China is a democracy, because it has an electoral system",0,2024-12-13T14:31:54Z,2024-12-13T14:31:54Z
@Seouldrift7,Grenada 1983. Rescue the medical students. Strip of the hostile regime. Dispatching of the hostile air base. Then leave. It was like a month and a half.,0,2024-12-12T04:13:26Z,2024-12-12T04:13:26Z
@orionqc,Woop woop,0,2024-12-11T22:56:02Z,2024-12-11T22:56:02Z
@Demonoicgamer666,You want to fix the healthcare system fight for a law that makes it illegal for insurance companies to refuse coverage unless they can prove fraud,1,2024-12-11T21:17:37Z,2024-12-11T21:17:37Z
