User,Comment,Likes,Published At,Time Ago
@Jazzfestn,Is DN supporting VIGILANTE MURDERS?!,0,2024-12-20T09:00:28Z,2024-12-20T09:00:28Z
@billryan8542,"*THIS JUST IN: Health Insurance CEOs declare 12-04-2024 as ""Have You Hugged your Bodyguard Lately"" Day....details @ 11.",0,2024-12-20T08:00:03Z,2024-12-20T08:00:03Z
@ClintonOquinn,Not all medical   insurance   needs      prior    authorization   from.    their       insurance company to authorized  doctor surgery or anything else I have a medical insurance with which  do   not    need authorization from. A medical insurance. Company.  To.  there  Doctors,0,2024-12-20T01:03:53Z,2024-12-20T01:14:07Z
@volkersiewert6440,"Maybe the American  people should start protesting for something better! And i mean big protests! Nationwide,every week with thousands of protestors.🤷‍♂️",0,2024-12-19T21:26:32Z,2024-12-19T21:26:32Z
@AlanWinterboy,I wish somebody would have taken just a moment to explain to us what prior authorization is and how that affects this issue?,0,2024-12-19T06:29:35Z,2024-12-19T06:29:35Z
@BobHill-s2c,What would you expect from a nation that allows unchallenged bombing of ICUs ...,1,2024-12-18T15:16:15Z,2024-12-18T15:16:15Z
@jzero1579,"Shut up and go to work poor people. Stop roleplaying as rebels, you're not willing to sacrifice shit.",0,2024-12-18T14:52:46Z,2024-12-18T14:52:46Z
@Ms.Raven_Bastet,"""When the people shall have nothing more to eat, they will eat the rich"".

Jean-Jacques Rousseau",0,2024-12-18T10:00:29Z,2024-12-18T10:00:29Z
@coldtea1132,This channel cheers on murder.,0,2024-12-18T04:26:34Z,2024-12-18T04:26:34Z
@anadverb5063,I don’t believe for one second they made a positive ID based on a grainy video still of a partial face.,0,2024-12-18T03:22:38Z,2024-12-18T03:22:38Z
@hardiemartellgarnett2911,"In 2023, I fought with Humana over paying for my mother's stay in physical therapy hospital. I wanted her to get the use of her legs again. Humana would deny paying, the hospital admin come to tell her she has to leave. I would do appeals and while the appeal is pending my mother was allowed to stay and get physical therapy. I would win the appeal. But 2 or 3 days later, they would do the same thing and I would appeal again. We went around about this no less than 5 times. Finally, I switched her over to UHC which is what I have. Now UHC is denying basic things for both of us. I am fighting them and winning so far but it is a hassle.",0,2024-12-18T03:14:48Z,2024-12-18T03:14:48Z
@TRUMP2024_We_Got_This,"The WOKE - OK with someone taking a life of their choosing without due process with the excuse of the Marxist words - *SOCIAL JUSTICE just like the Weather Underground Terrorist groups like the BLM and Antifa
Isn't this more like borderline inciting? just wondering",0,2024-12-18T02:54:03Z,2024-12-18T02:54:03Z
@DonGuerrero-ep7tk,"Here's an idea, live and eat healthy, and stop propagating bad genes and disorders in the human gene pool",0,2024-12-18T02:31:15Z,2024-12-18T02:31:15Z
@TRUMP2024_We_Got_This,"Spoken like a true WOKE *DEMOCRATIC SOCIALIST* no wonder you guys lost, condoning murder in the name of social justice is *NOT* American",0,2024-12-17T23:31:52Z,2024-12-17T23:31:52Z
@milascave2,"Well, this is one case where what Anarchist have called ""propaganda by the deed"" seems to actually be working.
  Of course, this is a ""legitimate target"" rather than a random one.",0,2024-12-17T22:57:01Z,2024-12-17T23:04:29Z
@M4st3rofD1s4ster,"We have a constitutional Republic not a democracy 
Democracy is communism",0,2024-12-17T22:38:11Z,2024-12-17T22:38:11Z
@spindeep23,Kansas City Shuffle. I think he isnan escape goat. It was about his fraud and insider training and some congressional members were in cahoots with him.,1,2024-12-17T20:06:48Z,2024-12-17T20:06:48Z
@patsyhairston8277,79 denied bc of my age for antibiotics,0,2024-12-17T20:05:22Z,2024-12-17T20:05:22Z
@JL-rv9lm,"My college student son had his medical plan through United.  He broke his foot in April.  They denied the claim saying it wasn't during the school year.  I asked, ""Is April during the school year?""  No answer.  I said, ""Let me give you the answer.  It is. And I'm not paying a dime.""  Never heard from them again.",0,2024-12-17T19:06:32Z,2024-12-17T19:06:32Z
@lezzulee,Same situation with Humana years ago they were denying people there's a movie out about it,1,2024-12-17T18:04:05Z,2024-12-17T18:04:05Z
@independent-ts6ys,We had a neighbor whose wife was denied an open heart transplant.  She lasted 2 years while waiting for it to be approved by this same UnitedHealth,1,2024-12-17T17:53:13Z,2024-12-17T17:53:13Z
@midnightloweek75,"The school system destroy more life than the healthcare one, weirdly that doesn't bother the middleclass when they can take advantage of it.",0,2024-12-17T17:36:34Z,2024-12-17T17:36:34Z
@irandude1655,"Every denied treatment is a bonus to the healthcare ceo. In 2023, Brian Thompson received $13 Million bonus. Care to calculate how many denied coverage they have to do just so Brian Thompson gets $13 million bonus on top of his $10 million base salary?",1,2024-12-17T17:19:45Z,2024-12-17T17:19:45Z
@Dirtyredd5000g,It's a set up. I don't think he did it. We need to see if he was taking legal action against the medical industry. An important piece of the puzzle is being removed from the board.,0,2024-12-17T16:10:57Z,2024-12-17T16:10:57Z
@KamilA-ki4dx,The government works for the rich not for us! No matter if you are red or blue ! This is duopoly. Wake up America,0,2024-12-17T15:13:23Z,2024-12-17T15:13:23Z
@laurathomas3366,CEOs like Brian Thompson are death profiteers. UHG denies 1 out of 3 claims. Outrageous. Those greedy parasites are shaking in their boots.,1,2024-12-17T14:45:02Z,2024-12-17T14:45:02Z
@johns2922,F these scammer insurance companies,1,2024-12-17T14:37:13Z,2024-12-17T14:37:13Z
@Pauly2Swole-1970,Insurance companies are the most unethical companies around. When you pay expensive premiums you should never be denied for anything.,1,2024-12-17T14:30:35Z,2024-12-17T14:30:35Z
@AprilMears-j7q,American Greed,0,2024-12-17T13:39:53Z,2024-12-17T13:39:53Z
@ThùyLinhHà-f8s,A great healthcare system revolution has been made in the US and hoping American patients will not be denied from the beginning. It is the evil scheme!,0,2024-12-17T11:20:38Z,2024-12-17T11:20:38Z
@chaahmongcyclist1066,Non tax payer school needs taxpayer help. Sounds like they may had done something to her that will never be revealed under the church. Thoughts and prayers,0,2024-12-17T07:45:09Z,2024-12-17T07:45:09Z
@donaldolson1362,Time to stand UP AMERICA  !  DON'T TAKE THIS SHIT ANYMORE  !,0,2024-12-17T05:34:32Z,2024-12-17T05:34:32Z
@DavidAntunes-rm7dq,"THE SHOT HEARD AROUND THE WORLD, 1776

   UNITED HEALTHCARE has the highest medical procedure denial rate (32% denials) in the entire health insurance industry, essentially UHC kills thousands of patients every year by denying life saving medical treatments.

FREE LUIGI",1,2024-12-17T04:32:10Z,2024-12-17T04:32:10Z
@vernonnilesjr8752,"I can't believe that this man has said 248,000,000 claims denied atrocious and beyond wicked 🤔😡😤😳🤬",0,2024-12-17T04:22:25Z,2024-12-17T04:22:25Z
@whereisjustice5112,"When this insurance Company indirectly killed innocent Patients, do Politicians and this insurance company feel sad? NO!!!!!!!!!!!!!!!!!!! My advice is don't be American if you want to live longer and with dignity.",0,2024-12-17T03:25:20Z,2024-12-17T03:26:11Z
@jasonhiggins6236,Use AI to configure the fairest and most efficient healthcare system using everything we know about healthcare around the world .... This would be the obvious answer but no they cant manipulate that,0,2024-12-17T02:27:21Z,2024-12-17T02:27:21Z
@Nonesuch55023,Luigi Mangione-the man,0,2024-12-16T23:57:09Z,2024-12-16T23:57:09Z
@deneilwilliams4380,I owe the IRS ten thousand plus dollars for healthcare credits SMH that's why I do not want to bring a child into this corrupt world and many more reasons. 💪🏿🪖❤️💪🏿✊🏿,0,2024-12-16T23:55:45Z,2024-12-16T23:55:45Z
@deneilwilliams4380,Free Leugi 💪🏿🪖❤️💪🏿✊🏿,2,2024-12-16T23:45:26Z,2024-12-16T23:45:26Z
@adlerherman9388,"BRAVO mister Mangione, thanks for your Wise Justice !!!👍",0,2024-12-16T22:58:59Z,2024-12-16T22:59:08Z
@monaestrada6256,"I'm currently fighting for fur my chemo treatments as well. I'm 79 and i guess they feel I've lived long enough!  This is a horrible situation for those of us who are desperately trying to stay alive. My familys longevity is a very long one for  us. We live untill we are in our 90s!  I'm only 79, A baby according to my aunts!  I still think and feel younger! But my health is an issue!  I need to be on chemo !",1,2024-12-16T21:18:20Z,2024-12-16T21:22:08Z
@Heretoannoy-k7b,The ceos will just boost their security,0,2024-12-16T18:56:20Z,2024-12-16T18:56:20Z
@INFJ_Pisces,"… and still don’t know sh*t about ‘the guy’ that had time to climb a roof, set up shop for almost an hour, eat his lunch, then take perfect aim at our President Trump, but nothing to see here, folks! 🤡",0,2024-12-16T17:53:42Z,2024-12-16T17:53:42Z
@adamz67,NHS united health care ...,0,2024-12-16T17:38:00Z,2024-12-16T17:38:00Z
@AbrahamLugo-hb9cy,🫏💩🐘💩🐑🤑1/99,1,2024-12-16T16:49:48Z,2024-12-16T16:49:48Z
@AbrahamLugo-hb9cy,📰💩📰🤑📰🐑1/99,1,2024-12-16T16:49:36Z,2024-12-16T16:49:36Z
@AbrahamLugo-hb9cy,👏🏿👏🏾👏🏽👏🏼👏🐺,1,2024-12-16T16:49:17Z,2024-12-16T16:49:17Z
@AbrahamLugo-hb9cy,🫏🤑🐘🤑🐑1/99,1,2024-12-16T16:49:06Z,2024-12-16T16:49:06Z
@AbrahamLugo-hb9cy,👏🏽👏🏾👏🏿👏👏🏼✊🏽,1,2024-12-16T16:48:33Z,2024-12-16T16:48:33Z
@AbrahamLugo-hb9cy,🫏pan💩🐘pri💩🤑🐑1/99,1,2024-12-16T16:48:25Z,2024-12-16T16:48:25Z
@AbrahamLugo-hb9cy,👏🏿👏🏾👏🏽👏🏼👏🐺,1,2024-12-16T16:47:51Z,2024-12-16T16:47:51Z
@AbrahamLugo-hb9cy,📰💩📰🤑📰🐑1/99,1,2024-12-16T16:47:43Z,2024-12-16T16:47:43Z
@AbrahamLugo-hb9cy,Law💩🐑1/99,1,2024-12-16T16:47:24Z,2024-12-16T16:47:24Z
@Whitesilver1970,Stop calling it a Health Care. There's nothing caring about thier insurance company. It's more Health Scare Insurance,0,2024-12-16T14:56:04Z,2024-12-16T14:56:04Z
@freehaven1,C'mon people!!!   how are healthcare executives supposed to make 10 million a year if they pay your claims???!!,1,2024-12-16T14:46:46Z,2024-12-16T14:46:46Z
@calipdis2,Did you know that these insurance companies pay outsourced call centers where they are instructed to deny and delay services as a main objective instead of attending the health customer on their needs? I heard it from one who works in there and is amazing how low they can fall for greed...,0,2024-12-16T14:08:00Z,2024-12-16T14:08:00Z
@calipdis2,"If Mangione had not done anything, millions would continue to being denied their rights in silence because it would not be a scandal. I do understand mangione and people can only take some until is enough",0,2024-12-16T14:04:53Z,2024-12-16T14:04:53Z
@audreytalley-rush7847,Exactly?😡👎,0,2024-12-16T13:47:14Z,2024-12-16T13:47:14Z
@KeithGeorgeSR,The unaffordable care act remember Americans.,0,2024-12-16T13:44:52Z,2024-12-16T13:44:52Z
@KeithGeorgeSR,Our Congress did this to the American people. Our so called leaders did this and they want more. Slaves,0,2024-12-16T13:43:26Z,2024-12-16T13:43:26Z
@sheknows9950,"EVIL HEALTHCARE SYSTEM 👹
HEALTHCARE MUST BE 4 ALL🙏",0,2024-12-16T13:38:41Z,2024-12-16T13:38:41Z
@garryharriman7349,As a British naturalized American citizen (2018) I can say that the one aspect of American life I both fear and detest in equal meaaure is our abhorrent for proffit private provsion of health care. Most of our tax revenues go to the Pentagon and paying off the interest on our eye watering National Debt. How Congress ever permitted this system to domiante and prevail is not surprsing to me when one considers that the US is an oiligarchy wrapped up in a plutocracy. Don't get ill or old even if you do have insurance as it could ruin you! Only in America!😢,0,2024-12-16T12:28:21Z,2024-12-16T12:34:01Z
@generalmanagement6094,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂NY MAYOR is the same as CEO..... all CEO should have cap salaries....  And the public servants like the Mayor of ny that was found guilty for corruptness..... OUR Government protect these greedy folk... and be getting denied coverage too...SMH 11:35,1,2024-12-16T10:51:36Z,2024-12-16T10:53:05Z
@jb8801,BCBS denied my spouse's  coverage for a hernia surgery saying it wasn't life threatening.,0,2024-12-16T09:52:29Z,2024-12-16T09:52:29Z
@PaulMontfort-i6u,"Its not just the medical field, the banking industry, big corporations and the billionaires all continuously screw over the American people,v le5 them tell it that's j9w capitalism works i guess the one's who like it, and are not billionaires love it so long as the billionaires use plenty of griese the deeper they run it up in them the more they love they it , 8 call that total pain freaks",0,2024-12-16T09:12:41Z,2024-12-16T09:12:41Z
@Anandramit,Aetna is WORST  - I was AR caller FOR PRVIDER.. we are tired of Aetna . I’m CODER BILLER AND MEDICAL auditor and former CMO,0,2024-12-16T08:18:17Z,2024-12-16T08:21:09Z
@ezekielmorrow337,"So SO refreshing to see coverage where all acknowledge that Luigi is a SUSPECT, not actually convicted of anything.",1,2024-12-16T06:53:42Z,2024-12-16T06:53:42Z
