User,Comment,Likes,Published At,Time Ago
@日本のカバ,Why can’t the Middle East have a single day of peace,0,2024-12-17T03:38:21Z,2024-12-17T03:38:21Z
@Vikermajit,Karma catching up...,0,2024-12-16T13:26:39Z,2024-12-16T13:26:39Z
@alexsidletskiy5923,There was no state such as Syria. Syrian Arab Republic was founded by the mandate of France. The mandate was the reason for Assad “regime “. Assad was hated by many but tolerated by many minorities as well. The country people refer as Syria from one regime can and up in another regime. A religious one that can be and is not the best choice. Quite few minorities in Syria don’t want rebels especially considering rebels have only declarations . They yet to prove they are state worthy. Just because Damascus under control which by the way can be credited to former government doesn’t mean minorities who live in provinces are safe. If some minorities want they can have their own republic that’s on the border with Israel. Israel is there to defend own country however minorities who live in that region can benefit from that . Israel is the only democracy and people in Syria unlike in religious Arab states not used nor like religious regimes. Israel sort of Russian Federation in Crimea and Donbas,0,2024-12-13T01:44:53Z,2024-12-13T01:45:45Z
@Brianthegreat-vd8fo,"Where are all you cowards threatening AMERICAN college kids for not wanting to be part of a GENOCIDE, now that all your favorite operation mockingbird pundits and all your Israel 1st politicians are supporting alqaeda??    Real support as in money weapons ect??   Treason!!!",0,2024-12-12T12:46:14Z,2024-12-12T12:46:14Z
@PowderedToastMan965,another country completely destroyed. brought to you by the US and its allies,1,2024-12-10T06:35:43Z,2024-12-10T06:35:43Z
@backpacker778,"Asad holds 2 bilion $$$$$$$ that belongs to his people 😢😢😢  . A murderer of his own people that has commited terrible crimes against humanity . The butcher from Syria. Asad murdered thousands of Syrians  including pregnant women , children , babies , old men and women... 
We should find a way to confiscate his money ...
To be continued.

Asad  should be brought to justice by his own people !!!
US and it's allies  should pressure Rusia to hand  Asad  over  to Syria !!!",0,2024-12-10T00:52:34Z,2024-12-10T00:58:04Z
@JennyBrie2006,Faux,0,2024-12-09T18:49:36Z,2024-12-09T18:49:36Z
@AlbaCummings,"Got my ALM tokens during the presale, feels like I’m ahead of the curve! Alemio Network could be one of the best DeFi projects of the year",0,2024-12-09T16:37:51Z,2024-12-09T16:37:51Z
@NicolaLofton,"Yes guys I´ve heard about Alemio Network, it will be absolutely massive. All major exchanges will list ALM",0,2024-12-09T16:37:48Z,2024-12-09T16:37:48Z
@AUGUSTRedmon,One of the top new project is definitely Alemio Network. Cross-chain narrative will do great in the following year.,0,2024-12-09T16:37:46Z,2024-12-09T16:37:46Z
@PETENielson,Alemio Network's presale got the crypto community buzzing – because cool projects deserve all the attention!,0,2024-12-09T16:37:44Z,2024-12-09T16:37:44Z
@SalleyKovacs,"The future of finance is here, and it's called Alemio Network. Joining the presale ASAP!",0,2024-12-09T16:37:42Z,2024-12-09T16:37:42Z
@NichellePemberton,"Do not underestimate the power of getting in early. If you are not in Alemio now, you are lagging behind.",0,2024-12-09T16:37:32Z,2024-12-09T16:37:32Z
@JEFFEREYBerry,Alemio Network is attracting serious attention from big investors. Are you ready to be part of the next big thing in DeFi?,0,2024-12-09T16:37:30Z,2024-12-09T16:37:30Z
@CRISTOPHERAllred,New partnerships that Alemio Network annouced will skyrocket ALM token soon.,0,2024-12-09T16:37:25Z,2024-12-09T16:37:25Z
@DIEGOZambrano-o1h,Just subscribed to Alemio Network's channel. Looking forward to more updates on this project,0,2024-12-09T16:37:23Z,2024-12-09T16:37:23Z
@DELMERChurch,I can’t believe how easy it was to join the Alemio Network ICO. Early adopters are always the ones who benefit the most—jump in before it’s too late!,0,2024-12-09T16:37:21Z,2024-12-09T16:37:21Z
@SallieMorris-y1f,"I’ve been watching Alemio Network since the beginning of the presale, and it’s looking more solid every day. Might be one of the better DeFi plays this year.",0,2024-12-09T16:37:19Z,2024-12-09T16:37:19Z
@JosefineToro,"Major CEX listings incoming for Alemio Network, lock your position now before its to late..",0,2024-12-09T16:37:17Z,2024-12-09T16:37:17Z
@MehmetMuzaffer-zr9yl,Just watched the video about Alemio Network. Research mode activated!,0,2024-12-09T16:37:15Z,2024-12-09T16:37:15Z
@ELLISEmerson-p4t,"My picks for next 3 months period are INJ and FIL. But also, guys do not miss Alemio Network presale, is almost over.",0,2024-12-09T16:37:13Z,2024-12-09T16:37:13Z
@frankfinkful,We can't pull our military forces out? We have to stay and fight?,0,2024-12-09T14:59:31Z,2024-12-09T14:59:31Z
@lightningmcqueen181,"The most important thing is to keep IRANIAN Influence out of Syria! 
We know historically these Middle Eastern Countries struggle to Prevent the tribal warfare to Pollute any chance of Standing up a legitimate Govt",0,2024-12-09T14:25:39Z,2024-12-09T14:29:34Z
@allknight7905,The drama in the Middle East never gets  Old.,0,2024-12-09T12:20:07Z,2024-12-09T12:20:07Z
@yunos64able,Syrian drama.... Everybody surprise how smart PALESTINA RUSIA TURKIYE and IRAN play out Zionist Alliance( USA NATO ISREAL and WAHABISE),0,2024-12-09T12:13:57Z,2024-12-09T12:13:57Z
@Soorauy,We need help to get the detainees out of Sednaya prison. There are thousands in the underground prison. No one can get them out. We need machinery and equipment. We need help from anyone who can help. No one can breathe in the prison. There is no air. There is nothing!! Let the whole world know what injustice Bashar al-Assad has done to his people!!!,0,2024-12-09T11:41:46Z,2024-12-09T11:41:46Z
@LightFoLLowTHE,Just like Iraq. Regine falls and the terrorists rise. This time thanks to joe they got a billion in military equipment in Afghanistan.,0,2024-12-09T11:38:00Z,2024-12-09T11:38:00Z
@likemilfes,Assad fleeing like a rat….giving BJ’s to Putin now. Too hateful for YouTube’s Woke Police if I call him human scum??,0,2024-12-09T10:15:59Z,2024-12-09T10:15:59Z
@Azura519,Afghanistan version 2.0 is coming.,0,2024-12-09T10:15:33Z,2024-12-09T10:15:33Z
@michaelc3051,"Fox, Trump, Gabbard et al must be heartbroken by the loss of one of their favourite dictators. Assad is one of their dearest mass murderers.",0,2024-12-09T09:31:00Z,2024-12-09T09:31:00Z
@Elovess,"Did this guys say that was because of rhe Arab spring.?
A clearly guided manipulated spring to me 😆",0,2024-12-09T08:23:00Z,2024-12-09T08:23:00Z
@DanKu-f4d,Prevent Turkey from empowering terrorists.,1,2024-12-09T06:43:41Z,2024-12-09T06:43:41Z
@DanKu-f4d,"Turkey wants to subugate and suffocate the Kurds and help the extremist Islamists and Jihadists, please support the Kurds. Give voice to them. They are democratic and forward thinking. This scares Turkey.",1,2024-12-09T06:36:02Z,2024-12-09T06:36:02Z
@Anthonytareh,"No way they’re gone peace man. These comments are so uneducated. They’re gone be fine, and establish congress",0,2024-12-09T06:09:19Z,2024-12-09T06:09:19Z
@ScottGG-tq5ts,"We all know what is going to happen! They are too emotional, too fanatical and immature to decide what is best for the people",0,2024-12-09T05:13:20Z,2024-12-09T05:13:20Z
@adila9191,"Well, there are Christians in Palestine too, Fox. You don’t seem to be worried about them that much.",0,2024-12-09T04:57:24Z,2024-12-09T04:57:24Z
@Sola-Scriptura777,"The same game that the Americans they did  with Afghanistan, and Libya with Qaddafi, and with Saddam Hussein, in Iraq,  the same game also they did with Assad in Syria. and forever free Palestine 🇵🇸",2,2024-12-09T04:50:06Z,2024-12-09T04:51:46Z
@ashifhassan1148,"This is garbage. The Christians are happy that Asad is gone. The rebel leaders met with Christian leaders and promised safety. There are testimonials from Christians that they see this as a form of liberation. I think it's ridiculous that you talk about these rebels as terrorists while praising Israel, a country that has been committing genocide in Gaza according to Amnesty International. This is not journalism but a full blown propaganda.",1,2024-12-09T04:49:44Z,2024-12-09T04:49:44Z
@tom4150,Big lose for little Putin lol,0,2024-12-09T04:47:29Z,2024-12-09T04:47:29Z
@OrimShow,This is not a good day for the world this means evil has won and Israel must be stoped they have ruined the world,0,2024-12-09T04:36:53Z,2024-12-09T04:36:53Z
@Space1outer,The fall of the assad regime puts christians at risk.,0,2024-12-09T03:42:10Z,2024-12-09T03:42:10Z
@roberte5057,Let them sort it out.  The west should not be involved.   Sick of seeing our soldiers dying in the middle east.  Look at Afghanistan........same as it was.,0,2024-12-09T03:41:59Z,2024-12-09T03:41:59Z
@winstonsmith935,The Middle East was made for turmoil. Look at its history.,0,2024-12-09T03:26:45Z,2024-12-09T03:26:45Z
@user-ew4pe7zf3k,The middle east sucks,0,2024-12-09T03:19:06Z,2024-12-09T03:19:06Z
@MrSlanderer,Happy to see all the rightwingers melting down at the ousting of one of their most cherished darlings. I still remember you people losing your minds at Trump launching airstrikes when Assad used chemical weapons on his own people...,0,2024-12-09T02:37:39Z,2024-12-09T02:37:39Z
@DinkinFlicka11,Libs bow down to terrorists. Why would this be any different?,0,2024-12-09T02:25:23Z,2024-12-09T02:25:23Z
@BoxcarBill,Assad was overthrown by Israel who behind the scenes is pulling all the strings.,0,2024-12-09T02:24:35Z,2024-12-09T02:24:35Z
@sunrise7ranch85,The CIA finally completed thier odjective. Buckle up Yall....,0,2024-12-09T02:05:49Z,2024-12-09T02:05:49Z
@dj_flyingkite,We have seen this too many times before.. does not end well…,0,2024-12-09T02:05:35Z,2024-12-09T02:05:35Z
@AnjanieRampersad-s9r,He should be jailed for crimes against humanity!,0,2024-12-09T02:01:44Z,2024-12-09T02:01:44Z
@AnjanieRampersad-s9r,Trump WILL stay out of this!,0,2024-12-09T02:00:14Z,2024-12-09T02:00:14Z
@aykay7828,"Quarter Syria by Christians, Sunnis, Kurds, Druzes and seculars.",0,2024-12-09T01:49:38Z,2024-12-09T01:49:38Z
@RestoreJustice675,"There is a Christian genocide happening. Ukraine and The Gaza Strip both have Christians dying in them. 
    Now watch Syria will go the same way.
   In France a Church is being set on fire evert 2 weeks. Every 15 days a Mosque is being started in France.
     Germany is also facing similar immigrant problems.
    It will be here in America as well.",0,2024-12-09T01:26:10Z,2024-12-09T01:29:18Z
@seanselman3128,Nothing good will come out of this,0,2024-12-09T00:54:56Z,2024-12-09T00:54:56Z
@ziruk-king4466,Don't care-- who really cares,0,2024-12-09T00:44:59Z,2024-12-09T00:44:59Z
@stephenpike2529,How about we stop sending money to anybody in the region and defund the UN?,0,2024-12-09T00:43:10Z,2024-12-09T00:43:10Z
@brandon_21ea,Replaced a dictator to another dictator,1,2024-12-09T00:35:27Z,2024-12-09T00:35:27Z
@ManifestingADream,"What a tragedy, this will only make things worse 😢",0,2024-12-09T00:21:23Z,2024-12-09T00:21:23Z
@CatLife0,Who's directing this shite. Every time the guy speaks they start playing sounds of chaos 🤦🏻‍♂️,0,2024-12-09T00:08:44Z,2024-12-09T00:08:44Z
@conniedean3787,Bashar al-Assad gassed his own people,0,2024-12-09T00:04:36Z,2024-12-09T00:04:36Z
@brucenenke-vk5nk,It was even more bloodless than Trump's failed insurrection.,0,2024-12-08T23:59:44Z,2024-12-08T23:59:44Z
@AN-nl9pu,"Yeah, Al-Qaeda backed by US to fight against Russia. 
Didn't this happen before? In Afghanistan. 
US just keeps repeating the same mistakes.",0,2024-12-08T23:50:22Z,2024-12-08T23:50:22Z
@deadmanswife3625,"The guy is still alive and he's gone into the bosom of Russia this is not over.
 this is World War 3 continues people",0,2024-12-08T23:43:24Z,2024-12-08T23:43:24Z
@MediaLieDetector,C👁️A,0,2024-12-08T23:36:28Z,2024-12-08T23:36:28Z
@McGriff99,Trump betrayed the Kurdish warriors last time. Will he do it again for golf courses in Anatolia?,0,2024-12-08T23:33:12Z,2024-12-08T23:33:12Z
@McGriff99,The rebels are largely composed of Alqueda and ISIS Trump lied about killing,0,2024-12-08T23:30:39Z,2024-12-08T23:30:39Z
@kupper123,"Better the devil you know, then the devil you don’t know.",0,2024-12-08T23:27:46Z,2024-12-08T23:27:46Z
@beckyumphrey2626,Trump will pull out ALL Americans and allow the stew to brew naturally. AMERICA FIRST!!,0,2024-12-08T23:16:55Z,2024-12-08T23:16:55Z
@shanedorr2236,Iran is next......,0,2024-12-08T23:04:46Z,2024-12-08T23:04:46Z
@ferdinandpailas2833,"It's power vacuum once more. It's like Iraq, Libya and Afghanistan all over again. ISIS 2.0 with a different faces and names.",0,2024-12-08T22:55:29Z,2024-12-08T22:55:29Z
