User,Comment,Likes,Published At,Time Ago
@Wheel8of9time,Omg her Lawyer was in a word TERRIBLE,0,2024-08-12T22:46:17Z,2024-08-12T22:46:17Z
@JohnOneall-pg1qu,"If I am Depp, I'm owning the Washington Post period",0,2023-12-30T22:07:48Z,2023-12-30T22:07:48Z
@assundamcdonagh9477,Gender doesn't discriminate on abuse whether it's a man or women.,2,2023-11-25T11:58:08Z,2023-11-25T11:58:08Z
@katty5003,"👏 Judge Jeanine! For speaking truth, we all watched & all the mount of evidence showed her lies & abuse. In this case He is the victim. It’s truely disturbing how most of mainstream media defends her & gaslights the public, trying to re-write truth with false documentaries & article.",2,2023-09-08T02:31:57Z,2023-09-08T02:31:57Z
@azeemuddinkhan923,Bed pooper,0,2023-04-09T21:03:06Z,2023-04-09T21:03:06Z
@petrakleine6847,Wow did i just hear mainstream media telling how it is?,2,2023-04-05T09:47:03Z,2023-04-05T09:47:03Z
@TheRomanTimesNews,"Do y’all consent to me being 

Limited to posting my ideology my ideas 

In a 24 period 

And you can run 24/7 a day 

How is that fair 

You are on tv 

In every bodies home 

Per say forcefully 

I can’t tune you out 

I mean I can 

But you are every where 

Like propaganda 


And I get limited 

To 

Posting


What do you think and feel about this judge 


Please judge 🧑‍⚖️ 

You option 

On censorship 


On social media 

And not in national global broadcasted tv 

Local tv is free and you are the ones who give the posts to America 

And I get banned for 24 

Of posting 


Like whaaaaaaaaaaaaaaa



❤❤ crazy y’all 

Crazy 😜 lol 


Try again censorship 


Your move 

I will wait here 


7 moves left in the board 


You are 

Where we are going meow 


📦 


Bliss",0,2023-01-27T21:08:44Z,2023-01-27T21:08:44Z
@heatherbeau4759,If someone is asking for another chance. They are the abuser. Victims don't ask for a 2nd chance to be beaten.,1,2022-12-30T04:57:48Z,2022-12-30T04:57:48Z
@virginijean7588,If Avatar is cultural appropriate why is it only made available to certain people.Who is above the law? Them law are not concern their inventors but created just for some minority people.That is injustice and unfairness.Jesus came to set the captives free We look to God.,0,2022-12-22T21:19:09Z,2022-12-22T21:19:09Z
@virginijean7588,One day your power over whom you call the little people;your meat;money machine would be over.JesusChrist would reign and judge people accordingly not by side.,0,2022-12-22T18:58:13Z,2022-12-22T18:58:13Z
@dianegonzales7345,Amber was a gold digger. And KARMA back fired against her. What Johnny should have had in place was a prenuptial agreement 🤝 ✌️ 🤔,2,2022-12-21T18:37:54Z,2022-12-21T18:37:54Z
@Nana1953,"Finally, mainstream media tells the truth.  CNN needs to watch the trial before the back.",2,2022-12-19T06:58:40Z,2022-12-19T06:58:40Z
@SLOTHSRIDEUNICORNS,At least you're on his side. Gutfeld doesn't sound like he is.,1,2022-12-04T01:27:25Z,2022-12-04T01:27:25Z
@mariarahelvarnhagen2729,Simple Stupid Conundrum Innit,0,2022-11-08T19:37:59Z,2022-11-08T19:37:59Z
@millsykooksy4863,thank you judge jeannine,3,2022-10-23T23:54:09Z,2022-10-23T23:54:09Z
@leavewildinwild,"Didn't confuse me.  
I'm sure if she had any credible evidence then Johnny could have some on her.  Sorry Amber, you can't bring in any new evidence to an appeal.",2,2022-09-15T19:43:49Z,2022-09-15T19:43:49Z
@MrShadowfax42,"2:07 ""She hurt battered women"" - this is such nonsense that is repeated seemingly everywhere. 

AH LITERALLY HURT A BATTERED MAN - Johnny Depp - and in the trial the battered man was rightfully victorious.

STOP thinking of domestic abuse in terms of ""WOMEN = VICTIM"" - this attitude does more damage to all victims of DV than what AH did. smh

This case actually helped ALL victims of domestic abuse, ESPECIALLY MEN, who are hardly ever believed when victims of DV. Hardly ever believed BECAUSE of attitudes like Pirro's, I might add.",2,2022-08-31T16:52:22Z,2022-08-31T16:52:22Z
@carolinecoy3164,"According to the jurer that some out, they didn't even take into account any Paris witnesses or family and friends, so why the hell would they take into account an auxiliary media or what fans had to say. She's reaching at best.",0,2022-08-24T20:30:38Z,2022-08-24T20:30:38Z
@Ola-dv1tz,DISGUISTING FOX! WE DEMAND FIRING THE JUDGE!,0,2022-08-07T10:05:29Z,2022-08-07T10:05:29Z
@debradale6305,Yes! JD should sue the WP for this insanity! These far left rags get away with lies every day and someone needs to stop them or at least hit them with their best shot and hit them in their pockets where it h7rts!,0,2022-08-05T02:46:02Z,2022-08-05T02:46:02Z
@coryt3629,Elaine shut up your confused as to the difference between right & wrong !!! And I don’t believe this has hurt battered women if anything it’s made them stronger ! Abuse victims are survivors !!!,1,2022-08-02T17:24:45Z,2022-08-02T17:24:45Z
@brooklynny8617,"Basically her lame lawyer Elaine, who got her butt handed to her by Camille, blaming the jury as if they were not smart enough to come to the decision they did.",1,2022-08-01T23:22:22Z,2022-08-01T23:22:22Z
