User,Comment,Likes,Published At,Time Ago
@nocturnalrecluse1216,Proof that feminism is NOT for men.,0,2024-03-27T15:41:56Z,2024-03-27T15:41:56Z
@vikashkumarsharma1412,so ironic that this man is calling johnny weak and he himself is being suppressed by the assertive women .....bro debunking feminist is the most easiest thing in planet earth its a piece of cake,0,2024-01-06T16:41:17Z,2024-01-06T16:41:17Z
@Christus.Invictus,"Kim seems to be missing the main point on modern feminism and it's affect on men especially when many self described feminists are happy to claim to want ""equality"" yet only want all the goodies and none of the bad. How many women wanted equality for being drafted and dying in Vietnam? How many want to split custody of the children 50/50 in divorce? How many want to pay for half of every dinner date in the courting process? Again...they want all the goodies of equality and none of the bad that men deal with....let's also not forget about the absolute assault on men with false claims of ""toxic masculinity"". 

You never hear a feminist say that when their is a house fire and some man runs through flames to save someone trapped inside...never hear that when there is an emergency and the words ""women and children first"" to escape the disaster..people love to see men die unequally...that's why the movie Titanic was such a popular film....so let's stop pretending that men aren't absolutely taken for granted for the sacrifices they make to protect and defend those around them. Modern feminism wouldn't be possible if MEN weren't willing to die so you could thank them by calling them ""toxic""...what an ungrateful and cruel joke this topic is...",1,2022-05-23T02:35:42Z,2022-05-23T02:38:38Z
@toninikolova468,"The only gender aspect in the Depp/Heard case is related to the fact that male individuals can be victims too. Like it or not, it happens. The positive in the situation is this case gave a voice to many males who are shamed for becoming a victim in a relationship. A person can be a victim at work, at school, as a child, but the narrative in society is ""you are not man enough if you allow this"", hence they don't seek support if this happens. This issue has little to do with feminism. The issue here is the exploitation from a group of people with high narcissistic traits of others. This is a mental health issue. We live in society where narcissism thrives, uses others for resources, feeds on their kindness and empathy, leaves destruction after itself and does not have integrity or accountability. It could be in the face of feminine or masculine individual. This case brings more awareness to the court system to take into account narcissistic individuals and the consequences of their behaviors on others.",0,2022-05-22T00:31:42Z,2022-05-22T00:31:42Z
@notandyvee,"""maybe men can't handle strong women"" - that sounds like an excuse for an argumentative women 😂. Even if that were true, the dating market does not bare this out. Women in general, want the best man. Men on the other hand are ok with women who have nothing. This whole segment was a joke to the reality of the world.",0,2022-05-15T12:10:43Z,2022-05-15T12:10:43Z
@scottmacd1961,I’m sure there are those without lives of their own interested in this BS trial.  I didn’t watch this video because I don’t give a FF about two spoiled Hollywierd cry babies.  Get lives people.,0,2022-05-14T13:54:48Z,2022-05-14T13:54:48Z
@prschuster,"If men are weaker, maybe it's more about the economy. It's harder for one to support oneself, let alone a family, with the gap between rich and poor widening. Lack of opportunity, takes away incentive. This, coupled with a culture that allows unabated resentment against men in the media, is also a contributing factor. Saying that men all of a sudden drop out, of their own accord, explains nothing. Nobody knows what they're talking about here.",0,2022-05-08T19:03:21Z,2022-05-08T19:07:50Z
@real_Nadventures,Last segment: modern strong woman says modern man can't figure out how to fit in with modern strong woman. The man dares not disagree with modern strong woman and so capitulates. Brilliant.,0,2022-05-05T18:26:54Z,2022-05-05T18:26:54Z
@romeovictorgallego2275,Feminism is going to destroy this country.,0,2022-05-05T01:57:50Z,2022-05-05T01:57:50Z
@CBlade0,Poor weak man presenting silly generalized arguments :(,0,2022-05-04T21:57:17Z,2022-05-04T21:57:17Z
@ChanceX74,"I made sure to read Auguste's article before watching this video, which is a habit I've started to practice because it's always interesting what gets left out of the conversation when it takes place. While I partially fault Auguste for missing the opportunities to bring this up during their rebuttals, I found it curious that both Kim and Robby completely avoided the parts of his piece that mention the increase in fatherless homes and lack of male role models in visual and entertainment media, which is a direct result of modern feminism. Instead, they just fell on the tried and true ""maybe men just don't know how to deal"".

If you teach someone that they can get away with everything, they tend to believe they can get away with everything. This is especially true when you also give them a victim mentality and teach them that any attempt at balance from the other side is oppressive. I think the best example is when you hear Heard on tape saying ""Who's going to believe you?"" after admitting to assaulting him. She honestly believes hashtagfeminism will have her back.",1,2022-05-03T17:35:39Z,2022-05-03T17:44:18Z
@invisibleman4827,"This is one of the worst takes I've ever seen. Victim blaming to avoid blaming feminism and calling Amber Heard a ""strong woman"". Pathetic. Really pathetic.",1,2022-05-01T16:41:18Z,2022-05-01T16:41:18Z
@katiegiseburt6065,These generalizations about gender are absurd. Please think critically about the claims these people are making.,0,2022-05-01T15:14:32Z,2022-05-01T15:14:32Z
@stephensuddick274,Reading a lot into a little.,0,2022-05-01T09:47:48Z,2022-05-01T09:47:48Z
