User,Comment,Likes,Published At,Time Ago
@tellthetruthna8523,The right was always behind the pro-Depp mania.   It wasn't a side effect.  It was a well organized propaganda campaign that is having real world consequences.   People on the left got duped into supporting it.   Most are doubling down instead of learning from their mistakes.,0,2022-09-17T06:52:57Z,2022-09-17T06:52:57Z
@marz9676,"Theres so many crazy aspects to this that I cant stop fixating on it, especially the mainstream incel rage and misogyny that makes me feel unsafe. Its an unhinged mob mentality wanting to crush a woman under its collective thumb for any exaggerated reason while coddling and excusing the man despite tremendous evidence of abuse.. But also, did you know Depp's true lawyer, Adam Waldman, was banned from court because of his unethical practices? He was found to feed stories and confidential info to the press, create negative social media campaigns, and was harrassing Amber for years,  it was worth it because it worked. People tuned in already hating her and wanted to see the witch burn. So did Depp, apparently, based on his texts. The bias was astounding.  What really freaked me out was that the general  public deemed Depp's texts that he said he wanted to drown, burn, and sexually assault Heard's corpse and ones like ""I'll smack the ugly c*** around .."" as NOT ABUSIVE because ""she deserved them"" and ""she drove him to it"". While Amber was deemed an abusive monster for laughing at his claims, calling him a baby, and saying that hes old. Women need to assemble.",1,2022-06-12T06:33:48Z,2022-06-12T06:33:48Z
@levijetkins7423,Then you should be upset with Amber for lying and being a terrible person.,4,2022-06-08T08:06:23Z,2022-06-08T08:06:23Z
@throwaway5897,how are people still conflating a defamation lawsuit with a DV case/issue?,2,2022-06-07T19:05:36Z,2022-06-07T19:05:36Z
@throwaway5897,Depp never defamed herd but herd did in fact defame Depp.,7,2022-06-07T19:03:25Z,2022-06-07T19:03:25Z
@stevedv629,"Johnny depp case was about truth and balance,  things were out of balance,  it was a demonstration of balance.  I find the left far less dangerous if it’s wrong than the right,  but the left should accept that they can go too far.  Clearly there are tons of personality types that will take advantage of that imbalance, ie juicy smollier and now amber heard.  It’s unbalanced to hear this listener say his opinion,  but not balance it out with the tragedy of being falsely accused.  That is no small crime either.    Truth should be goal, not bias to one side or the other",6,2022-06-07T14:25:46Z,2022-06-07T14:25:46Z
@peoples2296,It's honestly shitlib takes like this that moved me away from this channel.,0,2022-06-07T01:55:52Z,2022-06-07T01:55:52Z
@charlesandrews2360,I guess it's time for me to find out what this was all about.,0,2022-06-06T21:23:37Z,2022-06-06T21:23:37Z
@Zazz_Blammymatazz,"It looks like strong, independent wamans aren't always right and Me Too was just feminist propaganda. Oh no! 😆",4,2022-06-06T20:32:31Z,2022-06-06T20:32:31Z
@Mydogslove2laugh,You had to watch the trial to understand. It is not bad for victims. It is bad for liars,33,2022-06-06T19:59:55Z,2022-06-06T19:59:55Z
