User,Comment,Likes,Published At,Time Ago
@briank8136,We have learned so much since that day. Still a way to go for justice over all of this treason.,0,2023-10-14T01:29:08Z,2023-10-14T01:29:08Z
@EmperorKagato,Coming back here as Jay Johnston has been arrested.,0,2023-07-12T16:45:08Z,2023-07-12T16:45:08Z
@ferox965,Trump will do it again.,3,2023-06-29T16:47:29Z,2023-06-29T16:47:29Z
@mikep6979,No offense but Sam looks ten years younger than he looks now.,1,2023-05-09T21:01:21Z,2023-05-09T21:01:21Z
@lordvadertheleftie9703,Let the hate flow through you Emma,0,2021-01-17T18:41:04Z,2021-01-17T18:41:04Z
@MikeySkywalker,3:50 Spot on,1,2021-01-13T11:22:56Z,2021-01-13T11:22:56Z
@gregoryspangler5775,LIKE IT'S SAYS IN THE BIBLE. U REAP WHAT SOW😈😈😈,1,2021-01-12T04:54:45Z,2021-01-12T04:54:45Z
@gregoryspangler5775,U GO EMMA...KEEP IT REAL BABY!!!,1,2021-01-12T04:39:22Z,2021-01-12T04:39:22Z
@rodneygratz3239,Emma: rethink that makeup!,0,2021-01-11T20:38:10Z,2021-01-11T20:38:10Z
@dabblindipshit,Feet on pelosi’s desk???)!!!!!! The nerve to touch her piece of wood.,0,2021-01-11T18:57:12Z,2021-01-11T18:57:12Z
@patrickbaillargeon8051,Amerika is one sick place.,0,2021-01-11T10:05:45Z,2021-01-11T10:05:45Z
@gawkthimm6030,"A line of rioters shot dead on the steps as a warning, then they could have piled them up easy in tight kill zones in the entranches with automatic fire, used their dead bodies to block their way",0,2021-01-10T21:29:27Z,2021-01-10T21:29:27Z
@canuckinsk,Where's all the video? There were countless cameras there.,0,2021-01-10T19:29:58Z,2021-01-10T19:29:58Z
@duckingforcover09,Is it worth watching the video of the woman being shot? Normally I wouldn't watch something horrific like that but Mat said it was worth it to see how the police reacted.,0,2021-01-10T19:13:13Z,2021-01-10T19:13:13Z
@thomaskoning3985,Emma is such a good choice for the Majority Report.,1,2021-01-10T18:26:47Z,2021-01-10T18:26:47Z
@jeremygwynn,emma. is. pissed.,0,2021-01-10T17:08:59Z,2021-01-10T17:08:59Z
@neilmoore7194,"Sam, the reason that some of the police were terrified was because some of there fellow officers did not ""have their backs "".  Some of them were on the side of the insuectionists.",1,2021-01-10T09:34:05Z,2021-01-10T09:34:05Z
@markbrownner6565,4 dead in libya and 2 year investigation...5 dead here now what..?? if they had 'captured' any hated politicians there would have been serious beatings and mayhem....,0,2021-01-10T05:56:15Z,2021-01-10T05:56:15Z
@patpowers9210,"Sam's live show was on during the capitol break-in. People on his feed kept pointing out what was going on and how wild it was. Sam pretty much ignored it all, except for briefly showing a video of it. He just kept going with whatever he was bloviating about. Talk about bad journalistic instincts! I was floored. Changed my opinion of Sam instantly.",0,2021-01-10T05:52:46Z,2021-01-10T05:52:46Z
@danawakes2001,Love your show guys but 720p in 2021?,0,2021-01-09T22:33:11Z,2021-01-09T22:33:11Z
@skengels,"The majority report.
The home of the brunch liberals.",2,2021-01-09T21:55:12Z,2021-01-09T21:55:12Z
@MrChewy79,The clip of Trump telling people they need to be strong is so sinister it’s not true,0,2021-01-09T21:28:29Z,2021-01-09T21:28:29Z
@MHO999999,One of the riot's fatalities was a Georgia woman trampled to death by the huge MAGA crowd.,0,2021-01-09T21:06:19Z,2021-01-09T21:06:19Z
@RedcoatT,One of the rioters who died in the coup died of a heart attack after he accidentally tasered himself in the groin.,1,2021-01-09T20:20:58Z,2021-01-09T20:20:58Z
@michaelbartlett6864,"When the rioters overran the Capitol building they became a ""Lynch Mob"" and should have been met with deadly force! I shudder to think what might have happened if the mob could have found Pelosi or other members of the Democratic Party!",0,2021-01-09T19:24:38Z,2021-01-09T19:24:38Z
@MH-gl1lt,Didn't I see police waving people on? Nos they're scared?,0,2021-01-09T18:42:47Z,2021-01-09T18:42:47Z
@donnadicasa,Just seconds before that cops got talked out of the way and stepped away from the door.,0,2021-01-09T18:07:47Z,2021-01-09T18:07:47Z
@Winstonclawfinger,You made your bed Yanks.  Have fun and enjoy.  You deserve everything that is coming.,0,2021-01-09T09:09:58Z,2021-01-09T09:09:58Z
@jessehenderson2967,Emma got her red hot angry lipstick for the terrorists.,0,2021-01-09T07:45:24Z,2021-01-09T07:45:24Z
@thehemorrhoidhut9206,"i didn't even watch this but it sucks, honestly",0,2021-01-09T07:38:53Z,2021-01-09T07:38:53Z
@donniekraus1273,"BREAKING NEWS

BISON BOY KILLED  IN SHOOT OUT WITH FBI",0,2021-01-09T07:11:20Z,2021-01-09T07:11:55Z
@ronnantab,The shooting video shows the shooter wearing a blazer.  Is that police or secret service?  Emma's comment that security shot seems more accurate than Sam saying Capitol Police.  More logical that Secret Service was not as lax as the Capitol Police and so when the women breached whoever they were protecting (Pence? Pelosi? Others?) they shot and neutralized the attacker.  Shot in the neck suggests higher level of training also.,0,2021-01-09T04:28:36Z,2021-01-09T04:28:36Z
@TrashHeapCustodian,"Hey guys

Just wanna say

Props for getting the 2021 intro in there so quick this year, I know it took a while last time",0,2021-01-09T02:49:50Z,2021-01-09T02:49:50Z
@railroadtrash09,"Had it been BLM, no cop would have survived.",0,2021-01-09T01:42:57Z,2021-01-09T01:42:57Z
@rezfarooque235,That’s white privilege for you,1,2021-01-09T00:17:09Z,2021-01-09T00:17:09Z
@jcusper365,"Interesting to see the ""blue lives matter"" flag carried by the crowd that kills cops. No problem for MAGA cult to reconcile it.",2,2021-01-08T23:54:12Z,2021-01-08T23:54:12Z
@Sagan_Blandard20XX,"The GOP encouraged this behavior for months, then hid in secret tunnels scared to death when their buddies showed up.",0,2021-01-08T22:43:25Z,2021-01-08T22:43:25Z
@bigbaddawg101,The terrorists killed a police officer.,0,2021-01-08T22:32:15Z,2021-01-08T22:32:15Z
@paulgallagher5889,"Both of my Grandfathers fought in WW2.  One was captured at the Battle of the Bulge, both came home with PTSD fighting fascists that sought to destroy our country and our planet.

We just had LITERAL NAZIS IN THE CAPITOL!!!  People waving Confederate flags in the halls of the Union Government!!!  Everyone complicit in this event needs to face jail time and be charged with TREASON.",4,2021-01-08T19:49:57Z,2021-01-08T19:49:57Z
@drehouse5733,"Hey TRUMP, what happened to When the LOOTING STARTS THE SHOOTING STARTS?, guess this doesn't go for the SPECIAL PEOPLE, YOU LOVE!",2,2021-01-08T19:20:14Z,2021-01-08T19:20:14Z
@helloman4251,that's hell of a lot of dumb people,2,2021-01-08T19:11:32Z,2021-01-08T19:11:32Z
@thefreestofspeech6951,"All people wanted was some transparency from the election. 
   But the establishment ignore them and now we're here. And the worst part is because I've gotten away with it they'll do it again.
    so I hope the progressive levels are ready because they're the next target.",0,2021-01-08T19:10:15Z,2021-01-08T19:10:15Z
@markc17,"I'm glad there weren't loads of armed police to create martyrs, that was probably Trump's plan, martyr creation.  Just a shame they didn't round up everyone who entered the building and give them 20 years in jail.",0,2021-01-08T18:30:48Z,2021-01-08T18:30:48Z
@Chimponaut,I need to hear what Ja Rule's thoughts are,0,2021-01-08T17:33:48Z,2021-01-08T17:33:48Z
@mrfuzztone,Ted Cruz needs to be held accountable. And Don Jr and Eric,3,2021-01-08T16:52:15Z,2021-01-08T16:52:15Z
@RicCortezMusic,Wow! Emma!  She's pissed.  Me too.,0,2021-01-08T16:48:12Z,2021-01-08T16:48:12Z
@LearningTheStixx,"Well if the left is consistent, she probably said something like, ""It never happened.""",0,2021-01-08T16:35:06Z,2021-01-08T16:35:06Z
@witHonor1,Why is Sam so confused? Moderate conservative.,0,2021-01-08T16:25:03Z,2021-01-08T16:25:03Z
@mr.dr0bot731,It's funny how the national guard was activated for BLM though. Black people have never done anything like this. This country is trash.,0,2021-01-08T16:23:13Z,2021-01-08T16:23:13Z
@mr.dr0bot731,Defund the mf police. They are clearly useless and complicit.,0,2021-01-08T16:17:26Z,2021-01-08T16:17:26Z
@mr.dr0bot731,They blamed this on black people so fast.,0,2021-01-08T16:14:26Z,2021-01-08T16:14:26Z
@1MarkKeller,"I find it strange that SWAT could get to her so quickly after she was shot, but where were they right before she was shot?",1,2021-01-08T16:06:40Z,2021-01-08T16:10:57Z
@graziousgirl,I think another reason why they didn't really wanna shoot in this case was because of the much higher possibility of those people shooting back. It's so much easier to shoot at or taser people who are mostly trying to keep things peaceful and are less trigger happy.,1,2021-01-08T16:02:33Z,2021-01-08T16:02:33Z
@XenonPrimeSBSV,"They had a freaking noose and gallows set up! What if they had actually gotten a hold of one the folks who's been demonised? 

Imagine if we had seen this mob lynching a member of Congress!",0,2021-01-08T15:56:35Z,2021-01-08T15:56:35Z
@ssilva8803,Sam and Emma are just the worst. Faux progressives who work against the people.,0,2021-01-08T15:22:56Z,2021-01-08T15:22:56Z
