User,Comment,Likes,Published At,Time Ago
@BillyBoo-e5r,TYT you guys didn't right this time... You need to listen to the people who were liberated from the prisons and all the people who flee Syria when Assad was bombing them.,0,2024-12-18T21:05:23Z,2024-12-18T21:05:23Z
@GelgoogJ,"Biden is all ""Isreal....Syria....ZZZZZzzzz......""",0,2024-12-17T09:30:50Z,2024-12-17T09:30:59Z
@ngenyupaul4140,TYT is useless with loud mouth Cenk the Turk,0,2024-12-17T04:45:39Z,2024-12-17T04:45:39Z
@ngenyupaul4140,"This Anna and Cenk do not deserve to comment on anything. They condermed Israel every day till this happened. 
  CENK is a GOAT",1,2024-12-17T04:28:02Z,2024-12-17T04:28:02Z
@darrendozier2544,This guy is out of his mine,0,2024-12-16T05:47:55Z,2024-12-16T05:47:55Z
@FranklinSalazar-u2s,"Cenk says ""Could be""  NO, we know by emperical evidence that the Catholics will be attacked.  Assad protected the Catholics.  

If you want to know the future, look at Libya.  The american federal government does not give a damn about the civilian population, and the hell they will soon suffer.

I expect TYT to at least be intellectually honest to admit that much.",0,2024-12-15T17:49:56Z,2024-12-15T17:52:38Z
@di8859,"TYT, loud, biased and ignorant is no way to go through life.",0,2024-12-15T17:45:28Z,2024-12-15T17:45:28Z
@elspethg7497,Tyt don’t seem bothered by the suppression and oppression of the majority Sunni population by the alawite/shiite ruling class,2,2024-12-15T04:27:53Z,2024-12-15T04:27:53Z
@elspethg7497,Tyt don’t seem bothered by the suppression and oppression of the majority Sunni population by the alawite/shiite ruling class,3,2024-12-15T04:26:45Z,2024-12-15T04:26:45Z
@adnanihabbali,I am a Syrian citizen living in Damascus. I would love the opportunity for a video call with you to describe the situation on the ground. Please like my comments so The Young Turks sees my comment.,11,2024-12-14T21:04:56Z,2024-12-14T21:04:56Z
@SageTaitt,Anything Isreal supports i don't trust till proven otherwise,2,2024-12-14T16:08:43Z,2024-12-14T16:08:43Z
@1tr4phouse,Are you stupid? US & Israel have nothing  to do with it? Israel is trying to lockdown the Syrian border & US will act according to how the rebels act but nobody is “going in”,0,2024-12-14T09:21:46Z,2024-12-14T09:21:46Z
@1tr4phouse,It’s so funny how Hamas & hezbollah sympathizers get quiet when you mention Russia,1,2024-12-14T09:12:57Z,2024-12-14T09:12:57Z
@1tr4phouse,Delusional if Syria houses terrorism & they decide to help Iran then the US will be back in Syria if they don’t we won’t be back simple,0,2024-12-14T09:09:17Z,2024-12-14T09:09:17Z
@Castor-wi2im,"John Bolton just said ""The US should not get involved militarily"" for the first time in his life.",0,2024-12-14T09:05:27Z,2024-12-14T09:05:27Z
@melissabill1640,My god i need a flow chart in 5 colors 😳,0,2024-12-13T07:36:25Z,2024-12-13T07:36:25Z
@rodolfo5651,"the cia has been spending billions a year to train alqaeda to overthrow the syrian government, in service of the zionist entities. Its why the rebels are standing by watching the US steal its resources & Israel steal its land",2,2024-12-13T01:55:49Z,2024-12-13T01:55:49Z
@mcguerd8,"It is amazing how media in US and US led vassal states pretend as if most recent events in Syria were unexpected while everybody else was expecting this for years but not knowing the exact time. Turkey had been preventing it for years by trying to control HTS but could not stop it after the deal was reached to end the war in Ukraine. The military part of the operation started to be prepared in Napoli (Nato headquartes for the Mediterrenean) nine months ago by a joint workgroup of soldiers from UK, US, France and Israel, all  specialized on Syria. The plan was handed over to MI6 and CIA to prepare the theater. Other members of Nato were informed with their assignments and the operation started 6 hours after the Lebanon-Israel ceasefire. Therefore HTS just drove all the way from Idlib to Damascus just like driving from the east coast to the west coast without any fighting or resistance. What is expected in the future is a more terrible civil fight due to a terribly divided society in Syria probably followed by destabilizing Iran, either using the Pejak in Iran with support of former  PKK and now SDG or preferably a war between Turkey and Iran as stated openly by some so called strategy creeps.Since Turkey is a Nato country, it will justify Nato's war on Iran. It is crazy that all this is known by everybody except mainstream or even social media in US and US led vassal states.",2,2024-12-12T23:01:36Z,2024-12-12T23:01:36Z
@ahmetsahin6216,"Türkiye is NOT invading Syria. It helps the Syrian People to get rid of the 61-year-old BAAS dictatorship and take their respected place among the free nations of the World.
TÜRKİYE IS BURYING GENOCIDENT ZIONIST ISRAEL'S ""GREAT ISRAELI DREAM FROM THE EUPHRATES TO THE NIL"".",2,2024-12-12T22:43:11Z,2024-12-12T22:43:11Z
@Cleisthenes607,"Israel seized all of the Golan and is bombing all strategic and heavy weaponry of the Syrian armed forces leaving them on the level of Sudan when it comes to military power. Syria no longer exists and this is a catastrophe. The Israelis no longer need to care who rules Syria because they have no significant military power.

The entire Syrian airforce got destroyed in two days whilst on the ground and no one fired back. Incredible, the arabs are such a pathetic race, no wonder they always lose wars in the modern era.",0,2024-12-12T16:53:13Z,2024-12-12T16:53:13Z
@johnnysanchez4456,We take on the physical appearance of who we really are! Assad looks like a Weasel!,0,2024-12-12T15:54:25Z,2024-12-12T15:54:25Z
@Mustafa-travlr07,"Cenk, tyt was one of my go to channel to hear the non-main stream media stories but the moment you said Turkey don’t want “Kurds” on their border you became no different than the hypocritical main stream media and lost all your credibility there. Turkey has been defending against only and specifically against separatist PKK/YPG terrorist organization not the “entire ethnic group of Kurds”. This is the sama malicious wording the “main stream media” that you’ve been complaining about all this time has been using, and now you became no different than the ones you supposedly criticize. Utterly disappointed…",4,2024-12-12T14:50:04Z,2024-12-12T14:50:04Z
@berchen108,Rebels? Do you mean Al-qaeda?:)),1,2024-12-12T13:40:13Z,2024-12-12T13:40:13Z
@brucemacmillan9581,Down with dictators. Down with oligarchs.,2,2024-12-12T11:57:14Z,2024-12-12T11:57:14Z
@user-se5ux4lb8e,"Total stupidity to say the US want a bigger Israel, conspiracy BS but they probably do want to create a seperate country for the Kurds which they deserve.",1,2024-12-12T11:30:29Z,2024-12-12T11:30:29Z
@user-se5ux4lb8e,"Now that Iran's influence in the middle east has been decimated by both Hamas and Hezbella being wiped out and now the Syria govt been overthrown, a 2 state peace agreement can now be acheived without any influence from Iran.",1,2024-12-12T11:19:48Z,2024-12-12T11:19:48Z
@user-se5ux4lb8e,"So Cenk you dope, are you saying Assad is a better alternative.",0,2024-12-12T11:16:39Z,2024-12-12T11:21:50Z
@user-se5ux4lb8e,"The despotic leader Assad resulted in 90% of the population living under the poverty line, 10 million people being displaced as refugees from Syria under Assad, not to mention the endless civil war which resulted over 500,000 deaths, anything is better than that. The new regime is worth giving it a go, it seems to be a reasonable alternative to Assad. The Syrian people are rejoicing with the new leadership and hopefully alot of the refugees can return hope and help rebuild Syria.",7,2024-12-12T11:12:03Z,2024-12-12T11:12:03Z
@AlonzoCastoire,This is all about stealing land for the pipeline.,0,2024-12-12T11:05:05Z,2024-12-12T11:05:05Z
@moshemorgenstern9636,"""Israel hasn't been that good to Christians?"" What the hell is Cenk babbling about?",2,2024-12-12T10:58:04Z,2024-12-12T10:58:04Z
@morwickchesterham3875,Israel and Türkiye are still grabbing land as I type. Why is Julani (the CIA agent) doing nothing about it? Türkiye grabbed the Northern parts from where the U.S.A stole oil... and Israel stole the parts where there is water. Our countries are also run by gangsters and mafias.,5,2024-12-12T10:52:37Z,2024-12-12T10:52:37Z
@fgha7199,Now we all know where the 700million from biden went 😂,1,2024-12-12T07:34:49Z,2024-12-12T07:34:49Z
@user-pq7jj3vs3e,I knew tyt is gonna say mainstream media blah blah.    Yet they use mainstream media content for their own analysis.,0,2024-12-12T06:22:10Z,2024-12-12T06:22:10Z
@themaninawhitecoatandhat7503,"i guess asshard didn't die and can get a role in the putin administration, so that's very humane overthrow.",0,2024-12-12T05:49:36Z,2024-12-12T05:49:36Z
@themaninawhitecoatandhat7503,ana is beautiful and so is her husband Jenk Yugar.,0,2024-12-12T05:48:10Z,2024-12-12T05:48:10Z
@jaythomas3224,FUQ the Apartheid State that calls itself israel. How's that?,1,2024-12-12T05:17:56Z,2024-12-12T05:17:56Z
@Poxell91,"Biden, shut the fuck up. We've been bombing the crap out of Syria for decades.",4,2024-12-12T05:03:58Z,2024-12-12T05:03:58Z
@PaulKinman,Yay more of my tax dollars down the the drain for absolutely nothing,1,2024-12-12T04:27:05Z,2024-12-12T04:27:05Z
@23.o.d.37,"Fits the political and ideological stance of TYT because the Assad regime has supported the Lebanese and Palestinian militias such as Hezbollah, Hamas, Popular Front for the Liberation of Palestine General Command PFLP-GC and the Islamic Jihad which are also supported by Iran. Of course, Russia also play a large role in TYT's statements (see TYT's ""coverage"" of the russian invasion of Ukraine).",3,2024-12-12T04:00:15Z,2024-12-12T04:09:38Z
@MrDdorfman13,Good chance now for TYT to promote kurdish statehood... oh wait he doesnt care unless israel is involved.,1,2024-12-12T03:10:08Z,2024-12-12T03:10:08Z
@MrDdorfman13,"with all this syria shitshow and being conquered by jihadists at the behest of turkey (which has literally moved its own army into northern syria), suddenly israel is the natural scapegoat for all this... These idiots are spreading lies that israel wants territory for taking defensive postures a mile into syria when jihadists took over. Any sane country would do this too. TYT dont care about anything in Syria (including 600k murdered) ever unless israel is involved. We should be thanking Israel and giving them nobel peace prize for DESTROYING syrian chemical weapons stockpiles and army assets before these jihadists take them over and we really know there intentions. If only my American military would have done this.. The syrian-israeli 1974 armistice is void now. These TYT assholes are antisemites.",0,2024-12-12T03:08:59Z,2024-12-12T03:08:59Z
@MrLjpadk11,I was just  counting the seconds untiil you two lizard brains would mention Israel's culpability in this freakin mess.  You could never go off air without savaging the Jewish State.  Do you EVER say anything POSITIVE about the State of Israel?  I won't hold my breadth.,1,2024-12-12T03:08:35Z,2024-12-12T03:08:35Z
@FictionalPersonality,Great video guys!,0,2024-12-12T03:04:25Z,2024-12-12T03:04:25Z
@warrenpaine,"Al-Qaeda ""Rebels"" sounds so much nicer than Al-Qaeda ""Terrorists"" doesn't it?     When you use their language, you LOSE the argument.",0,2024-12-12T02:57:34Z,2024-12-12T02:57:34Z
@moosejawrobinson,Why is cable news still booking John Bolton? The guy has been totally discredited.,0,2024-12-12T02:33:46Z,2024-12-12T02:33:46Z
@MESSI-fx1ob,Syria is better now,0,2024-12-12T02:29:56Z,2024-12-12T02:29:56Z
@historybuff-7,"Clever move by Turkey & Israel while Russia is distracted by Ukraine, and Hezbollah/Iran by Gaza. It won’t save Ukraine. But it is an indirect blow by the West & Israel to Russia & Iran via Syria. 

It’s easier for the US/Israel to manage Al Qaeda/ISIS/HTS than nationalists. The old Iraq Libya Afghanistan routine.",1,2024-12-12T01:50:12Z,2024-12-12T01:50:12Z
@pjsopinion8028,FUCK THE TYT!! Racist traitors. Keep licking trumps boots. You make me sick,3,2024-12-12T01:28:27Z,2024-12-12T01:28:27Z
