User,Comment,Likes,Published At,Time Ago
@protosonic17,They should be afraid. The rich are not better than us,2,2024-12-19T12:45:42Z,2024-12-19T12:45:42Z
@protosonic17,Dude got tired of not getting any mushrooms,0,2024-12-19T12:41:13Z,2024-12-19T12:41:13Z
@SaintD382,"Cenk condemns the shooting ""beyond 100%""? Really, Cenk? You're _that much_ on the side of the loathsome insurance CEO?",1,2024-12-16T07:50:12Z,2024-12-16T07:50:12Z
@Somebody-Somewhere-,Pressure creates counter-pressure!,0,2024-12-14T16:59:00Z,2024-12-14T16:59:00Z
@LectronCircuits,This healthcare system is killing us for profit!  Absolutely spot-on (very grim).  Cheers!,6,2024-12-13T15:25:14Z,2024-12-13T15:25:14Z
@newsystem3667,"I remember when those two clowns were saying sh*t about trump and seems to have flip flopped now, fake as hell.",0,2024-12-13T09:46:23Z,2024-12-13T09:46:23Z
@kolt_4565,He looks like neal mohan,0,2024-12-12T17:54:10Z,2024-12-12T17:54:10Z
@decoolfool,Ana is too emotional,3,2024-12-12T13:40:32Z,2024-12-12T13:40:32Z
@zinnmarx,Tell the truth Cenk,1,2024-12-12T04:59:03Z,2024-12-12T04:59:03Z
@myleswelnetz6700,Waluigi Mangione,1,2024-12-12T01:23:41Z,2024-12-12T01:23:41Z
@myleswelnetz6700,"One more thing: he is a disgrace to Luigis everywhere, even the one from the Mushroom Kingdom.",1,2024-12-12T01:20:19Z,2024-12-12T01:20:19Z
@paullavellgrier286,"parasite /păr′ə-sīt″/:One who habitually takes advantage of the generosity of others without making any useful return. Yeah, I can see how an ineffectual social commentator could be oversensitive to that remark.",4,2024-12-12T00:43:47Z,2024-12-12T00:43:47Z
@mkeerkens,"The use of the word parasite is not to dehumanize them. In this case, it is literally referring to beings that feed off of the blood of others, which the insurance companies do.",15,2024-12-11T23:09:45Z,2024-12-11T23:09:45Z
@moviesynopsis001,It's so crazy they are called united healthcare because they have 100 percent united the American people lol.,9,2024-12-11T22:53:21Z,2024-12-11T22:53:21Z
@TimMartin-hf3mb,"I think it's hilarious that the woman at McDonald's who called the law will be denied the reward that was promised. She should have known that the establishment would lie about giving reward money. I think it's even funnier that because she did that the McDonald's got a bad review so she was also fired from her job. This is exactly why nobody ever helps law enforcement, people think they are doing good but always ends up getting screwed.",9,2024-12-11T21:54:11Z,2024-12-11T21:54:11Z
@JohnSmith-uc9cr,"The establishment is actively blocking the public from donating to Luigi via GoFundMe
if i wanna give a 20- i should be allowed to give a 20 !",5,2024-12-11T20:04:31Z,2024-12-11T20:04:31Z
@drlarryjohnson7880,"Guys, I'm so pissed about Gaza that I have little sympathy for our system of healthcare.  Seriously.  You may think there's no connection.  Our heatlhcare system needs radical change.  The Insurance systems is highway robbery and murderous to the American people.  I know you said you don't want to get partisan about it but come on! Trump is going for massive, ridiculous tax cuts for billionaires, while he and the Republicans are going to plan to trash the one reform the American people achieved through Obama, the ACA.  I absolutely do NOT condone coldblooded murder.  But as a society, we didn't care about funding and supplying coldblooded murder Gaza.  This case is ripe for jury nullification, and if that starts a true catalyst to make our society just in terms of healthcare, it will be a step in the right direction for a society that has gone morally off the rails.   It will entirely depend on the skill of his defense attorney.  I bring that up becomes citizens have been offering money to pay for the guy's defense and his attorney his head negatively about it.  This is for sure is one of those cases where the style of attorney will matter.  If he gets a typical court appointed defense attorney, that person is likely to be not skilled enough to mount a nullification defense.  I know what I am saying is really Machiavellian.  but the Billionaires don't give a damn about letting thousands die to line their pockets.  He's going to need big bucks to get a truly skilled attorney.  Jury nullification has a storied history in American court room dramas.  Reform the healthcare Insurance system once and for all!  Why does Congress keep trying to screw the American people in obtaining their inherit right to healthcare?  The monied people in the Insurance Industry is why.",5,2024-12-11T19:36:58Z,2024-12-11T19:42:15Z
@petercunningham-xx9fg,"Wank and fanny need to go away, nobody  will ever trust you , due to the fact that your greasy scumbags, that  prostitute  to the highest bidder.   Must smell like vinegar  in that douchey studio.  At least the real  people are dumpling your job.",1,2024-12-11T19:01:05Z,2024-12-11T19:01:05Z
@EndPoliticalCorruption,"Unfortunately, the guardians of the status quo don't take the word of the oppressed/underserved that things are intolerable UNTIL it's accompanied by violence.",4,2024-12-11T18:11:46Z,2024-12-11T18:11:46Z
@KnowledgeLender,"The heart of this issue is not Healthcare. This is not a healthcare conversation whatsoever. He shot someone dead. This is a GUN VIOLENCE issue, which is just as big an issue in this country. Be clear. Yes Healthcare cost is a problem, I have medical debt myself. But this is a gun violence issue. That's the crime here. Let's fix both.",4,2024-12-11T17:25:06Z,2024-12-11T17:25:19Z
@RubenHernandez-ed3hs,Ana and Cenk are traders. Kiss ass trump lovers now. You two are a disgrace to this country. You are face people and now running scared! Traitors you are! You are the enemy within,3,2024-12-11T17:07:32Z,2024-12-11T17:07:32Z
@directrue1742,McDonald's is some nasty food,6,2024-12-11T16:40:41Z,2024-12-11T16:40:41Z
@gaylejones9190,"Say it loud, Cenk. But you shouldn't have cut it off before you started yelling. Can't tell you how much I need SOMEONE to yell it out loud! 📢😉❤️",0,2024-12-11T16:26:53Z,2024-12-11T16:26:53Z
@calinifintyplusone,Thank God for Ana bringing reality to this story.,3,2024-12-11T15:41:17Z,2024-12-11T15:41:17Z
@AlexisRose1998,How do you fix the system though is the question when the way people have in the past hasn’t?,1,2024-12-11T15:30:28Z,2024-12-11T15:30:28Z
@allen8569,Prayers and copays,1,2024-12-11T15:20:19Z,2024-12-11T15:20:19Z
@ladle3000,Dr  Zeus ⚡,1,2024-12-11T15:08:00Z,2024-12-11T15:08:00Z
@findbridge1790,assumption of innocence ?,1,2024-12-11T14:45:44Z,2024-12-11T14:45:44Z
@findbridge1790,tyt scum doing their thing. ana is so done. sell by date passed.,0,2024-12-11T14:44:44Z,2024-12-11T14:44:44Z
@findbridge1790,eyebrows dont match.  fall guy. total media smear.,2,2024-12-11T14:36:29Z,2024-12-11T14:36:29Z
@METALMAN4Wii,Mafia is just looking out for the community!,0,2024-12-11T14:31:15Z,2024-12-11T14:31:15Z
@BlackCat-dm7se,"well, if he wants to get out of jail he should run for President, he's got my vote",6,2024-12-11T13:44:14Z,2024-12-11T13:44:14Z
@ephemer1125,"An important thing for people to remember. You don't need the CEO's picture from the company's ""about"" page on their website (which healthcare insurance companies have all scrubbed). They legally need to disclose who is on the board. Which doesn't just give you the CEO's name to find on Facebook and other social media /  search platforms. It also gives you the entire boards. You'll find a lot of people in the world of being on boards have a large LinkedIn presence 👌👌
Budding ""entrepreneurs"" do with that information what you will  😘😘",8,2024-12-11T12:28:50Z,2024-12-11T12:31:30Z
@TheGaryNinja,"If violence doesn't solve problems, how did the United States come to be? They asked Britain nicely that they wanted independence?",11,2024-12-11T12:04:16Z,2024-12-11T12:04:16Z
@calebbryson-tt3ti,"I'll just say this, no adult or true leader of our society would condone this killing as a solution. Yes, healthcare has problems but this is a bigger issue imo. Americans are devoid of adults. Even 50/60 year olds think like immature children. This action by Luigi is not the correct way to act full stop.",4,2024-12-11T11:43:39Z,2024-12-11T11:43:39Z
@asddsa28,"We had to get here as a society there’s cause-and-effect so long has the average person been tormented by the insurance companies and because we have so many guns in this country and is easy to get it was only a matter of time. Hell, I’m surprised it took so long and I don’t think it’s last People are fed up.",6,2024-12-11T09:13:46Z,2024-12-11T09:13:46Z
@Jacob-hk6to,It’s nice when cenk speaks like a leftist.,0,2024-12-11T09:01:03Z,2024-12-11T09:01:03Z
@shebaferrer3489,Mental illness is rampant nowadays 😢,1,2024-12-11T08:36:57Z,2024-12-11T08:36:57Z
@shebaferrer3489,United healthcare is taking care all my medical needs ❤,0,2024-12-11T08:35:47Z,2024-12-11T08:35:47Z
@shebaferrer3489,We're living in a heartless era whether we're rich or poor,2,2024-12-11T08:32:45Z,2024-12-11T08:32:45Z
@shebaferrer3489,So every time we have hard life or problems we'll just result to hurting others?,1,2024-12-11T08:31:25Z,2024-12-11T08:31:25Z
@warlockofwordschannel7901,He's a popular dude on LPSG.,0,2024-12-11T08:11:56Z,2024-12-11T08:11:56Z
@ubulive,He'll be found not guilty due to white privilege,1,2024-12-11T07:43:18Z,2024-12-11T07:43:18Z
@BlackCat-dm7se,that McDonalds getting some real bad reviews now 😂,3,2024-12-11T06:37:21Z,2024-12-11T06:37:21Z
@anaheimbrv,"you said we are the American people un happy with the medicare health system. and we can't change it we can't change it if you are rich you get health care onetime if you are poor non for you then what "" lot's of us unhappy with healthcare seystem we can't change it then what "" what we do what we can do",1,2024-12-11T06:28:23Z,2024-12-11T06:28:23Z
@HikaruYamamoto,"We shouldn't have to resort to violence to get things, I agree with that. But whats sad is that none of our rights came from peace... just saying.",8,2024-12-11T06:05:21Z,2024-12-11T06:05:21Z
