User,Comment,Likes,Published At,Time Ago
@cap19x1,"Anna was one of the biggest voices on this channel that would say ""believe all women"". So what changed?  This is a break from the norm of the cast & crew of TYT, because normally they hate men in this channel.",0,2024-04-06T17:49:46Z,2024-04-06T17:49:46Z
@jasonm949,Anna trashed Depp during the entire trial. Eat crow.,0,2024-03-27T16:20:11Z,2024-03-27T16:20:11Z
@IgnacioFlores.,"You are making it a good people in both sides, be careful TYT. Ansari also said he was sorry and admitted to all allegations.",0,2023-09-27T06:32:18Z,2023-09-27T06:32:18Z
@Sparrows1121,Long live Johnny Depp!,8,2023-06-28T19:27:14Z,2023-06-28T19:27:14Z
@MarwenWerede-rf4gw,TYT is known for believing all women and applauding for death of all men.,8,2023-05-27T21:26:18Z,2023-05-27T21:26:18Z
@vibecat4899,why wasn’t Depp awarded ACTUAL (real-world) Damages in the tens of millions of dollars? she trashed his entire career moving forward.,6,2023-02-26T12:00:58Z,2023-02-26T12:00:58Z
@Rlovencupcakes,Why does Anna keep saying she punched him first..he Never hit her!! She abused him..period!,14,2023-02-04T04:07:35Z,2023-02-04T04:07:35Z
@shirley9066,Still beating each other up 🕺🔥💃is it really over?,0,2023-01-20T09:10:47Z,2023-01-20T09:10:47Z
@hpus318,Thank you and Cenk for being the voice of reason in this difficult trial and for taking the FACTS and EVIDENCE into account. Top-notch reporting! NBC and the corporate media could learn a thing or two from you guys.,4,2022-12-30T23:10:03Z,2022-12-30T23:10:03Z
@melval4135,Very fair segment on Depp.,3,2022-11-30T17:34:39Z,2022-11-30T17:35:35Z
@katty5003,"The victim in this case is him & real victims will be believed. This is a step forward for ALL victims male or female. Abuse has no gender. 
Those who believe her are clearly those who believe that only women can be victims.",14,2022-09-01T02:47:06Z,2022-09-01T02:47:06Z
@joal2885,"A lot of people giving TYT shit for the Amber Heard Coverage, but they have been way more fair than most outlets I've seen. Take the W y'all.",10,2022-08-19T20:47:00Z,2022-08-19T20:47:00Z
@LoudMusic-eq9zu,wow this was a shitload of dogshit,2,2022-08-13T07:45:53Z,2022-08-13T07:45:53Z
@avidfather1864,"Love how you guys didn't go the corporate media way and start calling Amber Heard an ""imperfect victim"" or something stupid like that. I love how you're being neutral about this.",8,2022-07-29T07:16:09Z,2022-07-29T07:17:57Z
@valenTina-pz3ut,Loved how you reported on this,2,2022-07-26T01:26:49Z,2022-07-26T01:26:49Z
@Hayden_Lummus,"Anna, I want to say I absolutely respect how you handled this subject. I had watched John Iadarola and Brett Ulrich talk about it on Damage Report, and show how little they care and waste eleven minutes to say how little they cared, while also misinforming their audience about info regarding who leaked the video to TMZ. They said it was Depp, which is factually false as Amber Heard was the only person who could have leaked it.",6,2022-07-22T03:32:05Z,2022-07-22T03:32:05Z
@MegaMementoMori,Ana has a very reasonable opinion on this case. I am disappointed - I came here to laugh at TYT craziness :(,10,2022-07-03T06:08:49Z,2022-07-03T06:08:49Z
@Janewomanpower,well delivered Ana. thank you.,5,2022-07-03T00:05:20Z,2022-07-03T00:05:20Z
@bustermorley8318,Hilarious that cancel culture is now turning on one of their own. She will be lucky if she ever works again.,2,2022-06-30T03:33:01Z,2022-06-30T03:33:01Z
@kellykilfeather,"The *most* important piece of audio from the trial, which none of the media have focused on was the audio where Amber is furiously berating Depp because, in her words, “every time” there’s a fight, he leaves, runs away, goes to one of his other houses. “Every time”. When he points out that it’s because she gets physically abusive and therefore he has to leave, she argues with him that he even leaves even before she gets physical.
That is how she characterises their fighting. Him leaving as soon as, or before, it gets physical. That’s the pattern of their arguments that she describes, in her own words, in her own audio. And she’s furious with him for leaving, for de-escalating, for not staying and continuing the fight. He was not abusive. She was. And she darvo’d the hell out of him.",12,2022-06-22T02:41:06Z,2022-06-22T02:41:06Z
@themadmattster9647,"If TYT were in charge of things, Heard would’ve won",11,2022-06-19T06:22:35Z,2022-06-19T06:22:35Z
@donovanphillips4507,Anna was on pure fire tonight! I love it.,4,2022-06-18T05:54:39Z,2022-06-18T05:54:39Z
@OnlySubhumansWorkAtYouTube,Butthurt Anna...,3,2022-06-18T03:58:35Z,2022-06-18T03:58:35Z
@donovanphillips4507,$8.350m,1,2022-06-18T03:29:07Z,2022-06-18T03:29:07Z
@Raidersfan-gn7zo,"I don't agree with Anna about the so-called ""free market"" though! There is no such thing as a ""free market"". What the laissez-faire free market really is is the working masses making endless sacrifices to make their employers richer every year.",0,2022-06-17T01:15:38Z,2022-06-17T01:15:38Z
@arandomyoutubechannel2940,#JusticeForJohnnyDepp,10,2022-06-16T23:59:10Z,2022-06-16T23:59:10Z
@electroliteful,"It seems to me that the media’s coverage about how this verdict is a setback towards women would make a victim hesitant to report the abuse, not the actual results of the trial.  It’s as if the narrative the mainstream media is conveying is causing more damage to the movement they are claiming to champion",14,2022-06-14T20:46:49Z,2022-06-14T20:46:49Z
@darkspace5762,"If there's anyone that set women back and made a complete mockery out of ""feminism"", it's Amber Heard and women like her.",25,2022-06-14T12:52:16Z,2022-06-14T12:52:16Z
