User,Comment,Likes,Published At,Time Ago
@joseaugustofigueiredo2796,BBC journalists must go to the doors of British NATO bases to ask if they will continue stealing oil in Iraq and Syria. England steals! BBC sustained by oil theft!,0,2024-12-17T10:29:42Z,2024-12-17T10:29:42Z
@AzadBus-h1h,"Getting out of hands. It may sound off topic but I chanced on this cool translator that does everything and more of what a translator should have, name is Immersive Translate and one thing that can really help is it’s new feature, which lets you create a custom AI expert for translating anything. Thank me later, it's gold.",0,2024-12-15T20:38:09Z,2024-12-15T20:38:09Z
@Emmanuel-n7y,Imperialist go home,0,2024-12-14T07:39:23Z,2024-12-14T07:39:23Z
@mrb6309,It's like we've seen this movie in the Middle East play out again and again.  let's hope for a more coherent strategy to form an actual government that can govern and take Syria into the modern world.,0,2024-12-13T04:23:05Z,2024-12-13T04:23:05Z
@musadube1647,"😂😂😂 how dumb and foolish the Americans and the west is,a trap again just like what happened in Afghanistan when Russians pulled out and history has repeated itself, will see how the Americans and their rebels will last before they pull away embarrassed like they did in Afghanistan",0,2024-12-13T00:29:48Z,2024-12-13T00:29:48Z
@youandme4954,Can ICC bring Assad to Justice,0,2024-12-13T00:06:21Z,2024-12-13T00:06:21Z
@okyouknowwhatever,"""Purely selfish and he left"" lol. They would have murdered him, and most likely his wife and kids too. Perhaps he just didn't want to be tortured and killed at the hands of former ISIS and Al-Qaida members. 🙄",0,2024-12-12T19:57:27Z,2024-12-12T19:57:27Z
@joshuapruitt3037,I wonder how many people get shot by celebratory gunfire when it comes back down?,0,2024-12-11T14:55:50Z,2024-12-11T14:55:50Z
@Holdthoseaccountable,"BBC, Let’s talk corruption, 3 judges in serious misconduct.. no repercussions.. lies in endorsements that can’t be back up by evidence or facts.. blocks out a page of transcripts to hide law breaking conduct.. and completely changed an endorsement from 4/5 pages to 1? Where’s the justice? How do we hold judges accountable for bad behaviour if the Canadian Judicial Counsel is broken and corrupted????",0,2024-12-11T14:39:46Z,2024-12-11T14:39:46Z
@gurpreetbrar9025,"Allah Hu Akbar I salute Mr julani Allah and Waheguru  with you Sikh community love Muslim brothers ever India, from{ Punjab }with you",0,2024-12-11T14:22:36Z,2024-12-11T14:22:36Z
@AlfonsoAcosta-b1m,Ko😊😊98 I,0,2024-12-11T05:45:13Z,2024-12-11T05:45:13Z
@tanjilaislam7889,as like bangladesh....,0,2024-12-11T05:17:40Z,2024-12-11T05:17:40Z
@V3K-2910,"Putin: Kiev is 6 days away!

Syrian Rebels: Its been two years, Syria is 6 days away.",0,2024-12-11T01:27:49Z,2024-12-11T01:27:49Z
@crystalpuckett410,It's going down the way the Bible says,0,2024-12-11T01:15:09Z,2024-12-11T01:15:09Z
@eriksandstrom6703,Thanks to BBC for a great Channel. Hope the best for Syria!,0,2024-12-10T22:12:37Z,2024-12-10T22:12:37Z
@bryanh5728,"Thx Barbara n Team. Stay safe, please 🙏 🎉😊",0,2024-12-10T21:52:30Z,2024-12-10T21:52:30Z
@hza2091,Look at thrm looting...,0,2024-12-10T20:32:33Z,2024-12-10T20:32:33Z
@hza2091,Dude is al qadea lmao,0,2024-12-10T20:31:36Z,2024-12-10T20:31:36Z
@hza2091,Syrian poeple are cunning and evil i met them,0,2024-12-10T20:30:41Z,2024-12-10T20:30:41Z
@milesreading9585,2:48… won bc of ISRAEL,0,2024-12-10T18:40:23Z,2024-12-10T18:40:23Z
@milesreading9585,2:13… thank you ISRAEL!!!!,0,2024-12-10T18:39:47Z,2024-12-10T18:39:47Z
@nikanarimanidze9312,Something tells me this is not gonna end well,0,2024-12-10T18:37:44Z,2024-12-10T18:37:44Z
