User,Comment,Likes,Published At,Time Ago
@dethchief13,Different coat and different back pack. They really just found someone that had a coat and a back pack and called it. Different face too if you really look at him.,0,2024-12-16T19:05:28Z,2024-12-16T19:05:28Z
@cristofer0888,"Don’t read and eat at McDonald’s, you shifty mofos",0,2024-12-15T08:40:55Z,2024-12-15T08:40:55Z
@slotenmakerdenhaag,"Honestly Beeb, here is some political education for you my friends:

The BBC has given a whole lot of attention to Luigi Mangione (I guess because the amount of positive comments his shooting of a CEO in the health industry has generated on social media is absolutely massive) It is all directed at undermining the revolutionary nature of his act. Firstly, the title of this article implies there is some sort of connection to the maffia (powerful Italians must be maffia right?). But then they go on to emphasise how priviliged Luigi Mangione is. This seems like an attempt to discredit his actions as any way related to class: make sure everyone understands Mangione is not a member of the working class who of course suffer much more from being denied proper health care. (According to classic Marxist theory the middle-classes have no revolutionary inclinations, though Marx himself came from a wealthy industrial family.)

I say the BBC is carefully and dogedly manipulating public opinion.

Anyone agree with this evaluation?

https://www.bbc.com/news/articles/crl3jkjxp75o",0,2024-12-15T08:37:56Z,2024-12-15T08:37:56Z
@laurentius5940,Johnny silverhand,0,2024-12-13T18:15:56Z,2024-12-13T18:15:56Z
@SmithMeistertoo,"$22 billion profit United healthcare made last year. They are either charging people way too much for their premiums or they are not paying out, deny, defend, depose. So which is it or possibly both?!",0,2024-12-13T16:23:44Z,2024-12-13T16:23:44Z
@AnthonyHinojosa-g4k,Did anyone notice how many times she said uhh tho?,1,2024-12-13T02:31:22Z,2024-12-13T02:31:22Z
@jamesa2482,Find out the name of the  state terrorist supporter who told the police where he was.,0,2024-12-11T17:23:49Z,2024-12-11T17:23:49Z
@twohopes8353,"american healtcare is criminal
reform wants to sell out nhs and bring this greedy healtcare insurance that olmost never pay.
now more than ever we must open our eyes and stand up to this mafia like corporations",0,2024-12-10T20:22:56Z,2024-12-10T20:22:56Z
@Fonoyb,"This Murder is Plastered all over the news! BUT Millions of Children are being Trafficked all over the World and in EVERY STATE IN THE US! And NOTHING ABOUT THAT IS IN THE PAPERS OR ON THE NEWS! One or Two  Stories here and there which is rare, are not enough considering how much of a PROBLEM IT IS. Many Children disappear and are NEVER HEARD FROM AGAIN! The message is Clear!  Dont mess with Corporations or we will go after you with EVWRYTHING WEVE GOT;  AND dont say a Word about Missing Children! Because we are going to protect the Rich Abusers!",0,2024-12-10T17:42:54Z,2024-12-10T17:44:37Z
@lesleydickson7746,He was ‘sitting eating and reading’? Wow that is suspicious. 🤔,1,2024-12-10T11:20:47Z,2024-12-10T11:20:47Z
