User,Comment,Likes,Published At,Time Ago
@keithdickens1395,The worst thing since 9/11 and now Shapiro is one of Trumps sycophants,0,2024-12-05T23:40:03Z,2024-12-05T23:40:03Z
@theguywhoasked770,"What happened Ben? Why did you have balls during this video, and then suddenly they fell off when Dementia Don stumbled back into our view?",3,2024-11-26T00:31:55Z,2024-11-26T00:31:55Z
@bigrod1674,Worse than 9/11?,0,2024-11-16T23:30:34Z,2024-11-16T23:30:34Z
@SirWalterSansRien,"Amazing how “worst thing since 9/11” Ben evolved into “the guard rails will hold :D” Ben, even though this happened right at the end of Trumps’ Presidency and he literally took steps to remove the “guard rails” afterwards.",1,2024-11-12T21:45:18Z,2024-11-12T21:45:18Z
@Smoink,Well Benny you and the conservative propaganda machine successfully sane-washed a traitor of our country hope you’re happy,1,2024-11-11T15:08:42Z,2024-11-11T15:08:42Z
@hungnguyen12481,hypocrite,10,2024-11-06T22:29:41Z,2024-11-06T22:29:41Z
@bradydacloud,Bro why tf is YouTube recommending me this video of all times,3,2024-11-06T02:02:14Z,2024-11-06T02:02:14Z
@nodelayfordays8083,Old Ben Shapiro was wiser than modern Ben Shaprio.,8,2024-11-04T15:26:49Z,2024-11-04T15:26:49Z
@echoflower5435,"Alcoholics call this ""A moment of clarity.""",8,2024-11-04T08:20:34Z,2024-11-04T08:20:34Z
@idhindsight,This was the right take in 21. What happened?,2,2024-11-04T06:28:46Z,2024-11-04T06:28:46Z
@DuncanMac23,Man has no integrity,7,2024-11-04T02:06:10Z,2024-11-04T02:06:10Z
@Dylan.Swindells,Why would an event worse than 9/11 not be disqualifying in 2024?,5,2024-11-04T00:08:29Z,2024-11-04T00:08:29Z
@warrpedd,Who dis?,1,2024-11-03T22:12:58Z,2024-11-03T22:12:58Z
@Waterwave37,Anyone here 3 years later to see a complete 180 on Ben’s view. Insanity.,17,2024-11-03T16:41:08Z,2024-11-03T16:41:08Z
@ChristopherMario-z8t,"Used to think Ben Shapiro was a great, honest patriot, whom I could agree to disagree with on some/most issues.

This is proof, that he is BUYABLE. He, just 3 years later, completely flips the script, and pledges allegiance to Trump.",11,2024-11-01T17:04:47Z,2024-11-01T17:04:47Z
@andreisopon4615,"Ben Shapiro is the only species of mamal known to dissolve it's spine and escape when faced with the threat of revenue loss.
It can even completely discard its principles when cornered.",5,2024-11-01T10:34:44Z,2024-11-01T10:34:44Z
@zklpr4661,"It's both hilarious and pathetic how Ben agreed that Jan 6th was an insurrection at this time, but then decided to tow the party line once he saw those dollar signs. Truly spineless.",17,2024-10-30T17:27:59Z,2024-10-30T17:27:59Z
@JesseSelbert,This is one time I agree with Ben. There is no way Ben has flip flopped on this issue. Right??????,3,2024-10-30T15:23:01Z,2024-10-30T15:23:01Z
@88jaspersimmons,"This was peak Ben Shapiro. I have differing views than Ben, but i always respected his consistency. He has completely abandoned that in favor of Trump and the profits his viewers bring his platform.

I am not even mad. Just sad. A great mind compromised by the chase of a dollar. Sorry to see that he sold out

Edit: grammar",11,2024-10-18T00:04:25Z,2024-11-04T22:11:09Z
@reeseroberts2587,Where was the National Guard Nancy? Where were the extra requested Capitol Police? This was stupid on BOTH sides.,1,2024-09-21T10:26:38Z,2024-09-21T10:26:38Z
@kovacuator,"I remember sitting in my apartment waiting for this episode to air live on my laptop because I was soooo curious what Ben's far right conservative thoughts were going to be about the events that took place on 1/6. Waiting for the timer to countdown to zero, the comments were already rabid. Users here were completely dismissive of Ben's episode Title (The Worst Day In Modern American Political history). So even though we didn't know yet what Ben was going to say, we already knew how he was going to lean. And this title set fire to the YouTube crowd here considering how nasty the commenters to Ben from the outset. Some saying Ben was unhinged for thinking this. Others calling him a democrat plant.",2,2024-09-18T02:12:29Z,2024-09-18T02:12:29Z
@jonathanswink2682,I would love to watch Ben today watching this again. This was his real raw smart take on it. Ive lost ao much respect for him how much he changed from this day to now. To support the man who he said cause the 2nd worst day in America besides 9/11. He was right then and is deadly wrong now. He is just playing to Trumps base like every other Maga talking head,24,2024-08-14T23:02:11Z,2024-08-14T23:02:11Z
@dcgamer1027,"Glad that despite Ben seeing sand saying Jan 6th was the worst thing ever he is still willing to support the people who made it happen, refuse to condem it, and refuse to even acknowledge it.

Nice principles bub, I'm sure your God would be so pleased. Facts don't care about your feelings and apparently your feelings never really cared about facts huh",11,2024-08-14T19:10:11Z,2024-08-14T19:10:11Z
@BonShula,"A lot of Republicans in the wake of J6 called it out and said it was awful. However, the republican voters disagreed and decided to stay under trump's sack, this led to the politicians and commentators once again bending the knee to king trump.",8,2024-08-13T19:22:45Z,2024-08-13T19:22:45Z
@carrtmannnn,"Ben now supports Trump for president though, because he's a spineless coward.",96,2024-08-13T14:02:43Z,2024-08-13T14:02:43Z
@PrettyTonyi,Pathetic supporting Trump after saying this Jan 6th,32,2024-08-13T13:59:55Z,2024-08-13T13:59:55Z
@smbsport13,So pathetic that he supports Trump again.  Also very interesting that he never talked about what he deemed the worst day in history again,97,2024-03-30T13:53:32Z,2024-03-30T13:53:32Z
@dominicpetsch3869,RINO,4,2024-03-11T07:33:45Z,2024-03-11T07:33:45Z
@jimjimjim7015,the us people have a right to overthrow the government,0,2024-02-10T17:09:52Z,2024-02-10T17:09:52Z
@synkro_nyze,My my how the tables have turned,3,2024-01-26T13:28:00Z,2024-01-26T13:28:00Z
@Secret19977,That election was definitely fraudulent,0,2023-09-19T13:11:56Z,2023-09-19T13:11:56Z
@techyougo,It's very interesting the Republican cycle on Trump. He does a super bad thing they condemn him thinking he went far enough to finally move on from him which they've always wanted to do then it isn't then they go back to sucking him off. Shapiro isn't as bad but still,2,2023-09-06T01:47:29Z,2023-09-06T01:47:54Z
@athruathrualol,"well well well, Ben Shapiro is singing a different song today! August 2023",9,2023-08-27T22:42:51Z,2023-08-27T22:42:51Z
@agathamolnar470,Where did this happen,0,2023-03-07T02:34:03Z,2023-03-07T02:34:03Z
@skaterdudeabides,There's a reason we don't trust Ben.,3,2023-01-27T02:58:52Z,2023-01-27T02:58:52Z
@shayparis2213,We cannot allow the communist leaning democrats to ruin this country !,1,2022-12-02T18:47:23Z,2022-12-02T18:47:23Z
@watchthe1369,"I can deal with someone when I know where they stand.  If it becomes apparent they do anything to get what they want even without principle, where DO they STAND?  If a person has no limits, I want nothing to do with them.  The ""Capitol Riot"" was a BIG WARNING, no doubts there.",0,2022-12-02T02:27:13Z,2022-12-02T02:27:13Z
@guyinacoffeeshop2239,Yawn.,0,2022-11-30T07:10:11Z,2022-11-30T07:10:11Z
@devoutlion1637,Jan 6 <3,0,2022-11-05T08:06:37Z,2022-11-05T08:06:37Z
@xbrakx,"""This is the worst thing since 9/11..."" This likely is true, but it's also a very dishonest comparison. It's like comparing a person that had his foot sawed off with a rusty blade and then the next day he got a splinter in his finger. While that splinter may honestly be the worst thing to happen to him since his amputated limb, it's monumentally different than a splinter.",0,2022-10-30T22:30:05Z,2022-10-30T22:30:05Z
@MrJdebest,"coup d'état, also called coup, the sudden, violent overthrow of an existing government by a small group. The chief prerequisite for a coup is control of all or part of the armed forces, the police, and other military elements.",1,2022-10-28T23:59:54Z,2022-10-28T23:59:54Z
@Happyharold666,i loved it!  the only one who died was Ashley Babbit #sayhername,0,2022-10-11T17:09:06Z,2022-10-11T17:09:06Z
@crazzydain,AND YOU STILL SUPPORT AND WOULD VOTE FOR TRUMP AGAIN.,4,2022-09-06T00:13:34Z,2022-09-06T00:13:34Z
@spudinator1522,"I completely agree but it definitely wasnt the worse thing then 9/11 like, of all people, George bush said.",0,2022-08-25T05:22:39Z,2022-08-25T05:22:39Z
