User,Comment,Likes,Published At,Time Ago
@TobyM777,❤,0,2024-04-06T09:05:12Z,2024-04-06T09:05:12Z
@freiagalacar5786,"This is the woman Johnny divorcred his wife for, and chose to be a potential mother figure in his daughter's life.",0,2023-11-29T08:08:05Z,2023-11-29T08:08:05Z
@MooshroomsRCool,"In history, men have been abused by women, a good example is doc Holliday and big nose kate",0,2023-08-19T12:37:48Z,2023-08-19T12:37:48Z
@jaygee6633,Should've sued her for defecation,0,2023-06-09T05:26:30Z,2023-06-09T05:26:30Z
@Verbsdescribeus,The fact that all Johnny s lifetime lovers stood up for him tells it all...,0,2023-05-14T22:14:14Z,2023-05-14T22:14:14Z
@snelgrave101,"She is just as bad as Joosy Smullett, fake hate crime and fake abuse claims can DESTROY innocent peoples lives, even just the claim even when it's disproved.",0,2023-05-13T15:06:47Z,2023-05-13T15:06:47Z
@RS-or8sh,"Your cherry picking some audio lines and texts are not in context. Watching all the trial it was clear he was being abused & extremely calm when she was raging at him. If genders were reversed  there would be outrage by msm what she screamed at him & did to him. You cherry pick when she says stub your cigarette  out on someone else. He flicked Ash, she didn't cry out, didn't act in any remote way that someone had burnt  her yet you fail to mention the picture of him in hospital  with an actual  cigarette  burn on his cheek & an amputated tip of finger.....",0,2023-02-01T07:41:03Z,2023-02-01T07:41:03Z
@cindycoombe5523,There is no evidence he hurt her,0,2022-10-09T00:14:21Z,2022-10-09T00:14:21Z
@chrisgomez860,"I never believed the human tapeworm that is amber turd. She may be ""pretty"" to most, but I find her severely unattractive physically and absolutely REPULSIVE on the inside.",0,2022-09-20T07:34:34Z,2022-09-20T07:34:34Z
@JACOBHIMSELF,I literally had the same thing happen to me bro what the fuck,0,2022-07-15T23:12:16Z,2022-07-15T23:12:16Z
@MLGpuppetlord,Ben Shapiro has a smart take..... for once......,0,2022-07-04T23:51:55Z,2022-07-04T23:51:55Z
@rh5524,Yes people should not hit 1 another I am sick and tired hearing about this case this is to Ridge spoilt people hoping to get more publicity death never should have in public they have plenty of money what is this fight even about this is actually quite insulting do real domestic abused people especially one fact that nobody seems to pay attention to and that is Johnny Depp showed up 2 quart drunk no matter what you are this should not be allowed because us mere mortals would be arrested on the spot but he was drunk for the most of his trial would any of us get away weather nope only rich people get away with things like that that is what gets me the most why are they treated so special always always always if you have money you can get away with anything whatever happens to those two neither of them deserve to actually be in Hollywood and work anymore and it was to say even if Johnny Depp was a so-called victim most people are so blinded mostly women by his so-called great good say neither of them after all days I actually good-looking at least not inside,0,2022-06-27T05:20:41Z,2022-06-27T05:20:41Z
@kevinclayton1656,"She didn't just abuse him, she tried to blackmail him for 3 penthouses 50k a mth tax-free 100k suv ete ete, when he didn't bow to her demands she went and got an RTO and shouted abuse. she also lied under oath in the UK about donations",0,2022-06-26T20:02:34Z,2022-06-26T20:02:34Z
@sarahrogers7630,"I just wished y’all cared as much when women are the victims. Which is the case the majority of the time. But no the amount of hatred amber is getting and praise Johnny is getting shows how rigged this fucking world is. The media and its followers always paint the picture black and white. This is a fucking reality show to people. One is the abuser and the other the innocent victim. Team Johnny!! When in reality it’s much more complicated. Because evidence clearly shows that both heard and depp are in the wrong. Yet no one cares. the hate Heard got is insane. No one had that energy with Chris Brown, or Roman Polanski (who won an Oscar after he admitted to statutory rape) and many more. somehow I can’t imagine a scenario where Ben Shapiro here would ever side with that woman who was a victim of abuse. Wonder why.",0,2022-06-20T21:17:44Z,2022-06-20T21:17:44Z
@mobimoddz,This guy is confused by alot huh?,0,2022-06-13T05:25:41Z,2022-06-13T05:25:41Z
@jcj8527,"This is the first time I've seen this looked at logically, really uncomfortable about the level of support this guys getting and I've never seen woman so supportive of a 51 year old man marrying a 29 year old woman just never seen it ,the media likes to create the ""perfect victim"" when both parties are at fault narratives dont work as well",0,2022-06-10T04:17:03Z,2022-06-10T04:17:03Z
@shadow.banned,Histrionic.,0,2022-06-07T00:38:55Z,2022-06-07T00:38:55Z
@tomasznowak9648,Ben I'm on your side but at this miniature foto You look like mean angry sathanistic Jew dude😂...little smile once in a while brings better marketing than everything,0,2022-06-06T19:22:51Z,2022-06-06T19:22:51Z
@irenegomesefernandes3461,"Amber is a very strong woman to fight an evil man like Johnny who keeps dragging her in his psycho world!! 

It’s a shame that women are believing some man made character called “jack sparrow”. Does any one commenting here knows the real Johnny depp in person? 
Had they known him in person they wouldn’t have commented in his favor..",2,2022-06-04T19:21:17Z,2022-06-04T19:21:17Z
@Xarai,"so ppl still listen to shapiro, the hateful lil bigot",0,2022-06-02T18:17:35Z,2022-06-02T18:17:35Z
@mariobryant8803,"The epitome of double standard when it comes to females- Amber Heard, she caught that L.",0,2022-06-02T11:56:24Z,2022-06-02T11:56:24Z
@thusoboshielo4958,I think it's insane that Johnny Depp went on to marry her after he claimed that the abuse allegations she made more than twice were not true.,0,2022-06-02T00:02:42Z,2022-06-02T00:02:42Z
@emilyroseayres84,"Oh come on! Woman beating up men is not seen as ""comedic"" by anybody with a brain and a soul.  I'm embarrassed to admit that I used to agree with Shapiro on many of his opinions. Amber Heard has backed the allegations! Take a look at the humanitarian missions she's been on, look at the evidence yourselves, stop feeding into this crap about Depp being innocent. He's always been abusive. Amber is just the first person to speak out against him and, from the relentless attack on her from Depp's insane fans, it's easy to see why. Why would anybody want to go through this nightmare. I wish his other exes would be more open about how horrible he was to them. Never did Amber Heard want this to go public. She filled the restraining order privately.",1,2022-05-30T21:41:50Z,2022-05-30T21:41:50Z
@milayd3291,"Dude she's been faking taking notes, lying in court like blatantly,  popping stuff, annoying her team, telling on herself and trying to get reactions out of everyone just in court alone 🤣 yet she just wants ""Johnny to leave her alone"". Johnny isn't a saint at all but this is so clearly over for her. It's ridiculous.",0,2022-05-28T18:05:34Z,2022-05-28T18:05:34Z
@makennapainter3200,I wish I could hire Ben Shapiro as my lawyer. I mean of course I’d have to be innocent Bc he only speaks facts.,0,2022-05-27T12:47:30Z,2022-05-27T12:47:30Z
@giaol4411,"When Johnny said "" I guess I stayed because my father stayed."" I believe alot of survivors  whole heartedly felt that. I believe alot of survivors get that question alot "" why did you stay? Why didn't you just leave? Why did it take you so long to leave?"" That's the cycle of abuse. I don't think people who have not lived it understand that statement. Abusers break you down, down to the point you are nothing. Down to the point you aren't sure what your real identity is anymore. You live in this fear because you don't know what will happen next. You some how get convinced to sympathize with your abuser. It's like Stockholm syndrome.",0,2022-05-27T05:14:08Z,2022-05-27T05:18:20Z
@SAMOANSTALLION1,#JusticeForJohnny,1,2022-05-26T16:16:13Z,2022-05-26T16:16:13Z
