User,Comment,Likes,Published At,Time Ago
@usadigital62,It means that Israel can continue stealing land,0,2024-12-19T00:09:50Z,2024-12-19T00:09:50Z
@Patrick-hc7tc,Epstein was Mossad,2,2024-12-18T10:34:06Z,2024-12-18T10:34:06Z
@Patrick-hc7tc,Epstein was Mossad,1,2024-12-18T10:33:57Z,2024-12-18T10:33:57Z
@Patrick-hc7tc,Look up who Clive Davis and Les Wexner are.,1,2024-12-18T10:33:35Z,2024-12-18T10:33:35Z
@Patrick-hc7tc,Look up who Reuben Efron was everyone.,1,2024-12-18T10:32:32Z,2024-12-18T10:32:32Z
@Patrick-hc7tc,Israel has corrupted America from within and hid behind the antisemitism card for long enough.,1,2024-12-18T10:31:55Z,2024-12-18T10:31:55Z
@Patrick-hc7tc,Israel blackmails American politicians,1,2024-12-18T10:31:23Z,2024-12-18T10:31:23Z
@Patrick-hc7tc,Look up how Israel got nukes in the first place,1,2024-12-18T10:30:58Z,2024-12-18T10:30:58Z
@Patrick-hc7tc,Look up the Lavon affair everyone,1,2024-12-18T10:30:08Z,2024-12-18T10:30:08Z
@Patrick-hc7tc,Look up the Lavon affair everyone,1,2024-12-18T10:29:59Z,2024-12-18T10:29:59Z
@Patrick-hc7tc,"Tell the truth about the five dancing Israelis Ben, and how at least a couple of them were Mossad.",1,2024-12-18T10:28:55Z,2024-12-18T10:28:55Z
@Patrick-hc7tc,Ben is Mossad and covers for Israel no matter what. Netenyahu's lap dog.,1,2024-12-18T10:28:10Z,2024-12-18T10:28:10Z
@techromancerzero2709,It would be nice to have some graphics to help with what Ben is describing.,0,2024-12-17T00:40:22Z,2024-12-17T00:40:22Z
@sanaalimam5031,What a ridiculous explanation 😂😂,0,2024-12-15T06:10:47Z,2024-12-15T06:10:47Z
@sanaalimam5031,What a ridiculous explanation 😂😂,0,2024-12-15T06:10:37Z,2024-12-15T06:10:37Z
@jacknajafe7284,we need Israel to support and help  the kurd🇮🇱,0,2024-12-14T22:47:10Z,2024-12-14T22:47:10Z
@Davidh741,Does Ben knows rebel leader he praises and loves so much was Amir aka price of Al-Qaeda Ben knows 2 years go he calls him terrorist now he is freedom fighter to Ben 😂,0,2024-12-14T20:29:00Z,2024-12-14T20:29:00Z
@Davidh741,"Blame USA and Israel for funding those jihadis,  Assad was the one who actual protected Christian from any attacks",0,2024-12-14T20:24:30Z,2024-12-14T20:24:30Z
@Davidh741,Guys listen to Dave Smith Syria has fallen Ben is not giving you correct information he is Israeli mouth piece he is calling former ISIS members rebels now 😂,1,2024-12-14T20:17:38Z,2024-12-14T20:17:38Z
@Davidh741,Ben calling them rebels 2 😅 years ago they wore killing and beheading people across middle east those are former ISIS and Al-Qaeda to Ben they are rebels now because Israel and America funded via Turkey them now and then,0,2024-12-14T20:14:05Z,2024-12-14T20:14:05Z
@Davidh741,While Israel and Turkey funded those jihadist in Syrian war and in 2024 with help of USA don’t blame anybody but USA and Israel for this good luck to Muslims and Christian,0,2024-12-14T20:10:16Z,2024-12-14T20:10:16Z
@Davidh741,Operation timber sycamore Obama and John Brennen with help of Israeli and Turkish government started the Syrian war by funding jihadist that’s America invasion of Iraq created and Israel created by Benjamin N giving speak to congress and supporting Iraq war now Israel and America with help to Turkey are funding same jihadis in Syria and Benjamin N is calling it step to democracy in the region while stealing Syrian land,1,2024-12-14T20:08:44Z,2024-12-14T20:08:44Z
@amadeoro1226,You will see Israel collapse before your time mister Ben stop barking because it’s all dreams,1,2024-12-14T17:30:44Z,2024-12-14T17:30:44Z
@Iwatchedyouchains,"Little Benny is exactly like the police and the media:  he's there to protect wealthy, blood-drinking elites.  He know who writes his paychecks!",1,2024-12-14T15:19:01Z,2024-12-14T15:19:01Z
@ryanbareither89,Does anyone else think he's a cuckold?,1,2024-12-14T14:21:23Z,2024-12-14T14:21:23Z
@splinterbyrd,"Hey Ben, do something about the eyebrows mate 🙂",0,2024-12-14T11:56:34Z,2024-12-14T11:56:34Z
@أبوصخر28,"Chriatians are celebrating the victory of the rebels(what the west call terrorist) and the fall of assad regime.
Christians of syria are safer than ever.",1,2024-12-14T07:08:01Z,2024-12-14T07:08:01Z
@أبوصخر28,The biggest terrorist is what so called the state of israel.,2,2024-12-14T06:44:07Z,2024-12-14T06:44:07Z
@GMparts106,"dude you need to relax , I can relate , I drink alcohol and smoke pot to slow my brain down . When I'm straight my mind runs wild , I would be in the shower and thinking about everything and how to solve everything and I don't understand how very few people understand it",0,2024-12-14T04:10:37Z,2024-12-14T04:10:37Z
@magnusmini20023,Ben shapero: socialist for Israel,1,2024-12-13T23:42:52Z,2024-12-13T23:42:52Z
@nicholascamerucci8840,"Hey ben, what's the premium you have to pay for losing your spine",0,2024-12-13T22:51:27Z,2024-12-13T22:51:27Z
@willcarder8787,Praying for Syrian Christians. Christianity has so much history in Syria dating back to the earliest days of Christianity. It’s is horrible what has been happening them over the years,0,2024-12-13T22:35:30Z,2024-12-13T22:35:30Z
@JG-vj7lm,Ben shapiro gives me nothing but good news,1,2024-12-13T17:57:46Z,2024-12-13T17:57:46Z
@GuyIncognito-mw8mr,"How about reacting to the debate a survivor from the USS Liberty Ben,put your $50,000,000 where you mouth is 🧐",1,2024-12-13T17:43:44Z,2024-12-13T17:43:44Z
@TeamKellar,"“For ye, brethren, became followers of the churches of God which in Judæa are in Christ Jesus: for ye also have suffered like things of your own countrymen, even as they have of the Jews: who both killed the Lord Jesus, and their own prophets, and have persecuted us; and they please not God, and are contrary to all men:”
‭‭1 Thessalonians‬ ‭2‬:‭14‬-‭15‬ ‭KJV‬‬",0,2024-12-13T17:15:29Z,2024-12-13T17:15:29Z
@sinanozdemir193,Kurdish people are the only people that respect the Christianity and Jewish traditions and Israel . Unfortunately US gives more credit Sunni Turkish State . Turkey is openly making anti Jewish propaganda since Erdogan got the power. Israel and US must help to Kurds to have peaceful neighbors.,0,2024-12-13T17:08:12Z,2024-12-13T17:08:12Z
@fanzareli88,USS liberty Ben !!!,1,2024-12-13T14:13:11Z,2024-12-13T14:13:11Z
@vickikyvrikosaios7300,Isreal supportd hamas and since they don’t want a border manned by Assad they allowed Hamas with the betrayal of Erdogan to Russia and Iran to destabilize the area. Look we all know isreal wants to control he area…we know how this is going to go. Zionists don’t want Christians anywhere … this has been proven,1,2024-12-13T06:04:24Z,2024-12-13T06:05:07Z
@pamelapauline5068,"Ben,  you don't realize how Israe , the USl has funded a lot of the terrorism as long as it benefited THEM. .  You won't look at facts,  truth.  I can't stand listening to you anymore.",2,2024-12-13T05:37:24Z,2024-12-13T05:37:24Z
@VICE-H3RO,I don’t care about Israel and their priorities in this region. America needs to focus on itself not funding these wars and extremists,1,2024-12-13T05:33:14Z,2024-12-13T05:33:14Z
@MarkBH70,"NWO, George Soros, Antichrist, World Bank, American false flag, control.",0,2024-12-13T03:02:10Z,2024-12-13T03:02:10Z
@robertmarmaduke186,"I can still remember back in 2011 when Obama-Biden sent McCain and Graham into South Syria, smuggled in by IDF, and McCain posted his selfie with top I$I$ commanders they armed and funded, then those wack headchopper videos _that were greenscreened from a studio in London,_  *in much the same way digital experts have proved ls'real p'shopped the 7OCT Intifada.*

It amazes me the West chose to ignore India's Modi meeting Netanyahu in *June 2023* _pledging to replace Gaza internment camp Workers with trafficked ln'dian labor!_ But that's what they did to Gaza, until in *September 2023,* when Blinken cut off aid to Egypt used to feed and care for now penniless starving Gazan population! [Hindustan Times] cont'd

That outrage led to 7OCT Intifada and gave Netanyahu _causus belli_ to lockdown and then mvrder 50,000 Gazans, _while ln'dia is busy supplying all ls'real's labor now, in taking over Northern Gaza!_ *ln'dia offshoring is already stealing $200,000,000,000 a year in good jobs from Americans!*

Here we go in Syria again! Like Afghanistan, where Hillary wrote their Constitution, designed their Currency, their Flag, then with  DDR Deep State pals, _scored the Afghan National Anthem! _

'Tis the land of Afghanistan,
'Tis the pride of every Afghan.
'Tis the land of peace and the sword,
'Tis the cradle of its brave sons.

Like the sun in the deep blue sky;
Forever shall this great land shine!
In the chest of Asia it lies;
As the heart shall it remain!

_Jesvs HF'g G-d!_",0,2024-12-13T00:55:21Z,2024-12-13T00:55:21Z
@alanaadams7440,Divide up Syria for the different tribes,2,2024-12-12T23:51:40Z,2024-12-12T23:51:40Z
@alanaadams7440,Isreal needs to keep on getting those leaders in Qatar,1,2024-12-12T23:50:38Z,2024-12-12T23:50:38Z
@surewhynot6040,THANK GOODNESS THIS NEW ADMINISTRATION IS COMING IN BECAUSE THE BIDEN (OBAMA) ADMINISTRATION WOULD MAKE THIS PROBLEM 10X'S WORSE.,0,2024-12-12T17:07:51Z,2024-12-12T17:07:51Z
@truthbetold818,"Why do people listen to this guy, this guy is a coward, he ran away from Candace Owens. He tried to deny Israel's true intentions when they torpedoed the USS Liberty. This guy is a grifter who shouldn't be trusted.",2,2024-12-12T16:58:58Z,2024-12-12T16:58:58Z
@douglaslindsaychapman5188,Thanks for putting disparate facts into accurate and concise narrative.,0,2024-12-12T15:00:14Z,2024-12-12T15:00:14Z
@amandaneumann1173,"You are Israel first NOT America first! Why dont you just go live there man! You just want an Israeli takeover,no matter how many lives lost to conquer that! You support a buffer on a buffer! Golan Heights is NOT Israeli territory and you fkn know it! You support war criminals and could not care less about international laws! They are there for a reason!!! You make me sick to my stomach!",2,2024-12-12T14:19:30Z,2024-12-12T14:34:25Z
@twizzwinton,Ben Shapiro is clearly Israel first,1,2024-12-12T12:20:35Z,2024-12-12T12:20:35Z
@winstonsmith9806,The Jude süs is speaking ..that how they contribute to society! Never hard labour only Jew propaganda ..,0,2024-12-12T10:38:15Z,2024-12-12T10:38:15Z
@bengaltiger96,This is when you are at your best. The normal overgeneralisation of left vs right - I guess you have to pay the bills somehow. But this is where you truly give concise analysis.,0,2024-12-12T06:58:40Z,2024-12-12T06:58:40Z
@Peoples_Hero_99,"Ben should marry Lindsy Graham, they would make a great couple !",0,2024-12-12T05:48:10Z,2024-12-12T05:48:10Z
@SharonLampert,World 🌎 Peace when Islam ☪️ Coverts to Buddhism 🕉️,1,2024-12-12T02:10:36Z,2024-12-12T02:10:36Z
