User,Comment,Likes,Published At,Time Ago
@suspencefool4548,"I think we all have experienced sexual assault . Because the government is fucking us hard, with no consent.",0,2022-06-24T14:55:25Z,2022-06-24T14:55:25Z
@berner,"This female population digit is more concerned about ""the bad guys are out there and around every corner and everyone else just is terrified and wants to just be left in peace"" than she is ""I'm a politician, I do politics, it's my job"".

She's such a little lying drama queen.",0,2022-06-23T12:39:47Z,2022-06-23T12:39:47Z
@TrumpUpTheVolume99,I still can't watch this clip without wanting to beat the fuck out of her. Sorry. Just saying. people who lie like that deserve an ass beating. I'll have my wife do it. Who does something like this??? Who told her to do it???  Such trash.,0,2022-06-19T12:37:53Z,2022-06-19T12:37:53Z
@Abajocadenasgritaba,"AOC  not believable, very fake.",0,2022-06-18T22:14:53Z,2022-06-18T22:14:53Z
@stevens2706,She's so full of crap it's hard to listen to her lies!!,0,2022-06-17T19:57:27Z,2022-06-17T19:57:27Z
@cjs0879,"AOC wasn't even in the capitol then. She was in a bldg 6-8 blocks away that wasn't entered. As usual, she's virtue signaling on a lie.",0,2022-06-14T16:07:28Z,2022-06-14T16:07:28Z
@NwowolfpackLb,She literally stole her story from Pirates of the Caribbean curse of the black Pearl,0,2022-06-13T08:00:10Z,2022-06-13T08:00:10Z
@SuckItYouTube19,AOC is a failed abortion.,0,2022-06-13T07:41:38Z,2022-06-13T07:41:38Z
@roelven1282,"billions of damages, people killed, huge numbers of wounded people during the BLM riots.... people with ACTUAL ptsd ... and AOC tells them to shut up and move on..... then jan 6 happens and AOC (sexual assault is NEVER ok!!!!!!!!) lies about entire timeline (is proven..) ,.... so drama queen ... go screw youreself i dont believe liars. (eeej blame Amber Heard ... if a woman is caught lying once .... then i am inclined to believe everything she says is a lie.)",0,2022-06-11T23:22:23Z,2022-06-11T23:22:23Z
@gerifolts,She's so straight up fked in the coconut. 🤣,0,2022-06-11T22:24:16Z,2022-06-11T22:24:16Z
@TerryRosariojr,"She is lying. 
Gazooo?",0,2022-06-10T20:37:06Z,2022-06-10T20:38:36Z
@slew2108,The wearing of a vest by Crowder is just as much acting as is Cortez's act. Both of them are doing it for money.,0,2022-06-09T02:03:16Z,2022-06-09T02:03:16Z
@SplashingMANGO,"Get over yourself AOC! How many people died on Jan. 06 at the capitol? Oh, just some of the protestors and nobody on your side of things AOC? Get bent! And don't give me that crap of the officer who had a stroke or the officers who committed suicide weeks or months after the fact that they are attributing to Jan. 06. AOC was never in danger, she was not in a life or death situation, she's a pathological liar!",0,2022-06-08T18:18:15Z,2022-06-08T18:18:15Z
@johnfitbyfaithnet,I love Cruz but don't agree that the election was clean,1,2022-06-07T20:52:08Z,2022-06-07T20:52:08Z
@johnfitbyfaithnet,She can only cry wolf so many times,1,2022-06-07T20:51:10Z,2022-06-07T20:51:10Z
@johnfitbyfaithnet,How absurd is it that the suggestion of the things she is accusing were done to her by FBI peronnell,1,2022-06-07T20:50:52Z,2022-06-07T20:50:52Z
@hudsonhayer9376,I can't wait to watch democrats swing for treason.,0,2022-06-07T07:31:03Z,2022-06-07T07:31:03Z
@S2BYISRAEL,I really don't like her and I am completely convinced aoc is the reason any type of sexism exist.,0,2022-06-06T16:03:30Z,2022-06-06T16:03:30Z
@Qheneng,1:00 what does she mean she hasn’t told many people she just told the entire internet,0,2022-06-06T05:25:11Z,2022-06-06T05:25:11Z
@johnotoole5786,I wish reality was more akin to her imagination,0,2022-06-05T19:33:50Z,2022-06-05T19:33:50Z
@justinkooker1460,Every day the Democrats give reasons why half of them to include kamala Joe pension an Schumer should be impeached and removed. They are all treasonous racist tyrants just as the founding fathers warned us about.,0,2022-06-05T16:13:50Z,2022-06-05T16:13:50Z
@jeremyellison2293,Kinda sounds Exactly like what Amber heard went through poor thing,0,2022-06-05T15:47:21Z,2022-06-05T15:47:21Z
