User,Comment,Likes,Published At,Time Ago
@StevenCrowder,"How do you feel about this case?

The media has an agenda and won't show you the full truth. We make sure all our sources are public for you at https://www.louderwithcrowder.com/show-notes-johnny-depp-amber.",112,2022-04-22T19:23:52Z,2022-04-22T19:23:52Z
@davidbrunk7830,"One rape kit taking she gets a free  gun, That should be  a law",0,2023-01-06T19:02:13Z,2023-01-06T19:02:13Z
@weswolf73,I believe he literally had a learning disability as a kid kinda mentally challenged.,0,2022-12-06T22:38:31Z,2022-12-06T22:38:31Z
@OppZilla13,"It is ridiculous that a woman can marry a man, scavenge his money, cheat on him and take half of his entire lifes work",1,2022-08-23T19:28:19Z,2022-08-23T19:28:19Z
@OppZilla13,It's almost like women enjoy privilege that men dont... nah that couldn't be true,1,2022-08-23T19:17:06Z,2022-08-23T19:17:06Z
@imtubin6222,What’s the song at the beginning,0,2022-08-09T16:32:25Z,2022-08-09T16:32:25Z
@arielmcgillacuddy6640,Revenge porn wow that’d Johnny Depp and him and Manson discussing Fan girl 18.  Eww these are a couple of middle aged men! One Depp can’t even get it up!  That was absolutely relevant as to why he raped Amber with a bottle!  How stupid can people be to believe a man with revenge porn is not the abuser?  That is more abuse right there.,0,2022-08-01T14:34:48Z,2022-08-01T14:34:48Z
@brianlaurent1462,"I agree with almost all of your views having seen most of your Change my Mind videos, but if people used a firearm to defend themselves from would be rapists, wouldn’t that lead to unfair treatment if a man used one to defend himself from their female abuser?",0,2022-06-16T13:33:10Z,2022-06-16T13:33:10Z
@fitterniti,"Jack Sparrow does it again - escapes the clutches of the dastardly tentacular monster of the deep, The Unfathomable Heard, and sails away into the horizon. 🔥",0,2022-06-02T01:31:28Z,2022-06-02T01:31:28Z
@Greyskymorning395,@47:22 I think that is for children and not partner IPV,0,2022-05-31T05:42:43Z,2022-05-31T05:42:43Z
@TH3DUDE0075,"Never been hit by a women but I have had women smash all of my stuff and cost me thousands of dollars, I’ve seen women psychologically abuse men they’ve been married to for 30 years with multiple kids who start an affair drain the bank accounts, max out the credit cards, mortgage the house, and then roll out leaving the guy who just wanted to keep his family together to suffer the consequences - they justify by saying “well he makes way more money than me he will be fine”. Divorce and fornication have destroyed marriage - men in this country are way more likely to suffer terrible abuse like this that takes years to get past the physical ramifications and are permanently mentally/emotionally scarred.",2,2022-05-26T11:32:46Z,2022-05-26T11:32:46Z
@TH3DUDE0075,Didn’t Rudy bang his cousin and do some cross dressing?,0,2022-05-26T10:52:42Z,2022-05-26T10:52:42Z
@chrisgomez860,"I've never hit a man. My momma raised me with morals and she told me if I DID hit a man for no reason, expect and accept to get hit back. Female humans like amber turd DISGUST me.",1,2022-05-24T03:00:47Z,2022-05-24T03:00:47Z
