User,Comment,Likes,Published At,Time Ago
@homeineveryzone,Here we go,0,2024-11-14T13:05:12Z,2024-11-14T13:05:12Z
@Faith_100,This one sided news reporting is destroying America. Trump requested the guard days before January 6 . Did you call Ashli a  Racist who do you think you are calling a person you don’t know a racist? Democrats are the racist who lost the civil war to Republicans.,0,2023-03-08T14:22:05Z,2023-03-08T14:22:05Z
@ilovethe1950s,"The new standard for what is now considered acceptable forms of protest was lowered in 2020 by the Democrats to include damaging federal property, attacking law enforcement, and acting as though your grievances come before the world at large.

And when “mostly peaceful"" protests include 574 riots, 28 deaths, 2,000 police officer injuries, $2 billion dollars in damage, and over 150 federal buildings damaged, it's safe to say that your own tolerance for violence is quite high and the bar for what is “mostly peaceful” is quite low.

And when that amount of death, destruction, and mayhem gets excused, going so far as to have your next Vice President setting up bail funds for those involved in such activity, do you know what many Trump supporters on January 6th were probably thinking?

""I am only doing what YOU told me was okay to do.”",0,2022-01-08T16:00:57Z,2022-01-08T16:00:57Z
@jesmeinertzbyg6952,"Not a lot of world news there.. Can you bring back something other than US politics to the show? (I realize that the coup is the biggest story in the world, but it would be nice to know what else is going on too)",0,2021-01-10T10:40:59Z,2021-01-10T10:40:59Z
@marierosebouramia4522,"Amy, trump isn't jesus, your lips getting smaller from so much hate in your heart, easy girl, just read the news and go home, let the prospect take care of itself, youll live longer !",0,2021-01-09T22:25:28Z,2021-01-09T22:25:28Z
@sandrawalker8839,What's point of resigning  now  days before 20 Jan 😂🤪,0,2021-01-09T22:08:08Z,2021-01-09T22:08:08Z
@jolake3131,"AND Trump & Friends were watching on a TV in a tent, laughing and celebrating in a party-like atmosphere.",0,2021-01-09T21:05:21Z,2021-01-09T21:05:21Z
@nickgangone9541,I wish John Ossoff wasn't a centrist hack,0,2021-01-09T20:44:41Z,2021-01-09T20:44:41Z
@georgewashington90,"The rioters are most healthy part of USA nation who stood up against 
most rated politicians on the planet Earth. I solute all ""Trumpers"" with
 highest respect. If establishment puts Trumpers to jail , president 
should pardon them all.",1,2021-01-09T07:22:56Z,2021-01-09T07:22:56Z
@ИгорьОлексенко-п6к,Не управляемая толпа. Самое страшное оружие против диктатуры.,0,2021-01-09T04:22:18Z,2021-01-09T04:22:18Z
@anitalanier4049,"Trump, is no better than the, so called, thugs he speaks about.
He knows his time is just about up in the president's seat. Looks like he wants to do as much damage as he can before he leaves. 
           ""SORE LOSER"" !!!
 JUST A SENSIBLE THOUGHT ...",0,2021-01-09T01:41:48Z,2021-01-09T01:41:48Z
@Jpom22,"With enough effort, DN can match Fox Noose in slanted reporting. Do we really want Goodman's words while watching Dumptruck's VIDEO?? Utterly obscene!!!",0,2021-01-09T01:26:01Z,2021-01-09T01:26:01Z
@anitalanier4049,"All this Chao,  Mayhem and destruction, was caused by Trump and he should beheld accountable !  So sad the young man, stuck on the head, lost his life defending the Capital.
A security policeman, just doing his job.
Trump is not above the law ! There should  be a trial held for him.    
""HE IS NOT ABOVE THE LAW""",0,2021-01-09T01:19:14Z,2021-01-09T01:19:14Z
@kimqadir7543,Enough with the posing and the dramatic outrage. Get a grip. Dirty elections have consequences.,0,2021-01-08T23:25:59Z,2021-01-08T23:25:59Z
@1010juanita,"where is what Trump said during the protest, for the murder of an African American, ""when the assaults begin, the shooting begins"" they assaulted the capitol offices and no one came out to defend the assault, least of all democracy.  It is a shame how they were paralyzed by this shameful act.  constitutional law must punish all who participated.",0,2021-01-08T22:18:27Z,2021-01-08T22:18:27Z
@jime3154,"Ms. Amy.....you are a socialist and not a constitutionalist.  We are not a democracy, never have been, we have always been a Constitutional Republic.  Folks like you have, for decades, confused folks into believing that we are a democracy while at the same time pushing your socialist agenda through congress, the press and local/state legislatures.  You are a cancer on society.",0,2021-01-08T21:02:12Z,2021-01-08T21:02:12Z
@Larkinchance,You can't make this shit up...,0,2021-01-08T17:44:07Z,2021-01-08T17:44:07Z
@thevirtualjonathan1284,"""Special"" is certainly the correct adjective.",0,2021-01-08T16:38:33Z,2021-01-08T16:38:33Z
@bkbland1626,"Venezuela calls it like it is. Ouch. Hey, Truth always hurts.",0,2021-01-08T13:52:02Z,2021-01-08T13:52:02Z
@sallybowers7231,"Nope angry citizens cheated out of their civil rights attacked their agressers 
.like my self saw the fraud first hand
.",0,2021-01-08T13:42:42Z,2021-01-08T13:42:42Z
@majasmaju2248,0:29 I generate 193 each and every day because of *f u n d a i l y p a y*,0,2021-01-08T13:27:20Z,2021-01-08T13:27:20Z
@afauxican_american,They hate America.,0,2021-01-08T13:24:46Z,2021-01-08T13:24:46Z
@kenkunz1428,"""A robust health response""? Ossof is against a National Healthcare Plan.",0,2021-01-08T13:10:04Z,2021-01-08T13:10:21Z
@jackdayton8842,"To the democracy now staff.
The reason I don't watch this channel more often is your newscaster Miss Goodman . I don't like her presentation of the news and the way she presents it. I have to filter through all of that to pick out the news information.",0,2021-01-08T13:07:17Z,2021-01-08T13:09:55Z
@davidwong1848,Trump's wanted to be President for Live like Xi 🇨🇳 China 😅😅😂🤣,0,2021-01-08T12:26:49Z,2021-01-08T12:26:49Z
@bernardevans1536,"I'm as worried as anyone, but Georgia organizers give me hope.",0,2021-01-08T12:22:13Z,2021-01-08T12:22:13Z
@supercool1238,All politicians crooks everyone a grifters,0,2021-01-08T12:11:42Z,2021-01-08T12:11:42Z
@allangervais2335,"On January, 08 , 2021 . Ontario Canada . Has 3,519 covid-19 numbers  , per day infection . And Quebec Canada is about the same . The Government of Quebec and Ontario , by dragging their feet , have created this problem .",0,2021-01-08T11:27:30Z,2021-01-08T11:27:30Z
@nealbeard1,"The US is insane. Lauren Boebert make up, strut, polished video and a pistol. She should spend a day in A and E and see the nice neat holes bullets make.",0,2021-01-08T11:05:28Z,2021-01-08T11:05:28Z
@JonBernard41,"The USA is weak!
Allowing ONE man to create HAVOC and attempt a COUP!",0,2021-01-08T10:46:26Z,2021-01-08T10:46:26Z
@naviddivan,"Best news video 
Thank you Democracy Now!",0,2021-01-08T09:57:50Z,2021-01-08T09:58:44Z
@spokanefut,"No pity for the Qanon AF vet who got herself shot. Play stupid games, win stupid prizes.",0,2021-01-08T07:25:43Z,2021-01-08T07:25:43Z
@walterprince8462,Why didn’t Trump enter the military and show how brave he is this typical of fat old men that send your sons and daughters off to war while their house brats are exempted from military services. As for this being an attack on democracy this is a misnomer the disruption of social order is the product of President Trump the desire of wanting to be president for life is a mental regression back into the days of Bonaparte of France,0,2021-01-08T06:55:44Z,2021-01-08T06:55:44Z
@falviagee2767,"Someone left the back door open in Congress.  This was a inside job and sick Trump knew about it.  Shame Shame on America -- DAMN -- Is this ""Lets make America Great Again"" -- We should demand ""LOCK HIM UP"". Lock Trump up immediately",0,2021-01-08T06:43:40Z,2021-01-08T06:43:40Z
@wild-radio7373,"Nutters. 
Not in Oregon they wont...
Head on a swivel yall♡♡♡
Green Blue alliance!!!
🤜🏻👍🤛🏻",0,2021-01-08T06:17:44Z,2021-01-08T06:17:44Z
@lukelee3,All this news is only suprising if you're white,1,2021-01-08T05:42:40Z,2021-01-08T05:42:40Z
@gradualuprisintheory,Senate flipped!,0,2021-01-08T05:42:17Z,2021-01-08T05:42:17Z
@kbkatherineb3944,Commander Bone Spurs still sending others to fight his battles.,0,2021-01-08T05:40:59Z,2021-01-08T05:40:59Z
@gradualuprisintheory,This is the White House. This is a mob. Police stand by and watch. What does this tell you?,0,2021-01-08T05:37:23Z,2021-01-08T05:37:23Z
@lukelee3,Fbi and secret service cleared the capitol. NOT CAPITOL POLICE who coluded with the the TERRORISTS.,1,2021-01-08T05:35:00Z,2021-01-08T05:35:00Z
@amystanley3681,Wow!!! You are a anchor on tv 😳,0,2021-01-08T05:16:03Z,2021-01-08T05:16:03Z
@edwardmiessner6502,"Trump: ""And you all are very special."" (He means wicked retarded --- we know he thinks they're a bunch of losers, that he's called them despicable, and that he loves the poorly educated)",0,2021-01-08T05:11:40Z,2021-01-08T05:11:40Z
@pliniablue1473,"Maybe it would be a good idea to go deeper into what moves this particular kind of Trump supporters (there are a few kind).  They say they are the forgotten Americans because they are not doing so well.  If you think about it their revolt might not be moved by much different than the French yellow jackets who are also not doing as well.  I want to believe that racism is just something they hold on to as to feel relevant and blame, though if it were more, it needs understanding and social programs for people of different races to interact in a friendly manner. I think Biden is right being reluctant to go after Trump as imprisoning him could cause deep resentment right now.   I think he should address these people directly understanding where they are at.  Unsettling divisions run through societies worldwide, not just the US.  Misery has to be uplifted; inequality cannot continue this way.  People need a higher dose of wellbeing and tranquility and sophisticated education has to be boosted because that is part of the problem too.",0,2021-01-08T05:08:40Z,2021-01-08T05:08:40Z
@nabie981,"With this shocking aftermath of riot, Trumpers are now blaming Antifa for this mess. How convenient!",0,2021-01-08T05:07:00Z,2021-01-08T05:07:00Z
@jackparker8686,It isn't exactly a crossword puzzle but it is reason  for heightened alert,0,2021-01-08T04:58:59Z,2021-01-08T04:58:59Z
@jackparker8686,Any info they might have needed could have even been picked up directly from Donald Trump as to where and what to look for.,0,2021-01-08T04:56:30Z,2021-01-08T04:56:30Z
@jackparker8686,How else might at work how else might be feasible?,0,2021-01-08T04:53:26Z,2021-01-08T04:53:26Z
@jackparker8686,"Can we imagine Donald Trump saying , I'll get what I need or we'll launch another one????",0,2021-01-08T04:52:35Z,2021-01-08T04:52:35Z
@jackparker8686,was the whole thing of ruse to obtain that computer and whatever else they needed?,0,2021-01-08T04:50:31Z,2021-01-08T04:50:31Z
@jackparker8686,He doesn't understand... freedom of speech doesn't allow planning to over throw the government.... I don't know what was on that computer stolen better change those codes how many moles are in possibly the silos.. How might they hack and control their plan?,0,2021-01-08T04:46:03Z,2021-01-08T04:46:03Z
@negrildoc,Thanks for your truthful reporting Amy Goodman!,0,2021-01-08T04:17:22Z,2021-01-08T04:17:22Z
