User,Comment,Likes,Published At,Time Ago
@Tkmobile-j7d,Problem children of the world.,0,2024-12-19T05:52:32Z,2024-12-19T05:52:32Z
@SovereignEntity-63,What a mess...,0,2024-12-17T23:50:07Z,2024-12-17T23:50:07Z
@nazzm7298,Sanctioned and terrorist attacks supported by usa and west for past decades.  No surprise.,0,2024-12-17T12:06:33Z,2024-12-17T12:06:33Z
@descartesdonkey4291,"Look. Guys walke up to the facts. Oil, gas off the coast of Israel Cyprus and Egypt.  Massive deposits. Palestinians must not have that revenue or control, Turkey wants it badly. Egypt is supine, Tutkey is machisvellian, israel is genocidal ...for oil.",0,2024-12-17T10:46:51Z,2024-12-17T10:46:51Z
@descartesdonkey4291,My cat must ge a Methodist seeing that he loves his Dreamies food. ..the latest hate thjnk charges in the Uk from our peadophile facilirator Starmer.,0,2024-12-17T10:43:03Z,2024-12-17T10:43:03Z
@ClaritoPa1980,Just like in Afghanistan.... This american/NATO domesticated islamist will KICK OUT AMERICANS/EU ANIMALS too,0,2024-12-16T09:07:09Z,2024-12-16T09:07:09Z
@ClaritoPa1980,"And you called it DEMOCRACY? 😂😂😂😂
GARBAGE IN >GARBAGE OUT",0,2024-12-16T09:04:59Z,2024-12-16T09:04:59Z
@VanmanhBui-p2e,Libyans now warmly welcomes you to the prestigious and highly exclusive Failed State Club. Such feeble mindedness can't even repel the infantile CIA's propaganda campaign.,0,2024-12-16T07:16:10Z,2024-12-16T07:17:20Z
@jonglewongle3438,"Democracy Now! being a Zionist front, always in support of Mossad-backed Jihadism.",0,2024-12-16T01:03:10Z,2024-12-16T01:03:10Z
@markkandutsch263,"It's disgusting that our country (through CIA, mainly) repeatedly pays and arms al Qaida  (who now rule Syria ) and other terrorists and jihadists to act as our proxies.  This is one reason why Tulsi Gabbard needs to be approved as DNI:  She is one of the few who could actually make a difference... but the neocons will probably prevent this",1,2024-12-16T00:52:50Z,2024-12-16T00:53:40Z
@erinsable,"so the west cant deal with a state, but only with a terrorist state. greater israel project in action. these arent rebels. they are agents of israel. muslim zionists to be exact, as many al qaeda are.",0,2024-12-16T00:48:47Z,2024-12-16T00:48:47Z
@indodom1141,"Interesting how your guest demonizes the Asad govt while the country is being carved up and let's not forget  the rebranded hts,  also now their is less of a possiblity for a free Palestine. lets not forget also that Syria is one of the seven countries that the US had targeted in this area as part of the game to satisfy Israel and to extend it's global dominance.",0,2024-12-15T17:47:27Z,2024-12-15T18:00:35Z
@mod0049,No it isn't there terrorist head choppers paid for by usa isreal Turkey its a mess and it should never have happened its a regime change nothing more but the head choppers are unpredictable and they  don't share power its only going to get worse these are basically isis .,0,2024-12-15T15:53:22Z,2024-12-15T15:54:54Z
@phildazz,Turkey is a loyal member of NATO. Totally addicted to advancing towards becoming a member of the EU. By handing over the Syrian nation to Israel and the USA for complete destruction. Turkey is one step closer to becoming Europeans.,0,2024-12-15T11:21:01Z,2024-12-15T11:21:01Z
@abdirahmanjama9290,Jews and Christians can continue their atrocities and terra in the Islamic world but eventually it will be their downfall forever.,0,2024-12-15T10:19:56Z,2024-12-15T10:19:56Z
@FirstLast-zk5ow,I remember when this channel used to pretend to be an alternative to the mainstream. It's not.,0,2024-12-15T04:05:37Z,2024-12-15T04:05:37Z
@DarkVader-jj4dt,"You must be very naive to think the fall of Assad will make any kind of difference in Syria. Meanwhile, the U.S., that champion of  western democracy, will continue to steal 
Syrian oil.",0,2024-12-15T03:21:35Z,2024-12-15T03:21:35Z
@davidmangs6111,"FREEDOM AND DEMOCRACY FOR THE PEOPLE OF SYRIA NOW THAT ASSAD'S MURDEROUS REGIME SUPPORTED BY RUSSIA, IRAN AND HEZBOLLAH WILL BE REMOVED! THE BRAVE SYRIAN PEOPLE PROVE THAT THE DREAM OF LIBERTY CAN NOT BE EXTINGUISHED BY EVEN THE MOST BRUTAL TACTICS OF A DICTATOR AND HIS AXIS ALLIES RUSSIA,IRAN AND THEIR PROXIES (ESPECIALLY HEZBOLLAH)

Prior to Russia’s 2014 invasion of Crimea, Putin had already learned in his support of Syria’s Assad and the use of chemical weapons in Syria (during President Obama’s term in office) that red lines could be crossed without consequence. Russia, Iran, and Hezbollah supported  the butcher Assad in Syria resulting in 613,000 Syrian deaths, Assad remained in power stealing from the Syrian people, and the Russians were rewarded with both a naval base and an air force base for Russia on  Syrian soil.. With the AXIS allied Assad, Iran had a base for its own military and its proxies (Hezbollah and others) to spread terror and violence throughout the Middle East. Assad became another allied corrupt dictator supported by, and allied with the AXIS(Russian, Iran, China and North Korea).
 The rapid advance of rebel forces in December 2024, has finally led to the collapse of the Assad regime after a bloody 54 years of autocratic rule. Syria will now have the chance to create a new future without Assad's cruel oppression which was supported by Russia, Iran and Hezbollah.

Now is the time for western democracies to assist the Syrian people in creating the institutions that support a durable democracy, the rule of law, respect for minority rights, religious tolerance, and equal rights for women. Syrians must not let Shariah Law strangle freedom and democracy. Initially, the world must help Syria address a horrendous humanitarian crises, and then we must begin the long process of developing the democratic institutions and physical infrastructure that will support sustainable economic development so that the Syrian people will enjoy prosperity, freedom, and peaceful coexistence within their beautiful country and with their neighbors. 

THE UN AND THE INTERNATIONAL CRIMINAL COURT (ICC) SHOULD IMMEDIATELY BEGIN INVESTIGATING AND PROSECUTING THOSE WHO HAVE COMMITTED WAR CRIMES, CRIMES AGAINST HUMANITY, AND GENOCIDE DURING THE ASSAD FAMILY DICTATORSHIP IN SYRIA INCLUDING THOSE COMMITTED BY RUSSIA, IRAN, AND HEZBOLLAH.  THE SYRIAN PEOPLE DESERVE JUSTICE, AND THE WORLD HAS A RESPONSIBILITY TO SERVE UNWAVERING JUSTICE UNIMPEDED BY THOSE WITH POLITICAL,  ECONOMIC AND MILITARY POWER!

THE CORRUPT DICTATOR ASSAD STOLE BILLIONS FROM THE SYRIAN PEOPLE AS THEY STRUGGLED IN POVERTY AND UNDER BRUTAL OPPRESSION. THIS ""BLOOD"" MONEY MUST BE RETURNED TO THE SYRIAN PEOPLE FOR THE RESTORATION OF THEIR INFRASTRUCTURE, AND FOR SUSTAINABLE ECONOMIC DEVELOPMENT. THE UN SHOULD PARTNER WITH SYRIA TO REPATRIATE THESE STOLEN FUNDS TO SYRIA!!

Finally, Syrians must never forget that the AXIS powers and their proxies (especially Hezbollah) oppressed the Syrian people for decades by supporting their allied corrupt dictator Assad. Russia must surrender to Syria its naval base and its air force base after inflicting immense suffering on the Syrian people by destroying the country's infrastructure, committing war crimes(including the use of chemical weapons and the targeting of hospitals and schools), and acts of genocide, torture, incarceration, and murder.
Russia, Hezbollah and Iran can no longer have a political, military or economic presence in Syria, or they will certainly bring back war and conflict. David A. Mangs Ph.D.",0,2024-12-14T23:12:02Z,2024-12-14T23:12:02Z
@harrisng3041,"☠️💀With the collapse .
 ,of 
the Assad, Zelensky , Natanyahu and William Lai Regimes.....there shall not be a WW3.  
   Trump and Xi shall work happily together to build a, new relationship without being drawn into a.  WW3 by the three International 
Military Demons: Natanyahu, Zelensky and William Lai.
.... Harris Ng YM 👻😄☕🍰🙏👌,🇨🇳🇺🇸🇷🇺👌😊
THE COLLAPSES, OF THE
INTERNATIONAL DEMONS YEAR-- MARKED FOR 2025.",0,2024-12-14T08:25:00Z,2024-12-14T08:25:00Z
@DelightfulChocolateBonbo-kx9vl,Politics the influence this created that's war's b'cus high interest curruption yiu that's,0,2024-12-14T03:09:37Z,2024-12-14T03:09:37Z
@williambishop8101,Regime change apologia,0,2024-12-14T03:08:44Z,2024-12-14T03:08:44Z
@amber40494,It's not a civil war!,0,2024-12-14T02:16:06Z,2024-12-14T02:16:06Z
@reginaldmcnab3265,"2:05 “don’t count on the people’s intelligence because they don’t have any but play on their emotions “ Adolf 

Remember Libya and clopping crowd

Remember Iraq and the clopping crowd 

Syria will be nightmare and the Isreali regime will take Syria’s territory",0,2024-12-13T22:13:47Z,2024-12-13T22:13:47Z
@jabbard73,Not our problem,0,2024-12-13T21:33:07Z,2024-12-13T21:33:07Z
@dennis3351,This channel is delusional in its irrational exuberances. There is no good outlook in this. It just replaced one with another one. What Amy calls ''democracy'  obviously she doesn't really know what it is. As we speak people are being beheaded including a 15 year old boy I've heard. But from Amy's armchair its all good. Syria is multiple factions some that wont agree. The once syria will likely break apart and only a matter of time before hts confronts the kurds. Amy is a koolaide drinker.,0,2024-12-13T20:09:06Z,2024-12-13T20:09:06Z
@mtgomezhorta,Probably the Asad’s have been bad rulers but I have heard this type of testimony before for instants when other “tyrants”!have been turned down ! I remain quite doubtful about this type of testimonies and I am afraid that soon we will read all this a little difference!,1,2024-12-13T12:46:38Z,2024-12-13T12:46:38Z
@michaelmcgoldrick7909,All caused by American greed,0,2024-12-13T12:33:17Z,2024-12-13T12:33:17Z
@user-md1qz7ie2q,Stop inviting Americans speakers - invite Russians to hear the truth,2,2024-12-13T12:26:13Z,2024-12-13T12:26:13Z
@dctuss21,Omar is an idiot,0,2024-12-13T11:21:00Z,2024-12-13T11:21:00Z
@RedfireBlueice,I just hope for the best & that the people of Syria will be successful in moving forward where others have failed. It's the only way to heal for what they all went through after all those years of a tyrannical regime.,0,2024-12-13T09:46:03Z,2024-12-13T09:46:03Z
@leevuong8843,Regime change orchestrated by the US and putting a group of Islamist terrorists in charge. There never was a civil war.,0,2024-12-13T02:06:54Z,2024-12-13T02:06:54Z
@williamryan9195,"Libya style democracy like the kind kicked off after Clinton destroyed the country.Roaming gangs of soldiers of fortune,looters and arms traffickers do the voting.Democracy Now still owned and operated by the shadow government and still not reporting reality or doing honest journalism.",0,2024-12-13T01:57:09Z,2024-12-13T01:57:09Z
@clivewatson8038,Let's see how free they are under HTS now?,1,2024-12-12T23:43:22Z,2024-12-12T23:43:22Z
@JacobRothman,He does not discuss Syria being a route supplying Hezbollah emanating in Iran Bad Idea Remember the IAF is nearby,0,2024-12-12T22:25:46Z,2024-12-12T22:25:46Z
@allyourparties,there was a time when Amy and D now was a source not owned by the pentagon and deep state.,2,2024-12-12T22:18:18Z,2024-12-12T22:18:18Z
@ernststavroblofeld1961,What kind of nonsense is this? Even in Germany we do not have conditions like this.,1,2024-12-12T22:11:19Z,2024-12-12T22:11:19Z
@truthpeddlar9358,"THERE IS MASSACRES happening in syria . NOW. OF CHRISTIANS ANS SHIITES ,ALLOWITES",2,2024-12-12T20:08:08Z,2024-12-12T20:08:08Z
@rcmstereo,"Politics is possible now that the head of a murder Cult is in charge, with the full backing of the Mi6, Mossad, and Uncle Sam.  You should have Arron Mate back on Amy? No?  Weird how you report on BIbi as a monster in one place but evidently, that’s only one compartment. Gonna vote just as all the Assad supporters are dead. ok.  In a socialist country ALL the teachers and health care providers are working for the government.  The garbage collectors, the local police.  How far down the line will the purge go, exactly?",1,2024-12-12T19:15:59Z,2024-12-12T19:18:36Z
@cao-sm3lj,"phosphate fields are owend by the husband of a Trump daughter, he is from beirut.",1,2024-12-12T19:08:54Z,2024-12-12T19:08:54Z
@WildDisaster,DN doesn't miss a minute to put the blinders on and give nonpartisans a platform to speak about something that is lead by ISIS and Al Qaeda terrorists,1,2024-12-12T18:48:35Z,2024-12-12T18:48:35Z
,this woman is a paid mouthpiece. there was no celebration. she even said usa and Türkiye were striking the country then claims rebels took over the nation. the greater fake race project is now in full swing.,1,2024-12-12T18:19:41Z,2024-12-12T18:19:41Z
@pauloseara1638,"Omar Dahi... a liberal dreaming about it for 13 years, and now got Al-Qaeda with ISIS patches and black flags and many other stateless headchoppers worse than Bashar Al-Assad and his party. Democratic anticlimax.",2,2024-12-12T17:34:00Z,2024-12-12T17:34:00Z
@daniel8728,"""Politics""? Head choppers have taken over the country, Christian Churches being ransacked, and there is now  an opportunity for ""Politics""? What a warped perspective!",2,2024-12-12T17:25:44Z,2024-12-12T17:25:44Z
@tonybroadley,What sort of headline is that?,1,2024-12-12T16:47:46Z,2024-12-12T16:47:46Z
@alaxnlax9768,"Sell more CONDOMS is SYRIA     LOTS AND LOTS OF CONDOM   , CONDOM LAND ~!!!!!!   ALL MEN SHOULD WEAR CONDOMS EVERYDAY",0,2024-12-12T16:21:39Z,2024-12-12T16:21:39Z
@gerriperreault6905,Israel has been bombing a lot and claiming land i think.,1,2024-12-12T16:21:29Z,2024-12-12T16:21:29Z
@johnhirtle4300,"Who was liberated? Prisons emptied of mercenary takfiri terrorists by mercenary takfiri terrorists, all of whom are now free to run rampant  over the Syrian countryside torturing, raping and murdering unopposed. Virtually overnight, Syria has been reduced from a beleaguered, isolated, persecuted nation, to a failed state open for looting by the US, Turkey and ""israel"". Assad was never the problem. There was no ""civil war"". There has been a systematic campaign of degradation of Syrian society and culture by the US using one extremist takfiri terrorist organization after another, now culminating in the total collapse of Syrian sovereignty and self governance. This as far from any notion of ""liberation"" as could possibly be. This is the exact same ""liberation"" seen in Iraq and Libya. Anyone taken a good look at how the People of those failed states are doing with their liberation?",2,2024-12-12T16:05:22Z,2024-12-12T16:05:22Z
@letorobull4981,Israel wants it.,0,2024-12-12T16:01:39Z,2024-12-12T16:01:39Z
@jawadad73,"civil war? so how come israel, the us and turkey were bombing the syrian national army? ...",1,2024-12-12T15:39:06Z,2024-12-12T15:39:06Z
@tedx4263,Pro terrorist propaganda.,1,2024-12-12T13:39:26Z,2024-12-12T13:39:26Z
@Shairony,Jews are bombing Syria as well?,1,2024-12-12T13:33:50Z,2024-12-12T13:33:50Z
@rickyooi7755,"Democracy… now… what!
What about establishing  of Syrian sovereignty!!!",1,2024-12-12T13:02:09Z,2024-12-12T13:02:09Z
@traceycroxford8880,Another Lybia 👀,2,2024-12-12T12:48:39Z,2024-12-12T12:48:39Z
@SuperAstimegoesby,well to what are syrian libreated to? is it really a liberation? tell  me which country dont have political prisoners?,1,2024-12-12T09:50:51Z,2024-12-12T09:50:51Z
@henli-rw5dw,"Well, professor, Syria will probably split apart, claimed by various actors.  I am glad you are happy, because it shows that Syria probably should never have existed to begin with as even it's own people cheers it's disintegration and perhaps it's all for the best that various group can claim their region of autonomous rule.  And perhaps Israel  will be satisfied for a while after claiming sufficient amount of land.",0,2024-12-12T09:43:27Z,2024-12-12T09:43:27Z
@therach7841,"If you didn't think Dem Now was a psy op before, ....well... here you go.",4,2024-12-12T08:47:20Z,2024-12-12T08:47:20Z
@Federico-kh4br,start of the total chaos . . .,3,2024-12-12T08:30:44Z,2024-12-12T08:30:44Z
@aliceinwonderland7594,"Syria just like Iraq and Libya  was dealt a US 'regime change'. US is stealing national wealth of these countries, and more.  US people should be ashamed of their nation's thievery and terrorism. Just like the genocide in Gaza US has committed much much more over the years since WW2.",2,2024-12-12T07:30:04Z,2024-12-12T07:30:04Z
@NonchalantWalrusParty,"Why are you parroting Western intelligence?! This was not an up rising, it was a foreign intelligence operation using terrorist head - choppers! Democracy Now you are a disgrace - Syria is unfortunately heading for a Libya like future.",2,2024-12-12T04:56:26Z,2024-12-12T04:56:26Z
@arihalli,Do not understand any optimism from the professor.   A gen****** regime has joined with the USA and Turkey to relentlessly violate the Syrian nation since 2011.    Might very well end up as greater Isr.    Certainly a violation of law by the USA to use this as a proxy to hold on to its hegemonic power.   Its now a caliphate?   Oy,2,2024-12-11T23:32:53Z,2024-12-11T23:32:53Z
@TwinFalls88,"The KURDS should be 100% supported. They're the only sane ones. Whereas, the rise of radical extremist Islamists on the other hand should NOT* be celebrated, at all. They will impose harsh Sharia onto minorities & women. Very Sad!
The Kurds are all that's left to counter* that.",1,2024-12-11T19:00:57Z,2024-12-11T19:00:57Z
@CaoimhinOMaol,We have another Libya in West Asia now.,5,2024-12-11T13:54:07Z,2024-12-11T13:54:07Z
@mohdhaidar3347,US n Isre dont play with Turkey,0,2024-12-11T10:51:38Z,2024-12-11T10:51:38Z
@mohdhaidar3347,Yes zuS must be removed totally,0,2024-12-11T10:40:50Z,2024-12-11T10:40:50Z
