User,Comment,Likes,Published At,Time Ago
@Renn-9903,"You all are mocking this guy about the wetspot, when the dude has a back condition that causes it? You people are evil.",0,2024-12-19T07:38:43Z,2024-12-19T07:38:43Z
@legostarwarsthefullsaga8637,Fox News propaganda. Bootlickers,0,2024-12-18T18:36:25Z,2024-12-18T18:36:25Z
@markkanner2525,"Dont be political lol, more than the majority of Republicans and Democrats that vote as a common person agreed the Healthcare system is mess up and the CEO is responsible for a lot of deaths",0,2024-12-16T22:05:33Z,2024-12-16T22:05:33Z
@WalterNavarro-c3f,"I must say that I am disturbed by RevJames Martin, a jesuit priest, who offers commentaries in the Fox News series-- the Saints and the Crown of Thorns. Today, he commented in the third episode of the crown of thorns series something contradictory to Catholicism, please take a look, especially during this time of advent. I am canceling my Fox Nation subscription today.",0,2024-12-15T23:18:16Z,2024-12-15T23:18:49Z
@javelinzamot9907,"The five idiots of Fox News.trying to convince everybody that they should look and be like them... they should look at themselves in the mirror and realize how ugly they really are. If it wasn't for all that makeup and selling your souls to read and news, no wonder they can't see how ugly they really are.",0,2024-12-15T06:35:00Z,2024-12-15T06:35:00Z
@lindabaek7488,This guy looks nothing like the photo. He had a different color jacket and different color bag pack.,0,2024-12-14T17:12:39Z,2024-12-14T17:12:39Z
@radekmikolasek3696,Americans yapping about how socialised medicine is a bad when they never really go trough it is perfect comedy to me 🤣🤣🤣 enjoy paying big bucks for your insulin,0,2024-12-14T15:59:34Z,2024-12-14T15:59:34Z
@boaz784,Enough on this lunatic . Too much exposure ‼️Bottomline he murdered a guy shot him in back . COWARD..  another CRAZY and possibly on pain killers.   Too many issues in world to focus on him.  😎,0,2024-12-14T15:31:37Z,2024-12-14T15:31:37Z
@Tr1ckypants,Did these news anchors just tell us to eat cake?,0,2024-12-14T03:17:39Z,2024-12-14T03:17:39Z
@georgeleslie7307,"“There’s class warfare all right, but it’s my class, the rich class, that’s making war, and we’re winning.” -Warren Buffett",0,2024-12-14T02:02:27Z,2024-12-14T02:02:27Z
@caligreenclean,2nd degree? How tf?.,0,2024-12-14T01:01:54Z,2024-12-14T01:01:54Z
@mazeyJazz,"Trump never touched ""Obama care"" because it is a market place designed to make you pay.  Yeah , not a sovialist program, it is captialism, at its best.",0,2024-12-13T23:42:41Z,2024-12-13T23:42:41Z
@melodymakr1,"Fox News desperately trying to keep the culture war going, the last thing they want is for America to be united.",0,2024-12-13T22:12:19Z,2024-12-13T22:12:19Z
@sebbosebbo9794,"they dont talk about the died ppl. while the cant afford to pay back the bill or cant go to the hospital.
FOX is the helpcare for such companys..",0,2024-12-13T22:02:57Z,2024-12-13T22:02:57Z
@tomfinan7776,"Dana, when Eric Adam's mixes metaphors which he has little practice with, I forgive him; to hear you quote him sans sic surprised me.",0,2024-12-13T21:42:13Z,2024-12-13T21:42:13Z
@bendukes3302,"Its not really too sick of a view when you consider how many people died at the hands of that CEO and United Health, thats truly sickening, but go ahead and peddle your corporate agenda on us",0,2024-12-13T21:26:45Z,2024-12-13T21:26:45Z
@Trentz2,"0:08 mam, are you out of touch with reality?",0,2024-12-13T20:22:22Z,2024-12-13T20:22:22Z
@user-yr6dy7dy6m,Sorry you guys got this wrong. You are out of touch with the public frustration on this one.,1,2024-12-13T20:11:27Z,2024-12-13T20:11:27Z
@terrydactyl2077,Come to Canada and you will find a specialist for free. Man corporate news tells some whoppers. What a joke.,0,2024-12-13T19:22:16Z,2024-12-13T19:22:16Z
@Mrrbbear,"I'd like to thank the 5 for coming out of their Ivory towers everyday to impart their wisdom to us. But we can't quite hear your muffled rant, you know due to you being cloaked in your Full coverage health care and all .",0,2024-12-13T19:02:15Z,2024-12-13T19:02:15Z
@jimgoodyear6756,The damming question is why no politician (outside of Obama) talks about the broken healthcare system. Why? Follow the money,0,2024-12-13T17:30:13Z,2024-12-13T17:30:13Z
@spencerp6190,"I've never seen a news segment more detached from reality on the firsthand horrific experiences with these insurance companies.

The only people they should accuse of taking hallucinagenics are the people they see in the mirror. If he thinks his back pain almost destroyed his life, I bet he'd crumple under the weight of being poor and having the same medical help he was able to get denied 

What a rich entitled clown show, more worried about their corporate sponsors than the truth.

Congratulations that none of you have any idea what it's like to deal with having a legitimate claim denied, and the subsequent fallout.

Sincerely,
America",0,2024-12-13T16:38:23Z,2024-12-13T16:38:23Z
@Tulipfarmer,The richest country in the world has the shorter lifespan than all the other “socialist”  healthcare systems. Why is that?,0,2024-12-13T16:05:03Z,2024-12-13T16:05:03Z
@Inlander502,"US as a country: our healthcare system is trash.

Fox host: there is a story I heard where Canada doesn’t have a good health care system. So go there if your not happy! 

😂

😂",0,2024-12-13T16:02:47Z,2024-12-13T16:02:47Z
@Tulipfarmer,"LIES & tone deaf comments - these freaks  are paid  millions by corporate America.  AND “socialist” healthcare provides specialists. Lived in Europe 3 years ,healthcare is  fantastic.",1,2024-12-13T15:55:21Z,2024-12-13T16:01:39Z
