User,Comment,Likes,Published At,Time Ago
@jaysenyork3934,Minority Report,0,2024-12-12T00:01:08Z,2024-12-12T00:01:08Z
@avel1491,I think it's disingenuous to say AANES/SDF are fighting with anyone. They're being attacked. It's not bidirectional.,0,2024-12-11T18:08:27Z,2024-12-11T18:08:27Z
@Zoeybunbun,The fucking threat is ISRAEL AND HE UNITED STATES!,1,2024-12-11T17:12:26Z,2024-12-11T17:12:26Z
@jonrwert,The crux of the problem is that we're the richest country in the history of the world that treats it's people like it's a hundred years ago and we're poor and desperate and scarcity is a real thing and human rights don't exist.,4,2024-12-11T06:16:42Z,2024-12-11T06:16:42Z
@janechambers9980,"""Murder is not justifiable?""  WHAT YOU MEANT TO SAY IS ""SOCIETY DECIDES WHEN MURDER IS JUSTIFIABLE.""",2,2024-12-11T06:15:01Z,2024-12-11T06:15:01Z
@nickbeach7340,"just pushing war propaganda, huh?",0,2024-12-11T05:48:54Z,2024-12-11T05:48:54Z
@chrisp7044,My guess is that conservatives will find a reason to not like the ceo. Like he set up a dei program at uhc or something.,1,2024-12-11T01:02:02Z,2024-12-11T01:02:02Z
@massabmiharbi7931,Breaking News: The zionists are poisoning Palestinians hostages that have imprisoned without trials from the West Bank,1,2024-12-11T00:48:01Z,2024-12-11T00:48:01Z
@AdmaTurtle,"I have a friend in healthcare, actually an anesthesiologist, who argued against universal health care because he was worried he'd be paid less. In that sense, I feel like making college free is also important because you would get more doctors in the profession to help people, rather than just for the money.",11,2024-12-11T00:39:10Z,2024-12-11T00:39:10Z
@MilanAlexich-v4y,Rent inflation is leading to lesbianism😊,0,2024-12-11T00:26:58Z,2024-12-11T00:26:58Z
@MilanAlexich-v4y,Soprano politics😊,0,2024-12-11T00:23:47Z,2024-12-11T00:23:47Z
@MilanAlexich-v4y,No loud music 🎶😊,0,2024-12-11T00:17:10Z,2024-12-11T00:17:10Z
@MilanAlexich-v4y,World war 4 5 and 6,0,2024-12-10T23:59:18Z,2024-12-10T23:59:18Z
@MilanAlexich-v4y,We need a Neo isolated policy 😢,0,2024-12-10T23:53:43Z,2024-12-10T23:53:43Z
@MilanAlexich-v4y,People got fed up.,3,2024-12-10T23:39:44Z,2024-12-10T23:39:44Z
@bulkierwriter2772,Should we be unnaturally woke to trigger the right?,1,2024-12-10T22:59:04Z,2024-12-10T22:59:04Z
@lenoraboothe5646,Rittenhouse was LITERALLY celebrated by the right. It is a bit rich for Laura Ingraham to point fingers after propping Rittenhouse up as a hero!,15,2024-12-10T22:32:24Z,2024-12-10T22:32:24Z
@littlewingmyoho,Perfect way to start the show,0,2024-12-10T22:20:52Z,2024-12-10T22:20:52Z
@daraorourke5798,"Amazing how swiftly the head choppers have been rebranded as heroic freedom fighters.  Same as in Libya. No where is safe for Christians in the M East now, maybe Egypt ?",1,2024-12-10T21:59:36Z,2024-12-10T21:59:36Z
@rudy6884,DJT said he could shoot someone on 5th ave and still be elected. Am I white?,0,2024-12-10T21:18:25Z,2024-12-10T21:18:25Z
@eliusbuklee6030,Folks we ❤ the show!,0,2024-12-10T21:15:54Z,2024-12-10T21:15:54Z
@coloradocrone,🖖✌☮🕊,0,2024-12-10T21:10:14Z,2024-12-10T21:10:14Z
@johnastaunda3012,"I’ve been a fan of the Majority Report as well as TYT of which I’m also a member and I’m very surprised that you both can so easily fall into the elitist’s trap of in fighting when you both can be so intelligent, open and willing to debate.  Let’s have you both have an open discussion, a meeting of minds.  This message is going out to both parties!",1,2024-12-10T21:06:06Z,2024-12-10T21:06:06Z
@patrickhughes1790,"🏴🚩🇺🇸👁️🌈The people spoke, our voice was Luigi Mangione! Luigi spoke for those who've died, and suffered under the oligarchy. The people are armed, and fighting back! Meanwhile Trump is posting how he will sell out the EPA for money. The elite are focused on their greed, they don't see REVOLUTION coming.",1,2024-12-10T21:02:44Z,2024-12-10T21:02:44Z
@alin81-82,Rightwing propaganda media needs to be done away with.,1,2024-12-10T20:55:17Z,2024-12-10T20:55:17Z
@nahumhabte6210,Fox News are crazy. They should Ask their elderly viewers if they feel sad for the healthcare CEO,0,2024-12-10T20:39:22Z,2024-12-10T20:39:22Z
@bonezytv5889,1:06:42 😂😂😂😂😂,0,2024-12-10T20:33:55Z,2024-12-10T20:33:55Z
