User,Comment,Likes,Published At,Time Ago
@psychicbyinternet,"Bill Burr is way more based now and it's great that he left behind his more edgy stuff but his earlier stuff is very misogynistic.  Like he had a bit where he disagreed with the expression ""there's no reason to hit a woman,"" and he's never walked any of that back, just switched to less reactionary material which is still good but some of his early bits were so vile.  So he leaves a bad taste in my mouth even though I used to be a huge fan (back when I was an anti feminist and I loved Jordan Peterson lmao).",0,2024-12-20T04:47:47Z,2024-12-20T04:50:48Z
@BrendaBoykin-qz5dj,🌟💐🌹💐🌟,0,2024-12-18T19:50:50Z,2024-12-18T19:50:50Z
@LuisValentino-zt6lg,It's called a scam.,0,2024-12-18T15:42:09Z,2024-12-18T15:42:09Z
@LuisValentino-zt6lg,They won't let me click on to your website,1,2024-12-18T15:33:52Z,2024-12-18T15:33:52Z
@51585Pmcc,Shareholders should get it too.,0,2024-12-18T13:59:22Z,2024-12-18T13:59:22Z
@petertraveller6421,"People can switch to other insurance company, united needs Bud light treatment.",0,2024-12-18T09:44:40Z,2024-12-18T09:44:40Z
@petertraveller6421,"More heartless ?
Kamala",0,2024-12-18T09:35:03Z,2024-12-18T09:35:20Z
@jimdobby6957,"Uniouns. Thats why we don't have pensions. Right wing hero Ronald Reagan and his administration broke the unions by voting out legislation that protected american workers . They are also responsible for opening the borders to bring in people to that would gladly work for less $$$$ and no benefits , like pensions , medical and dental benefits and a decent wage.",0,2024-12-18T05:20:51Z,2024-12-18T05:20:51Z
@BohemianLifer,"What are you talking about..., you should have tried to be real on Joe's podcast.",0,2024-12-18T03:46:35Z,2024-12-18T03:46:35Z
@gregdemeterband,"The Politicians enacted the CERTIFICATES OF MERIT Requirement..... costing 10 to 15 Thousand dollars just to get another physicians' determination of the offending Physician's standard of care!  to protect the corrupt CEO's who have to pay for their Physicians' negligence....Do you have that kind of money to sue, even BEFORE you can serve the Lawsuit?    GET RID OF THAT, if they want the relieve some of the Oppression....  It is denying the poor access to courts....Esp. in Pa.; the most corrupt State in our Nation!",0,2024-12-18T02:56:41Z,2024-12-18T02:56:41Z
@sxxx73,Awesome ....,0,2024-12-18T02:28:26Z,2024-12-18T02:28:26Z
@josebro352,Anyone else sick of hearing about this? Enough already.,0,2024-12-18T00:48:40Z,2024-12-18T00:48:40Z
@TerryLoveman,"""And so we've put so much of our capitalist society into a glorified casino and we need to be taking these essentials piece by piece out of that system."" LOVE this statement made by Emma, so on point",0,2024-12-18T00:35:43Z,2024-12-18T00:35:43Z
@tedmusson5179,Joe Rogan is a mediocrity circle jerk.,0,2024-12-18T00:05:36Z,2024-12-18T00:05:36Z
@danielalveorodriguez7177,That bit about shareholders is 1000% truth. Fuck shareholders!,0,2024-12-17T19:25:48Z,2024-12-17T19:25:48Z
@suetrublu,"I have always loved Michael Moore!  And as a person living with disabling chronic pain I can completely understand why Luigi could have been driven insane with anger and despair.  

These CEOs should be very afraid, because they have caused millions of people, including me, to live in unspeakable torment.  They have destroyed so many families!",0,2024-12-17T11:35:37Z,2024-12-17T11:35:37Z
@gerrit-johngerischer3378,"Lobbying should be illegal, to make the government work for the people.",0,2024-12-17T09:41:05Z,2024-12-17T09:41:05Z
@smollgar,Rome is burning. I dont know what to believe in anymore. Every breath is a sigh :(,1,2024-12-17T08:19:17Z,2024-12-17T08:19:17Z
