User,Comment,Likes,Published At,Time Ago
@Cin2023,What?? You mean I missed your coverage of this trial? 😮 Bummer!☹️,0,2022-06-13T06:03:05Z,2022-06-13T06:03:05Z
@SkepticalHeretic,Sir: excellent coverage of the Pakman hair do!,0,2022-06-04T00:08:22Z,2022-06-04T00:08:22Z
@cynthiam3943,"Johnny is over here in the UK David performing his music, he has presented his case and he is done!👏👏👏",0,2022-06-03T17:41:25Z,2022-06-03T17:41:25Z
@jrblackstar8767,Screw johnny depp. Publicizing their dispute and then moving to an out of state court that was to his favor.,0,2022-06-03T12:31:38Z,2022-06-03T12:31:38Z
@jadedspades,These specific statements were not defamatory.  They were non specific phrases taken out of context.  I don't particularly care or like either of these people but I do think as a matter of law they should have both lost their claims.  This is a dangerous precedent no matter who you are rooting for.,0,2022-06-03T12:10:44Z,2022-06-03T12:10:44Z
@patrickgleason2066,"It was such an open and well-managed trial, that it makes the U.K. judgment look a bit curious.",3,2022-06-03T09:05:12Z,2022-06-03T09:05:12Z
@Ckawauchi35,"What the heck happened to your hair, David?! lol",0,2022-06-03T07:04:45Z,2022-06-03T07:04:45Z
@charlesclark9627,Feeling sad for both! Glad for Depp relief! Amber needs therapy!,0,2022-06-02T18:54:54Z,2022-06-02T18:54:54Z
@_Its.Just.Felix_,The fact the she immediately puts out a defamatory statement after the trial shows she didn't learn her lesson at all,16,2022-06-02T16:21:23Z,2022-06-02T16:21:23Z
@seanspreckelsen3496,"I'm pretty shocked that the pakman audience didn't see through the pr going on in this case. The trial never should have been publicly viewable while it was happening, especially in a case involving abuse. By all accounts, if you listened to all the witnesses, experts, and timelines, you would come to the conclusion that they were both abusive to each other, yet you have a ton of people villifying heard and bending over for depp. Several law experts have already written articles talking about this being the biggest pr comeback in American history. That is all this was. It was depp being loved for his movie persona/charisma in court and people not being able to see through that. I'm guessing most of the comments are trolls, but who knows. This trial was good for no one and most likely set back women speaking against their abusers by decades. This was a lose lose situation and people are cheering

And again, as I said earlier, regardless of how you believe the trial should have gone, this was a dream for the populist right. Huge victory for them. And no, I'm not just talking specifically about the verdict. I'm talking about the endless attacks against heard, the way the trial was served to the public, etc. Women who have come forward about abuse have always been vilified throughout history, but this will cement that. The tiktok assault of clips was on another level.",0,2022-06-02T12:16:31Z,2022-06-02T12:31:27Z
@AussieGirl235,Amber is using insurance to cover her legal costs,0,2022-06-02T11:53:24Z,2022-06-02T11:53:24Z
@louiseevajordan3646,"Johnny in LondBE
on...doing concert with Jeff Beck",0,2022-06-02T11:08:31Z,2022-06-02T11:08:31Z
@AzimuthTao,"I'm a little surprised to see that many in Dave's audience are just as clueless as the fanatical Depp fanboys.
It kind of reminds me of the MAGA cult.
Amber Heard was obviously no angel but the more I watched this trial the more I saw what a horrific ego-maniac Depp is.
Add alcohol & drugs to the mix and you have a true monster.
Amber's biggest  mistake was fighting back.",0,2022-06-02T10:30:30Z,2022-06-02T10:30:30Z
@misterderp4566,"Unless I'm mistaken, you have it backwards, David.  I was kinda tuned out but from what I understand, the judge RAISED the punitive damages paid to Amber Heard from $0 to a minimum of $350K.  I'm not familiar enough with the jurisdiction in which this was decided to say for sure, but it would be fairly unusual, in my experience, to cap punitive damages.

EDIT: Yes, I was mistaken, just heard it wrong while paying half-attention.  Apologies.  I still think it's weird that Georgia would have such a small cap on punitive damages...this is going to require more research!  

PS - LOVE the new (?) thumbnail that comes up when I search for you on YouTube (I don't usually search on account of being a subscriber, just wanted to come back and correct myself)",0,2022-06-02T09:06:50Z,2022-06-02T11:04:21Z
@Dragonslairminis,Twitter has blown up how this is a terrible day for women and the me too movement and how terrible it was that another powerful man got away with abusing a woman.,0,2022-06-02T08:19:44Z,2022-06-02T08:19:44Z
@trinityplayer12,"I love David Parkman. That said, why would anyone waste time on the oh so trivial lives of celebrities like these. They get paid to do what they do. It is a media circus for no reason. Normal people in similar situations don’t even get a line in the local newspaper. Why do we allow celebrities to even enter our news cycles with this mess?",0,2022-06-02T05:58:41Z,2022-06-02T05:58:41Z
@Actheman1978,Believe women!,0,2022-06-02T03:32:55Z,2022-06-02T03:32:55Z
@RebirthFlame,"David, Sir your hair is unhinged.",1,2022-06-02T02:54:46Z,2022-06-02T02:54:46Z
@cmaylene1296,You could tell David didn't follow the trial. I'm so happy for Johnny! #Justice4Johnny. Finally!,4,2022-06-02T02:44:28Z,2022-06-02T02:44:28Z
@Lizard1582,sleeping face,0,2022-06-02T01:58:57Z,2022-06-02T01:58:57Z
@BenVanAmburg,"And that's why they call him ""Captain.""",1,2022-06-02T01:56:09Z,2022-06-02T01:56:09Z
@CR-hq1uz,"It's time for LYING privileged white females to be held accountable for their toxic behavior. White female privilege is a disease, and it continues to be fostered by the media & social media who place white women on a pedestal. The people most likely to be victimized by their lies & a society so eager to believe their lies is people of color.",0,2022-06-02T01:14:44Z,2022-06-02T01:14:44Z
@ptroughneck77,I've been following the whole trial over at that Umbrella Guys page. its good when a liar gets exposed,1,2022-06-02T00:50:22Z,2022-06-02T00:50:22Z
@jennykiss2235,"How depressing and ironic, reading her verdict while quoting the article that details her abuse from the public.",1,2022-06-02T00:50:05Z,2022-06-02T00:50:05Z
@Grammy52,I missed the part where Heard’s team proved Depp was responsible for his attorney’s comments.,6,2022-06-02T00:45:38Z,2022-06-02T00:45:38Z
@boki424,"I laugh at these white knight protectors of women, who don't look through the evidence, before forming their strong opinions. You, or someone you care about, can also be the victim of a bold faced lie.",0,2022-06-02T00:42:37Z,2022-06-02T00:42:37Z
