User,Comment,Likes,Published At,Time Ago
@RubinReport,"Check out Tulsi Gabbard's response to the storming of the capitol here: https://www.youtube.com/watch?v=Z8mb66RssxA&list=PLEbhOtC9klbCr0iN2ANJbaV477B0eSpc6&index=1
Reminder: Full episodes drop on YouTube on Sundays, but days earlier on rubinreport.com, totally ad free. Direct Messages Tuesday, Wednesday and Thursday.",76,2021-01-07T18:46:55Z,2021-01-07T18:46:55Z
@BN-xq7lm,"Dave seriously, just shut the hell up. Grifter to the heart.",1,2021-08-02T17:36:00Z,2021-08-02T17:36:00Z
@Ristofec,I’ve never seen one person know so little about politics yet have millions of dollars behind them (koch),1,2021-07-07T23:57:36Z,2021-07-07T23:57:36Z
@ConsciousExpression,"Dave maybe the reason the only thing people want to talk with you about IRL and online is politics because you've waded deep into the loony bin and greeted all the George Washingtons in the asylum as Mr. President. And online you tend to see the crap you click on the most. You've also become the iconic poster boy example of a left wing grifter. People like me tried to warn everyone, including you, that Trump would never accept the results of the election and that he would do anything to stay in power. You called us deranged. Now that our predictions have come true, we're told we're deranged for NOTICING they came true.

Even now Trump is claiming he'll be reinstated in August. And the only way that could happen is a military coup. There's literally no constitutional remedy once a president is sworn in, other than impeachment, in which case Kamala Harris would become president, not Trump. So Trump is literally toying with the idea of a military overthrow of our government. And he was enabled in large part by you and other people like you.

I used to like you and thought that you were a man of integrity, because you noticed the same problems on the left that I noticed, and you stood up to the moronic bullies like Cenk Uygur. Good lord how wrong I was. I want to thank you for teaching me a valuable lesson. I'll never trust a media personality again.",0,2021-06-17T19:22:54Z,2021-06-17T19:22:54Z
@bobbon6987,"Call those clowns were they are ""Domestic Terrorists"". It is apprehensible that you support these terrorists and try and blame a make believe enemy. These are MAGA Terrorists that attack the United States and failed. You are so far up Trump's rear end that you can't have a single thought of your own.",1,2021-04-18T21:10:16Z,2021-04-18T21:10:16Z
@Dsky40,"The integrity of this show has seriously tanked. Perhaps society would be better if we all stopped listening to shows like this, and from either side.",2,2021-03-23T02:45:50Z,2021-03-23T02:45:50Z
@kyletitterton,'Includes paid promotion' is what you should call this show now. Hadn't watched you for a while Dave - this content is DREADFUL. What the hell happened to you man?,0,2021-03-18T13:30:51Z,2021-03-18T13:30:51Z
@hamzamahmood9565,Is your brain still in recovery mode?,5,2021-03-15T05:19:18Z,2021-03-15T05:19:18Z
@saritachander7181,This was an attack on American democracy. They tried to stop the duly elected president being confirmed. Your channel sir is rubbish.,0,2021-03-03T08:26:10Z,2023-06-24T14:00:35Z
@InteractiveIdea,Was he antifa tho? Did he identify as one or you just all assumed he was just because some of them were yelling it? They didn't know either. Just threw another trumper under the bus like you all do anyway.,0,2021-02-26T20:02:46Z,2021-02-26T20:02:46Z
@glossypots,"The Republicans there were not poor hillbillies as your prejudice implies.  Your the elitist and it also is an example of education cannot always make you smart, I think you prove that.",1,2021-02-17T17:26:38Z,2021-02-17T17:26:38Z
@glossypots,"Or maybe we should swim I’m our pools paid for by our right wing backers, that’s a good way to get away from it all isn’t it? What are you going to do when the Supreme Court says your marriage is illegal.",0,2021-02-17T17:24:29Z,2021-02-17T17:24:29Z
@glossypots,"Who do you think spent more advertising on face book Dave? Was it the Republicans, just check that out with your unbiased research😂",0,2021-02-17T17:21:34Z,2021-02-17T17:21:34Z
@glossypots,Self deception is a powerful defence isn’t it?,0,2021-02-17T17:18:44Z,2021-02-17T17:18:44Z
@glossypots,Do you think you have any responsibility for this attack on American Democracy. How much did you sell your soul for and was it worth it?,0,2021-02-17T17:17:41Z,2021-02-17T17:17:41Z
@glossypots,So you don’t think they want to do that to blame antifa Dave?,0,2021-02-17T17:16:02Z,2021-02-17T17:16:02Z
@gerrybrennan5715,Dave just keeps on lyin'-Democrats usually get more votes-Dave knows this.Trumps approval rating never went near 50%-a raging pandemic-massive unemployment-what's the MYSTERY  as to 'how could he possibly lose' ?,0,2021-02-11T01:29:44Z,2021-02-11T01:29:44Z
@gerrybrennan5715,Dave becomes a bigger liar with each passing day-peaceful protest ? What were they protesting about? Trump produced zero evidence of voter fraud and worse still he claimed months in advance that the only way he could lose was by a rigged election-this comment alone is by definition a total lie-Dave and the mob are on the wrong side of history-Trump's 'legacy' will  be far darker than Nixon's or Joe mc Carthy's.,0,2021-02-11T01:18:47Z,2021-02-11T01:18:47Z
@lorenamiranda1135,You know we have ears and eyes right? 😒,0,2021-02-10T14:36:48Z,2021-02-10T14:36:48Z
