User,Comment,Likes,Published At,Time Ago
@madcausesadandbad,"Luigi did the most American possible thing. Trying to demonize him in favor of Daniel Penny, who also did the most American possible thing, is a total non starter.",0,2024-12-20T04:45:05Z,2024-12-20T04:45:05Z
@TheInsomniaddict,"Dave, I'm shocked you didn't mention Canadian Bacon, a literal documentary on how Canada can be weaponized against the United States!",0,2024-12-17T23:56:29Z,2024-12-17T23:56:29Z
@Tikvah99,"@DAVERUBIN - Can I make a request that when you're showing external clips, you drop the volume down a shade - I listen via earbuds & sometimes have almost had my ears blown from the higher volume - esp with people shouting or rioting etc.  Thanks!",0,2024-12-16T22:38:23Z,2024-12-16T22:38:23Z
@jeremyfields1704,Rubin shit bro.. please please change that into song bro. That is the worst intro of all time.,0,2024-12-15T14:22:42Z,2024-12-15T14:22:42Z
@tjsho417,Said CEO isn’t an “innocent man” you bootlicker.,0,2024-12-15T13:11:25Z,2024-12-15T13:11:25Z
@AmydeWolf,"My stance on Syria.

Agree the US shouldn't play a role in deciding who leads, BUT the US does need to cautiously talk with them to ensure US interests in the region are protected.

We need to leave the troops where they are as we don't want to give up our world positions. China can easily come in and hold that position instead, which weakens our stance against that region even further.",0,2024-12-14T07:53:13Z,2024-12-14T07:53:13Z
@phubble1877,"Suspected/alledged killer, innocent until proven guilty.",0,2024-12-14T04:34:03Z,2024-12-14T04:34:03Z
@olligesd9343,"@ 19:20, His father and that other rabble rouser BOTH said ""lets do something about this"". AFTER the court case has been completed. What are you going to do ""about it"" when this case has been through BOTH law enforcement and judicial processes? get violent?",0,2024-12-13T15:38:49Z,2024-12-13T15:38:49Z
@anthonybeasley7076,"""Likely"" to be watching you on a computer or a phone? Wouldn't that pretty much be CERTAINLY??",0,2024-12-13T10:42:47Z,2024-12-13T10:42:47Z
@mandalorianactual1215,"You really will not convince the majority of people that this CEO is innocent. When you make money profiting off of the suffering of millions of people and cause the deaths and bankruptcy of thousands, you are not a good person. And when you run a cartel, expect cartel things to be done to you. I have 0 sympathy.",1,2024-12-13T02:11:15Z,2024-12-13T02:11:15Z
@scottstewart8737,"So the guy can work out and get jacked, but he can’t have intimate relationships? What?",0,2024-12-12T22:53:10Z,2024-12-12T22:53:10Z
@ianrock4402,"""we have a legal system for this very reason"", we have the second amendment for this very reason bud. How are individuals supposed to litigate against the largest companies in the world? You're out of touch",1,2024-12-12T22:34:48Z,2024-12-12T22:34:48Z
@nancyg.8616,"Favorite John Candy movie: Planes, Trains and Automobiles",0,2024-12-12T20:09:35Z,2024-12-12T20:09:35Z
@DavidWilliams-cm4ow,Maybe Luigi is an FBI asset.,0,2024-12-12T18:36:05Z,2024-12-12T18:36:05Z
@annebaugh2835,"The left cheers an assassin who takes out an insurance CEO, and demonizes RFKJr who wants to revamp our healthcare systems legally,  make it make sense!",1,2024-12-12T17:27:47Z,2024-12-12T17:27:47Z
@annemcguire5995,Hysterical intro,0,2024-12-12T16:38:15Z,2024-12-12T16:38:15Z
@karenbraughton3179,The father should be calling for doing something about mental health,0,2024-12-12T16:30:45Z,2024-12-12T16:30:45Z
@karenbraughton3179,Pelosi’s in on this . Check out her smear tactic speech,0,2024-12-12T16:07:56Z,2024-12-12T16:07:56Z
@soonerjane8966,if Whoopi's viewpoint is correct - then mentally ill people should wear a sign that says so.  How did Daniel Penny or any of the other men that held him down as he screamed violence & threatened EVERYONE in the subway car know that he was mentally ill?,1,2024-12-12T15:59:52Z,2024-12-12T15:59:52Z
@TheGreatSatan_,"That father acting like he's affected, lol. He put him through the foster system because he's another absent father",0,2024-12-12T15:38:00Z,2024-12-12T15:38:00Z
@aleece4,"It seems like everyone is ignoring the fact the Daniel Penny didn’t kill that man! The coroner said he died from other causes (drugs, I think) and NOT Daniel’s actions.",0,2024-12-12T14:07:00Z,2024-12-12T14:07:00Z
@JAMAICADOCK,"These lame strawmen arguments are not going to work for much longer, Trump supporters are laughing along with Stewart too. 

The age of culture war tit-for-tats is gonna give way to serious issues that affect millions upon millions of people and not just a bunch of passengers on a subway",0,2024-12-12T13:35:44Z,2024-12-12T13:37:22Z
@erinbsullivan444,"I think they’re both heroes! Seriously though, how did Luigi grow a unibrow in a few days?!?🤨",0,2024-12-12T12:25:18Z,2024-12-12T12:25:18Z
@jeanieshafer9714,These Dems love to racialize everything & twist the truth to fit THEIR narrative  agenda.  It's just sick...an illness. Satan loves it.,0,2024-12-12T12:14:07Z,2024-12-12T12:14:07Z
@mikeydoodle143,Omg BLM wants another looting to get free stuff again 😢😢,0,2024-12-12T10:58:23Z,2024-12-12T10:58:23Z
@deeannakim9306,"You can’t change the corrupt system that sets and  controls the rules, laws, and regulations. The corrupt system can’t be changed by corrupt system. The lobbyist aka legal bribers have total control over politicians. Citizens absolutely have no say, no control, or ability to change this corrupt set up.",0,2024-12-12T03:31:42Z,2024-12-12T03:33:50Z
@deeannakim9306,"I had never seen the country so united over rotten and corrupt health insurances. 🥹❤️ good luck finding the jury of 12 who will convict. They would have to have rich, disconnected, and entitled to get the conviction.",0,2024-12-12T03:29:49Z,2024-12-12T03:29:49Z
@ericholmes4152,"Where were Neely’s backers before - he was homeless, on drugs and attacking people on a subway.  They should have to pay Pennys legal fees!!!",0,2024-12-12T02:36:28Z,2024-12-12T02:36:28Z
@ericholmes4152,What makes these so-called journalists think they might not be the next one on his list????,0,2024-12-12T02:30:40Z,2024-12-12T02:30:40Z
@jenniferlamia3001,"My lort, man.  Drink some water!  Lol😅",0,2024-12-12T02:26:20Z,2024-12-12T02:26:20Z
@dansbike1,That was a funny joke...,0,2024-12-11T22:22:38Z,2024-12-11T22:22:38Z
@CampsitePyro,"21:02 also, how about be quiet? because when you are loud, it is really annoying to people of all races. All eardrums matter.",0,2024-12-11T22:02:02Z,2024-12-11T22:02:02Z
@jonslagill8864,Why do people have to interrupt when they are giving an answer on CNN.,0,2024-12-11T21:59:28Z,2024-12-11T21:59:28Z
@Itsjustme115,The left are terrorists when they are armed!,0,2024-12-11T21:43:24Z,2024-12-11T21:43:24Z
@michaela.6698,CNN is an embarrassment and an unwatchable propaganda outlet for the insane left.,0,2024-12-11T20:58:16Z,2024-12-11T20:58:16Z
@ladyjade6446,Canada is run by cartels. Dairy. Wheat. Drugs now.,0,2024-12-11T19:23:39Z,2024-12-11T19:23:39Z
@lainedelfelder4283,🤚🏼🤚🏼🤚🏼. I know what they can do!  Fathers can quit abandoning their children!,0,2024-12-11T19:12:53Z,2024-12-11T19:12:53Z
@chrisijams6153,"Isn’t the assassin’s college U Pen, the same institution that the Biden Center is affiliated with? The location for massive Chinese money laundering? Wouldn’t it also make sense, that possibly other manipulations took place at U Pen where stand out students might find themselves unwittingly involved with or by nefarious actors through indoctrination? It just seems that many other paths of fighting the system, would be apparent to a well educated, outgoing student, over brutally assassinating one man, and throwing the brilliant start, in light of some challenges, of your life away. What kinds of scholarships did Luigi receive along the way? While most are generous philanthropic donations, some come with conditions, or unique focus requirements to fulfill, that could alter an individual’s path. Obviously much more to learn here on both sides of the tragedy.",0,2024-12-11T18:37:11Z,2024-12-11T18:37:11Z
@melissag.664,"It was 200+ words, NOT pages. If you read the manifesto, you'll know he didn't write it. He starts off thanking the feds for the great work they do in this country?! Yeah, sounds legit.",0,2024-12-11T18:35:10Z,2024-12-11T18:35:10Z
@melissag.664,"Read the ""manifesto."" It's clear he did NOT write that.",0,2024-12-11T18:24:48Z,2024-12-11T18:24:48Z
@YourXLNerd,"lol, this intro music is something else.",0,2024-12-11T18:12:42Z,2024-12-11T18:12:42Z
@BellaMarsilioRN,"PALLETS OF CA$H SHOW UP IN GOVERNMENT BUILDINGS IN DAMASCUS SYRIA

The pallets were marked with a QR code. And that QR code led to none other than the federal reserve bank of New York.  Crazy!",0,2024-12-11T18:06:40Z,2024-12-11T18:06:40Z
@melissag.664,Where was Jordan Neely's father when he was arrested 42 times before..?,0,2024-12-11T17:49:55Z,2024-12-11T17:49:55Z
@peterquinlan4095,"blacks are a protected class. unaccountable for any and all actions 'cause they're black.nobody, including hiis family gave two figs for jordan neely-until they could monetize his death.",0,2024-12-11T17:28:57Z,2024-12-11T17:28:57Z
@LizzyM2024,"Why don't they help someone like the man that died ""threatening other people""?  instead they will threaten other people , do something GOOD FOR ONCE!!!!!   Trouble makers !!!!!!!  What did they do to help Jordan Neely while he lived ?  NOTHING!!!!!",0,2024-12-11T17:21:09Z,2024-12-11T17:21:09Z
@LizzyM2024,I think these people should of cared about this man before he died and HELPED him then !!!!!!  Why didn't they do something then ????,0,2024-12-11T17:17:08Z,2024-12-11T17:17:08Z
@BPEntertainment1,I have a chronic back condition. My doctor won't do anything for me so I just quite going. I would never end her life over it,0,2024-12-11T17:16:15Z,2024-12-11T17:16:15Z
@LizzyM2024,"That's why I don't watch regular media anymore , liars , bias etc.",0,2024-12-11T17:02:24Z,2024-12-11T17:02:24Z
@LizzyM2024,Love your reporting Dave Rubin !,0,2024-12-11T16:56:09Z,2024-12-11T16:56:09Z
@nataliameimarismd3292,Benny Johnson did much better job on the subject,0,2024-12-11T16:46:12Z,2024-12-11T16:46:12Z
@nataliameimarismd3292,Dave this is the first time I’m listening to your report and it sounds like mainstream media. You’re manipulating facts and taking soundbites. I hope it’s just the lack of research.,0,2024-12-11T16:45:52Z,2024-12-11T16:45:52Z
@nataliameimarismd3292,Dave this is the first time I’m listening to your report and it sounds like mainstream media. You’re manipulating facts and taking soundbites. I hope it’s just the lack of research.,0,2024-12-11T16:45:22Z,2024-12-11T16:45:22Z
@LeanneAnderson-eo4ck,Good thing they found him. It sounds like that C.E.O. was the first of others……if he had a manifest listing others….,0,2024-12-11T16:44:07Z,2024-12-11T16:44:07Z
@nataliameimarismd3292,"Don’t call Mangione bad till we know the truth, this case is very strange",0,2024-12-11T16:39:22Z,2024-12-11T16:39:22Z
