User,Comment,Likes,Published At,Time Ago
@fallnstaarz,"Extremely biased video and looks like every other left leaning ""media."" Just fueling the fire. Get a real job because your content is terrible.",0,2024-12-14T00:18:02Z,2024-12-14T00:18:02Z
@Alexsuperslug1,The amount of lies said in this video is fascinating.,0,2024-12-12T20:19:53Z,2024-12-12T20:19:53Z
@EaZiE01,"Hallelujah! I never knew what happened as I don't watch politics because I already knew they were corrupt. If only we could have overthrew our piece of shit government forever but I know that'll never happen because they have all this money and they'll just punish ALL the American people. Also, I don't agree with white supremacy but when you look at the democratic party its almost an appropriate response the way they tease the whites by pampering to other races. All that immigration isn't because the dems love all people. I have to spell it out for them - its to get their numbers up. And Jesus Christ would it be so shocking if the gov stole the election? Is slavery and native plundering not shocking? Conclusion: is a government that you can't overthrow worth having? No, but the riot is a representation of how people feel about it It - the entire 2 party lie.. Money has priority over people in capitalist government. Military is for rich, laws are rewards for capital. Your job is so you can get by maybe",0,2024-11-27T12:50:01Z,2024-11-27T13:35:51Z
@itsjustmet1743,"And during the time of the insurrection, Trump had been the president for the last 4 yrs, so their dissatisfaction with their lives was whose fault?",0,2024-11-19T09:14:59Z,2024-11-19T09:14:59Z
@brandonhansford608,Trump is loser president???? He has the greatest come back in American history but ok,1,2024-11-12T12:02:56Z,2024-11-12T12:02:56Z
@sthor1000,"Watching this video after the 2024 Presidential Election...

I guess a majority of the US voters didn't give AF what you thought... LMFAO

He IS my president....!!!!",0,2024-11-11T14:15:08Z,2024-11-11T14:15:08Z
@danielzavala4528,Not really the dumbest day looking at it now. Biden had 20 million fake votes.,1,2024-11-09T16:49:58Z,2024-11-09T16:49:58Z
@Animusical216,"Why does everyone always cut out the part where he says: Peacefully and patriotically. Not to justify any of this, but it's highly biased.",1,2024-11-09T14:21:31Z,2024-11-09T14:21:31Z
@FLASH-MATT,"I was looking at this assault on the Capitol live on TV, and the same thing came to my mind. Who are the dumb and crazy people behind all of this. Now we all know.

Your evaluation, analysis, is interesting, even after 3 years has passed. Now, with a second Trump presidency, America will continue to plunge into the darkness for the next 4 years, polluted by conservative ideology, white nationalists,  evangelists (even tele-evangelists), and far-right politicians.

What's next?
Will Trump pardon these criminals?",0,2024-11-07T22:22:44Z,2024-11-07T22:23:15Z
@nebuchadnezzar47,"""Far more peaceful than the capitol rioter goons"" ... sure buddy... tell that kyle rittenhouse",0,2024-11-07T13:32:09Z,2024-11-07T13:32:09Z
