User,Comment,Likes,Published At,Time Ago
@TheShocker650,You are the definition of a clown.,0,2024-08-08T21:30:59Z,2024-08-08T21:30:59Z
@daveadam435,This is what happens when you're government weaponize ya justice department !,0,2024-06-22T16:18:53Z,2024-06-22T16:18:53Z
@thomastackett2577,"The Right wing has always wanted authoritarian rule.  Look back in history, evrn before George Washington was elected President. Becore Jefferson fundamentally wrote the Constitution (yes, i know ithers were involved but it was primarily Jefferson) the Right wing and southern states wanted auhoritarian rule after we fought a war to rid ourselves of them. Jefferson and Franklin would be ashamed of the right wing fascists.",2,2024-02-14T08:05:30Z,2024-02-14T08:05:30Z
@adamjoshuahughes3971,"Man......From do wm here in Aotearoa NZ.....I still can't even.....
I mean yeah America has been a shit show since the get go, but still.

And yeah we've got our own silent coup attempt happening right now with our own newly elected far right Govt wanting to ""Revisit our founding documents - the principles of Tiriti O Waitangi (The Treaty of Waitangi). between the Indigenous Māori and the Crown"".
Not to mention the rest of our own shit show atm",0,2024-01-07T07:55:26Z,2024-01-07T07:55:26Z
@sullytarawene1762,I was watching live 👀 from Aotearoa/New Zealand 🇳🇿 couldn't believe what I was witnessing.,1,2024-01-05T23:24:40Z,2024-01-05T23:24:40Z
@gemcan54,"NAZI PELOSI HELPED PLAN THE RIOTS WITH RAY EPPS ON JAN 6TH.  BOTH ARE MURDERERS OF ASHLI BABBIT.   NOW THE JAN 6TH CORRUPT PANEL WANTS TO CONVENIENTLY DESTROY THE EVIDENCE.

TCCLARIEN.  
RAY EPPS FINALLY GOT SENTENCED FOR HIS JAN 6TH ACTION, UNFORTUNATELY ONLY ONE YEAR PROBATION.   HE WAS YELLING ""GO TO THE CAPITOL"", AND YET THE LYING DNC MEDIA AND JOKER JACK SMITH SAID TRUMP INCITED PROTESTERS.  PELOSI NOW ADMITS SHE COULD HAVE DONE MORE TO SECURE THE CAPITOL.",0,2023-08-13T04:45:58Z,2024-10-04T04:41:05Z
@Kenny-tc6rg,This hasn't aged well 🤣🤣🤣 tyt is 🐎💩,1,2023-03-11T16:33:43Z,2023-03-11T16:33:43Z
@TRAN305,JAN 6 FAKE LIBERAL BULLS#*+,0,2023-03-08T04:21:03Z,2023-03-08T04:21:03Z
@taintedgooch,This is as fake as it gets,0,2023-03-08T00:42:07Z,2023-03-08T00:42:07Z
@thysdebeer2911,I love you so much right now.,0,2022-12-18T10:02:24Z,2022-12-18T10:02:24Z
@tigzhalas,The military are missing from protect our representatives and senators,0,2022-10-05T14:51:44Z,2022-10-05T14:51:44Z
@ViLLagE-BiCycle269,LIES,0,2022-09-24T20:00:28Z,2022-09-24T20:00:28Z
@matthewaylward3552,Definitely a coup,0,2022-07-16T03:44:49Z,2022-07-16T03:44:49Z
@Calbeck,"So it turned out the ""shots fired"" were police killing an unarmed woman, the VP was never ""in hiding"", and nothing happened but trespassing. Aren't you the people who actually defended psychos burning down police precincts, by the by?",1,2022-04-08T19:48:55Z,2022-04-08T19:48:55Z
@alojr35,I just voted for Biden cause I wanted trump out anything is better than him.,1,2022-02-05T21:20:20Z,2022-02-05T21:20:20Z
@alojr35,I get it republicans are bums I just learned something.,0,2022-02-05T21:18:38Z,2022-02-05T21:18:38Z
@88badstang,Couldn't find anything from TYT on the 2011 Wisconsin capital insurrection by Democrats. Wonder why that is.,2,2021-08-16T12:24:49Z,2021-08-16T12:24:49Z
@pamlewis1183,Is America Great Again yet? Dangerous f*****g man and his Natzi minons,0,2021-07-09T04:35:41Z,2021-07-09T04:35:41Z
@thealienwatcher540,You were so right Cenk everything you predicted came True,0,2021-07-03T16:29:39Z,2021-07-03T16:29:39Z
@goblinstrategist301,So where's the demanded change by progressives? :(,0,2021-06-25T02:38:51Z,2021-06-25T02:38:51Z
@New-mp1cg,I can't believe this was only 5 months ago,1,2021-06-06T22:15:58Z,2021-06-06T22:15:58Z
@57andstillkicking,Conservatives are not traitors. A tiny segment did this because they thought the election had been stolen. The majority of thousands of people at the rally were totally peaceful. You are always generalizing in ways that are inaccurate. You are like a child in that.,0,2021-05-27T02:06:02Z,2021-05-27T02:10:13Z
@rosenia5409,"After learning what happened during the insurrection, there was chaos and inequality and injustice. We will learn from this and come back stronger than ever.  Thanks TYT! Ya are amazing and such great people, much love!",4,2021-05-25T11:13:19Z,2021-05-25T11:13:19Z
@daniquitter8963,Hillary clinton called them what they are,0,2021-04-21T15:26:57Z,2021-04-21T15:26:57Z
@HotspurFC-cu6ny,Never in a million years did I think a coup would happen in the United States,0,2021-03-12T05:27:19Z,2021-03-12T05:27:19Z
@MrMatterice,in 2016 cenk wanted to do away with the electorial collage. hawo abat dat,0,2021-02-14T17:54:00Z,2021-02-14T17:54:00Z
@nathansearls9972,So right about so many wrong things. Keep it up.,0,2021-02-12T17:14:59Z,2021-02-12T17:14:59Z
@ferko6,Wow you're you got more in you then my kids diaper.,0,2021-02-10T03:15:14Z,2021-02-10T03:15:14Z
@harmetheis988,If there's one thing that comes out of this I hope your channel goes down for somebody that says it's okay to go sleep with a teenager and I've got the video to prove it you said it,0,2021-02-08T01:39:03Z,2021-02-08T01:39:03Z
@Verykawaiiyoucantrelate,Lol waiting for update if the story,0,2021-02-06T20:26:16Z,2021-02-06T20:26:16Z
@bhmcrumbs1348,"Donald Trump has taken a page from Putin's play book, & opened the floodgate of LIES & MANIPULATIONS into this country & spread it like the coronavirus.
His minions & armies of ruthless liars & manipulators in factions of the government, ex-government, military, ex-military, police force, ex-police force, regular wannabe citizens quickly followed suit & organized nationwide to turn the rule of law & order into force by guns, violence & verbal & physical intimidations.  UNDER 45th PRESIDENT OF THE UNITED STATES FROM 2017 TO 2021 DONALD TRUMP, ALL HELL HAS BROKEN  LOOSE.",0,2021-01-31T14:25:45Z,2021-01-31T14:25:45Z
@jeanellis6793,? Peace 😊,0,2021-01-22T23:49:00Z,2021-01-22T23:49:00Z
@Blubirdmoon111,The PROBLEM is that dems always overestimate the consequences for Repubs.,1,2021-01-18T06:23:10Z,2021-01-18T06:23:28Z
@Blubirdmoon111,"No cenk, Repubs will always win no matter what they do.",1,2021-01-18T06:22:15Z,2021-01-18T06:22:15Z
@truthliesopinions4591,45 Impeached yayyyyyy 🎉🎊🎊🎉🎈🎊,0,2021-01-13T21:25:05Z,2021-01-13T21:25:05Z
@edwardcudeyro5113,It’s time to unite the country and heal all you do is run your mouth and make gossip you’re not helping the situation you’re really not.,0,2021-01-11T22:35:32Z,2021-01-11T22:35:32Z
@edwardcudeyro5113,Donald Trump had the best stock market ever prior to corona Donald Trump had the lowest unemployment Donald Trump squared up with China Donald Trump help the veterans with pro-choice Donald Trump in education he’s done so many things you are really stupid and you’re really ugly person because you have Hayton you need to go to church and confess your sins and for your soul.,0,2021-01-11T22:32:38Z,2021-01-11T22:32:38Z
@edwardcudeyro5113,Joe Biden is a gun grabber he’s trying to grab AR 14s which they never made he’s also trying to change all the gun laws that’s very unconstitutional why don’t you practice what you preach.,0,2021-01-11T22:29:13Z,2021-01-11T22:29:13Z
